"","GOBPID","Pvalue","OddsRatio","ExpCount","Count","Size","Term"
"1","GO:0009617",0.000282189854439032,112.615384615385,0.0262339681305869,2,9,"response to bacterium"
"2","GO:0042742",0.000282189854439032,112.615384615385,0.0262339681305869,2,9,"defense response to bacterium"
"3","GO:0045087",0.00105177611726142,52.4717948717949,0.0495530509133307,2,17,"innate immune response"
"4","GO:0006955",0.00146198654566095,43.7008547008547,0.0582977069568597,2,20,"immune response"
"5","GO:0009156",0.00146198654566095,43.7008547008547,0.0582977069568597,2,20,"ribonucleoside monophosphate biosynthetic process"
"6","GO:0051707",0.00161316068450575,41.3927125506073,0.0612125923047027,2,21,"response to other organism"
"7","GO:0009607",0.00161316068450575,41.3927125506073,0.0612125923047027,2,21,"response to biotic stimulus"
"8","GO:0098542",0.00161316068450575,41.3927125506073,0.0612125923047027,2,21,"defense response to other organism"
"9","GO:0043207",0.00161316068450575,41.3927125506073,0.0612125923047027,2,21,"response to external biotic stimulus"
"10","GO:0006952",0.00193693980602193,37.4358974358974,0.0670423630003887,2,23,"defense response"
"11","GO:1901657",0.00193693980602193,37.4358974358974,0.0670423630003887,2,23,"glycosyl compound metabolic process"
"12","GO:0009161",0.00193693980602193,37.4358974358974,0.0670423630003887,2,23,"ribonucleoside monophosphate metabolic process"
"13","GO:0009124",0.00193693980602193,37.4358974358974,0.0670423630003887,2,23,"nucleoside monophosphate biosynthetic process"
"14","GO:0009116",0.00193693980602193,37.4358974358974,0.0670423630003887,2,23,"nucleoside metabolic process"
"15","GO:0002376",0.00210947020366481,35.7272727272727,0.0699572483482316,2,24,"immune system process"
"16","GO:0044419",0.00247562720153468,32.7371794871795,0.0757870190439176,2,26,"interspecies interaction between organisms"
"17","GO:0050817",0.00291488534784301,Inf,0.00291488534784298,1,1,"coagulation"
"18","GO:0006959",0.00291488534784301,Inf,0.00291488534784298,1,1,"humoral immune response"
"19","GO:0042060",0.00291488534784301,Inf,0.00291488534784298,1,1,"wound healing"
"20","GO:0042381",0.00291488534784301,Inf,0.00291488534784298,1,1,"hemolymph coagulation"
"21","GO:0007599",0.00291488534784301,Inf,0.00291488534784298,1,1,"hemostasis"
"22","GO:0009123",0.00307705073627225,29.0826210826211,0.0845316750874466,2,29,"nucleoside monophosphate metabolic process"
"23","GO:0009605",0.00552229121647323,21.1808731808732,0.113680528565876,2,39,"response to external stimulus"
"24","GO:0050878",0.00582183903487532,366.428571428571,0.00582977069568597,1,2,"regulation of body fluid levels"
"25","GO:0008655",0.00582183903487532,366.428571428571,0.00582977069568597,1,2,"pyrimidine-containing compound salvage"
"26","GO:0060964",0.00582183903487532,366.428571428571,0.00582977069568597,1,2,"regulation of gene silencing by miRNA"
"27","GO:0060966",0.00582183903487532,366.428571428571,0.00582977069568597,1,2,"regulation of gene silencing by RNA"
"28","GO:0060968",0.00582183903487532,366.428571428571,0.00582977069568597,1,2,"regulation of gene silencing"
"29","GO:0009611",0.00582183903487532,366.428571428571,0.00582977069568597,1,2,"response to wounding"
"30","GO:0060147",0.00582183903487532,366.428571428571,0.00582977069568597,1,2,"regulation of posttranscriptional gene silencing"
"31","GO:0010138",0.00582183903487532,366.428571428571,0.00582977069568597,1,2,"pyrimidine ribonucleotide salvage"
"32","GO:0032262",0.00582183903487532,366.428571428571,0.00582977069568597,1,2,"pyrimidine nucleotide salvage"
"33","GO:0044211",0.00582183903487532,366.428571428571,0.00582977069568597,1,2,"CTP salvage"
"34","GO:0044206",0.00582183903487532,366.428571428571,0.00582977069568597,1,2,"UMP salvage"
"35","GO:0019388",0.00872088110611924,183.178571428571,0.00874465604352895,1,3,"galactose catabolic process"
"36","GO:0019320",0.00872088110611924,183.178571428571,0.00874465604352895,1,3,"hexose catabolic process"
"37","GO:0006275",0.00872088110611924,183.178571428571,0.00874465604352895,1,3,"regulation of DNA replication"
"38","GO:0033499",0.00872088110611924,183.178571428571,0.00874465604352895,1,3,"galactose catabolic process via UDP-galactose"
"39","GO:0009113",0.00872088110611924,183.178571428571,0.00874465604352895,1,3,"purine nucleobase biosynthetic process"
"40","GO:0046365",0.0116120315598247,122.095238095238,0.0116595413913719,1,4,"monosaccharide catabolic process"
"41","GO:0035195",0.0116120315598247,122.095238095238,0.0116595413913719,1,4,"gene silencing by miRNA"
"42","GO:0048519",0.0116448268341573,7.52424242424242,0.489700738437621,3,168,"negative regulation of biological process"
"43","GO:0035194",0.0144953103475732,91.5535714285714,0.0145744267392149,1,5,"post-transcriptional gene silencing by RNA"
"44","GO:0030178",0.0144953103475732,91.5535714285714,0.0145744267392149,1,5,"negative regulation of Wnt signaling pathway"
"45","GO:0016441",0.0144953103475732,91.5535714285714,0.0145744267392149,1,5,"posttranscriptional gene silencing"
"46","GO:0043173",0.0144953103475732,91.5535714285714,0.0145744267392149,1,5,"nucleotide salvage"
"47","GO:0009260",0.0152765273605845,12.1802884615385,0.192382432957637,2,66,"ribonucleotide biosynthetic process"
"48","GO:0046390",0.0157201645464164,11.9905325443787,0.19529731830548,2,67,"ribose phosphate biosynthetic process"
"49","GO:0006189",0.0173707373743743,73.2285714285714,0.0174893120870579,1,6,"'de novo' IMP biosynthetic process"
"50","GO:0006144",0.0173707373743743,73.2285714285714,0.0174893120870579,1,6,"purine nucleobase metabolic process"
