"","GOBPID","Pvalue","OddsRatio","ExpCount","Count","Size","Term"
"1","GO:0009617",4.72799069947929e-05,62.1463414634146,0.0769529731830548,3,9,"response to bacterium"
"2","GO:0042742",4.72799069947929e-05,62.1463414634146,0.0769529731830548,3,9,"defense response to bacterium"
"3","GO:0045087",0.000364854928752475,26.5923344947735,0.145355616012437,3,17,"innate immune response"
"4","GO:0008299",0.00043521734940628,24.8146341463415,0.15390594636611,3,18,"isoprenoid biosynthetic process"
"5","GO:0006955",0.000600803398277334,21.8866571018651,0.171006607073455,3,20,"immune response"
"6","GO:0006720",0.000600803398277334,21.8866571018651,0.171006607073455,3,20,"isoprenoid metabolic process"
"7","GO:0051707",0.000696764357262646,20.6666666666667,0.179556937427128,3,21,"response to other organism"
"8","GO:0009607",0.000696764357262646,20.6666666666667,0.179556937427128,3,21,"response to biotic stimulus"
"9","GO:0098542",0.000696764357262646,20.6666666666667,0.179556937427128,3,21,"defense response to other organism"
"10","GO:0043207",0.000696764357262646,20.6666666666667,0.179556937427128,3,21,"response to external biotic stimulus"
"11","GO:0006952",0.000916786889640731,18.5926829268293,0.196657598134473,3,23,"defense response"
"12","GO:0002376",0.00104152365138981,17.7038327526132,0.205207928488146,3,24,"immune system process"
"13","GO:0044419",0.00132206138762686,16.1580063626723,0.222308589195492,3,26,"interspecies interaction between organisms"
"14","GO:0006260",0.00215456302677889,8.26393442622951,0.555771472988729,4,65,"DNA replication"
"15","GO:0009605",0.00430103038176504,10.2967479674797,0.333462883793237,3,39,"response to external stimulus"
"16","GO:0034477",0.00855033035367236,Inf,0.00855033035367276,1,1,"U6 snRNA 3'-end processing"
"17","GO:0050817",0.00855033035367236,Inf,0.00855033035367276,1,1,"coagulation"
"18","GO:0006959",0.00855033035367236,Inf,0.00855033035367276,1,1,"humoral immune response"
"19","GO:0035493",0.00855033035367236,Inf,0.00855033035367276,1,1,"SNARE complex assembly"
"20","GO:0042060",0.00855033035367236,Inf,0.00855033035367276,1,1,"wound healing"
"21","GO:0099022",0.00855033035367236,Inf,0.00855033035367276,1,1,"vesicle tethering"
"22","GO:0042381",0.00855033035367236,Inf,0.00855033035367276,1,1,"hemolymph coagulation"
"23","GO:0000379",0.00855033035367236,Inf,0.00855033035367276,1,1,"tRNA-type intron splice site recognition and cleavage"
"24","GO:0035542",0.00855033035367236,Inf,0.00855033035367276,1,1,"regulation of SNARE complex assembly"
"25","GO:0031338",0.00855033035367236,Inf,0.00855033035367276,1,1,"regulation of vesicle fusion"
"26","GO:0042144",0.00855033035367236,Inf,0.00855033035367276,1,1,"vacuole fusion, non-autophagic"
"27","GO:0034058",0.00855033035367236,Inf,0.00855033035367276,1,1,"endosomal vesicle fusion"
"28","GO:0097576",0.00855033035367236,Inf,0.00855033035367276,1,1,"vacuole fusion"
"29","GO:0090522",0.00855033035367236,Inf,0.00855033035367276,1,1,"vesicle tethering involved in exocytosis"
"30","GO:0007599",0.00855033035367236,Inf,0.00855033035367276,1,1,"hemostasis"
"31","GO:0034660",0.010856326203445,4.11921411921412,1.35950252623397,5,159,"ncRNA metabolic process"
"32","GO:0006399",0.0118797158730399,4.95148514851485,0.897784687135639,4,105,"tRNA metabolic process"
"33","GO:0009156",0.0123126099639609,13.4497354497354,0.171006607073455,2,20,"ribonucleoside monophosphate biosynthetic process"
"34","GO:1901657",0.0161317019001298,11.5215419501134,0.196657598134473,2,23,"glycosyl compound metabolic process"
"35","GO:0006261",0.0161317019001298,11.5215419501134,0.196657598134473,2,23,"DNA-dependent DNA replication"
"36","GO:0009161",0.0161317019001298,11.5215419501134,0.196657598134473,2,23,"ribonucleoside monophosphate metabolic process"
"37","GO:0009124",0.0161317019001298,11.5215419501134,0.196657598134473,2,23,"nucleoside monophosphate biosynthetic process"
"38","GO:0009116",0.0161317019001298,11.5215419501134,0.196657598134473,2,23,"nucleoside metabolic process"
"39","GO:0050878",0.0170292002204245,118.627906976744,0.0171006607073455,1,2,"regulation of body fluid levels"
"40","GO:0008655",0.0170292002204245,118.627906976744,0.0171006607073455,1,2,"pyrimidine-containing compound salvage"
"41","GO:0006903",0.0170292002204245,118.627906976744,0.0171006607073455,1,2,"vesicle targeting"
"42","GO:0006906",0.0170292002204245,118.627906976744,0.0171006607073455,1,2,"vesicle fusion"
"43","GO:0009611",0.0170292002204245,118.627906976744,0.0171006607073455,1,2,"response to wounding"
"44","GO:0090174",0.0170292002204245,118.627906976744,0.0171006607073455,1,2,"organelle membrane fusion"
"45","GO:0010138",0.0170292002204245,118.627906976744,0.0171006607073455,1,2,"pyrimidine ribonucleotide salvage"
"46","GO:0032262",0.0170292002204245,118.627906976744,0.0171006607073455,1,2,"pyrimidine nucleotide salvage"
"47","GO:0044211",0.0170292002204245,118.627906976744,0.0171006607073455,1,2,"CTP salvage"
