"","GOBPID","Pvalue","OddsRatio","ExpCount","Count","Size","Term"
"1","GO:0035735",0.00116572752025712,2571,0.00116595413913719,1,2,"intraciliary transport involved in cilium assembly"
"2","GO:0042073",0.00465747369498015,366.857142857143,0.00466381655654878,1,8,"intraciliary transport"
"3","GO:0099118",0.00465747369498015,366.857142857143,0.00466381655654878,1,8,"microtubule-based protein transport"
"4","GO:0098840",0.00465747369498015,366.857142857143,0.00466381655654878,1,8,"protein transport along microtubule"
"5","GO:0010970",0.00640029099591188,256.65,0.00641274776525457,1,11,"transport along microtubule"
"6","GO:0099111",0.00640029099591188,256.65,0.00641274776525457,1,11,"microtubule-based transport"
"7","GO:0030705",0.00756103823145615,213.791666666667,0.00757870190439176,1,13,"cytoskeleton-dependent intracellular transport"
"8","GO:0031503",0.0133512160447536,116.386363636364,0.0134084726000777,1,23,"protein-containing complex localization"
"9","GO:0060271",0.0214195657070491,70.9305555555556,0.0215701515740381,1,37,"cilium assembly"
"10","GO:0030031",0.0219941872186715,69,0.0221531286436067,1,38,"cell projection assembly"
"11","GO:0120031",0.0219941872186715,69,0.0221531286436067,1,38,"plasma membrane bounded cell projection assembly"
"12","GO:0044782",0.0242904238172552,62.219512195122,0.0244850369218811,1,42,"cilium organization"
"13","GO:0120036",0.0334394283866866,44.6140350877193,0.0338126700349786,1,58,"plasma membrane bounded cell projection organization"
"14","GO:0070925",0.0357177081704161,41.655737704918,0.036144578313253,1,62,"organelle assembly"
"15","GO:0030030",0.0408307419849118,36.2357142857143,0.0413913719393704,1,71,"cell projection organization"
"16","GO:0007018",0.0408307419849118,36.2357142857143,0.0413913719393704,1,71,"microtubule-based movement"
"17","GO:0007165",0.042001097438053,14.2239747634069,0.370773416245628,2,636,"signal transduction"
"18","GO:0007154",0.0452105080312982,13.608497723824,0.385347842984843,2,661,"cell communication"
"19","GO:0023052",0.0454718277073678,13.5612708018154,0.38651379712398,2,663,"signaling"
