"","GOBPID","Pvalue","OddsRatio","ExpCount","Count","Size","Term"
"1","GO:0034477",0.00408083948698013,Inf,0.00408083948698018,1,1,"U6 snRNA 3'-end processing"
"2","GO:0018206",0.00408083948698013,Inf,0.00408083948698018,1,1,"peptidyl-methionine modification"
"3","GO:0018209",0.00408083948698013,Inf,0.00408083948698018,1,1,"peptidyl-serine modification"
"4","GO:0035404",0.00408083948698013,Inf,0.00408083948698018,1,1,"histone-serine phosphorylation"
"5","GO:0043988",0.00408083948698013,Inf,0.00408083948698018,1,1,"histone H3-S28 phosphorylation"
"6","GO:0006474",0.00408083948698013,Inf,0.00408083948698018,1,1,"N-terminal protein amino acid acetylation"
"7","GO:0017196",0.00408083948698013,Inf,0.00408083948698018,1,1,"N-terminal peptidyl-methionine acetylation"
"8","GO:0018105",0.00408083948698013,Inf,0.00408083948698018,1,1,"peptidyl-serine phosphorylation"
"9","GO:0008380",0.00421691224495913,10.6455696202532,0.334628837932375,3,82,"RNA splicing"
"10","GO:0016572",0.00814581565233929,256.2,0.00816167897396036,1,2,"histone phosphorylation"
"11","GO:0051781",0.00814581565233929,256.2,0.00816167897396036,1,2,"positive regulation of cell division"
"12","GO:0060964",0.00814581565233929,256.2,0.00816167897396036,1,2,"regulation of gene silencing by miRNA"
"13","GO:0060966",0.00814581565233929,256.2,0.00816167897396036,1,2,"regulation of gene silencing by RNA"
"14","GO:0060968",0.00814581565233929,256.2,0.00816167897396036,1,2,"regulation of gene silencing"
"15","GO:0060147",0.00814581565233929,256.2,0.00816167897396036,1,2,"regulation of posttranscriptional gene silencing"
"16","GO:0032467",0.00814581565233929,256.2,0.00816167897396036,1,2,"positive regulation of cytokinesis"
"17","GO:0006397",0.0121049939397986,7.13390313390313,0.489700738437621,3,120,"mRNA processing"
"18","GO:0034472",0.0121949870892176,128.075,0.0122425184609405,1,3,"snRNA 3'-end processing"
"19","GO:0019388",0.0121949870892176,128.075,0.0122425184609405,1,3,"galactose catabolic process"
"20","GO:0019320",0.0121949870892176,128.075,0.0122425184609405,1,3,"hexose catabolic process"
"21","GO:0090068",0.0121949870892176,128.075,0.0122425184609405,1,3,"positive regulation of cell cycle process"
"22","GO:0031365",0.0121949870892176,128.075,0.0122425184609405,1,3,"N-terminal protein amino acid modification"
"23","GO:0006275",0.0121949870892176,128.075,0.0122425184609405,1,3,"regulation of DNA replication"
"24","GO:0033499",0.0121949870892176,128.075,0.0122425184609405,1,3,"galactose catabolic process via UDP-galactose"
"25","GO:0009113",0.0121949870892176,128.075,0.0122425184609405,1,3,"purine nucleobase biosynthetic process"
"26","GO:0018193",0.0138112709978038,6.77777777777778,0.514185775359502,3,126,"peptidyl-amino acid modification"
"27","GO:0046365",0.0162284121856837,85.3666666666667,0.0163233579479207,1,4,"monosaccharide catabolic process"
