,Gene_ID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,description
46,LOC724437,67.2177795,3.673528205,0.974497791,3.769662939,0.000163468,0.037898971,adenomatous polyposis coli protein
11,LOC100578413,54.90822949,4.756590323,1.239930673,3.836174414,0.000124966,0.030920062,uncharacterized LOC100578413
41,LOC411585,43.18950967,4.826185236,1.236507745,3.903077241,9.50E-05,0.026738393,"E3 ubiquitin-protein ligase NRDP1, transcript variant X1"
39,LOC409525,35.9627622,5.449219713,1.420886546,3.835084321,0.000125521,0.030920062,"oxysterol-binding protein-related protein 2, transcript variant X3"
33,LOC113218797,47.58402603,5.545759817,1.458416062,3.802591018,0.000143191,0.033861721,uncharacterized LOC113218797
18,LOC102655071,40.25120947,7.394808769,1.878190857,3.937197726,8.24E-05,0.024487639,"uncharacterized LOC102655071, transcript variant X1"
8,LOC100576657,29.11945446,7.496477851,1.892205928,3.961766392,7.44E-05,0.023149311,uncharacterized LOC100576657
49,LOC725359,48.90575337,7.673820658,2.043659212,3.754941437,0.000173382,0.039424402,uncharacterized LOC725359
43,LOC551545,40.15606381,7.858011041,1.641072807,4.788337854,1.68E-06,0.000994211,"reticulon-4-interacting protein 1 homolog, mitochondrial"
21,LOC102655494,93.68591516,8.913341892,2.291133875,3.890362755,0.000100094,0.027439947,uncharacterized LOC102655494
19,LOC102655218,11.47002696,11.99752622,2.844359131,4.218006822,2.46E-05,0.009107117,uncharacterized LOC102655218
20,LOC102655469,10.28631387,15.78478726,2.966240236,5.32147972,1.03E-07,6.76E-05,uncharacterized LOC102655469
28,LOC107965763,19.0008194,16.42081425,4.171922538,3.936030475,8.28E-05,0.024487639,odorant receptor 30a-like
13,LOC102653858,13.18434716,16.96442475,3.17054094,5.350640498,8.76E-08,6.10E-05,uncharacterized LOC102653858
30,LOC113218663,16.09910806,17.10953033,2.651444668,6.452908684,1.10E-10,1.44E-07,uncharacterized LOC113218663
51,LOC726274,28.3334727,17.11732567,2.778763908,6.160050381,7.27E-10,7.17E-07,"yellow-e, transcript variant X1"
1,GeneID_100315667,15.62423861,17.22274055,2.587282851,6.656690258,2.80E-11,4.14E-08,microRNA 33
35,LOC113218909,27.17290201,17.54579287,2.769433622,6.335516669,2.37E-10,2.54E-07,uncharacterized LOC113218909
5,LOC100576093,44.37186576,17.61783605,4.037495691,4.363555381,1.28E-05,0.005043548,uncharacterized LOC100576093
25,LOC102656251,28.13936291,17.70481436,2.548289216,6.947725652,3.71E-12,6.27E-09,uncharacterized LOC102656251
17,LOC102654541,46.40849943,17.79788544,4.555132834,3.907215463,9.34E-05,0.026738393,zinc finger protein 776-like
22,LOC102655764,21.32980817,18.06973928,4.10554543,4.40130053,1.08E-05,0.004543962,uncharacterized LOC102655764
27,LOC107965434,9.431664179,18.31730722,2.627427327,6.971575211,3.13E-12,6.18E-09,uncharacterized LOC107965434
37,LOC113219056,34.5204091,18.65257311,3.736757669,4.991646437,5.99E-07,0.00037256,uncharacterized LOC113219056
23,LOC102655809,44.82870117,18.85565111,2.504649208,7.528260264,5.14E-14,1.22E-10,uncharacterized LOC102655809
52,LOC726765,150.2789959,18.98515487,2.354253263,8.064193927,7.37E-16,8.72E-12,"dynein regulatory complex protein 11, transcript variant X3"
50,LOC725444,84.24601353,19.0377966,4.083261,4.662400125,3.13E-06,0.001679775,outer dense fiber protein 3-B
24,LOC102656149,63.24768775,19.21290102,3.361869431,5.714945631,1.10E-08,9.27E-06,uncharacterized LOC102656149
47,LOC724864,49.79913276,19.58528126,2.58983634,7.562362518,3.96E-14,1.17E-10,"TWiK family of potassium channels protein 18, transcript variant X2"
6,LOC100576224,79.29381509,19.78521044,2.572197385,7.691948742,1.45E-14,5.71E-11,"carbonic anhydrase 2, transcript variant X1"
31,LOC113218735,73.25370949,19.86646562,3.249444875,6.113802938,9.73E-10,8.85E-07,uncharacterized LOC113218735
32,LOC113218760,45.45983082,19.86902664,4.907499724,4.048706624,5.15E-05,0.017398663,probable galactose-1-phosphate uridylyltransferase
36,LOC113219020,48.38642662,20.07444862,2.570992439,7.80805432,5.81E-15,3.43E-11,uncharacterized LOC113219020
10,LOC100578307,55.44325526,20.29228491,3.600605736,5.63579753,1.74E-08,1.37E-05,"multiple inositol polyphosphate phosphatase 1, transcript variant X2"
12,LOC102653814,269.0963142,20.87506967,3.254361501,6.414490112,1.41E-10,1.67E-07,uncharacterized LOC102653814
