,Gene_ID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,description
6,LOC100578205,197.4341833,3.895679984,1.009900297,3.857489691,0.000114558,0.032250666,uncharacterized LOC100578205
35,LOC411568,175.9824047,4.199119147,1.118542685,3.75409826,0.000173967,0.041465619,"ribosomal oxygenase 1, transcript variant X1"
39,LOC551279,461.4917685,4.36289815,1.15020947,3.793133568,0.000148758,0.039087014,zinc finger CCCH domain-containing protein 11A
43,LOC724437,67.2177795,4.66212405,0.974260519,4.785295063,1.71E-06,0.000841161,adenomatous polyposis coli protein
37,LOC411585,43.18950967,4.760544043,1.238113586,3.844997824,0.000120554,0.033149411,"E3 ubiquitin-protein ligase NRDP1, transcript variant X1"
38,LOC411781,63.09867768,5.315324765,1.358751146,3.91191925,9.16E-05,0.027760791,"sodium/potassium/calcium exchanger 4, transcript variant X2"
48,LOC725941,456.4733877,5.653477802,1.449337636,3.900732073,9.59E-05,0.028348703,"zinc finger protein 800, transcript variant X3"
22,LOC107965043,281.2627469,5.931506891,1.524026679,3.891996755,9.94E-05,0.028672501,uncharacterized LOC107965043
42,LOC552549,78.74374256,5.993867181,1.40345599,4.270790978,1.95E-05,0.006580255,"ribosomal protein S6 kinase beta-1, transcript variant X1"
32,LOC409942,62.69706828,6.074962637,1.386423005,4.381752622,1.18E-05,0.00464007,"interference hedgehog, transcript variant X11"
10,LOC102653954,55.11368157,6.166326563,1.325584,4.651781073,3.29E-06,0.001496556,"uncharacterized LOC102653954, transcript variant X1"
41,LOC552202,125.0985685,6.466989901,1.719986816,3.75990667,0.000169977,0.041465619,"monocarboxylate transporter 9, transcript variant X2"
2,GeneID_678510,72.68562904,6.532781977,1.735542483,3.764115277,0.00016714,0.041465619,GB15078 protein
52,LOC727019,68.11068025,7.191360381,1.76977776,4.063425671,4.84E-05,0.015443853,uncharacterized LOC727019
40,LOC551545,40.15606381,7.400962692,1.642803176,4.505081801,6.63E-06,0.002705143,"reticulon-4-interacting protein 1 homolog, mitochondrial"
21,LOC107964644,14.52800739,7.984585536,1.82883036,4.365951982,1.27E-05,0.004827636,uncharacterized LOC107964644
46,LOC725359,48.90575337,8.86846245,2.043205499,4.340465242,1.42E-05,0.005253601,uncharacterized LOC725359
24,LOC107965607,47.31231006,9.044233117,2.229100697,4.057346143,4.96E-05,0.015443853,uncharacterized LOC107965607
5,LOC100577091,51.00049409,9.120491617,2.014848493,4.526638924,5.99E-06,0.002530725,"uncharacterized LOC100577091, transcript variant X1"
16,LOC102655494,93.68591516,9.68650363,2.291154557,4.227782713,2.36E-05,0.007751471,uncharacterized LOC102655494
14,LOC102655218,11.47002696,14.83551177,2.676951697,5.541942272,2.99E-08,2.08E-05,uncharacterized LOC102655218
23,LOC107965434,9.431664179,14.84354361,2.706626437,5.484149348,4.15E-08,2.73E-05,uncharacterized LOC107965434
49,LOC726274,28.3334727,16.7254918,2.790292907,5.994170632,2.05E-09,1.82E-06,"yellow-e, transcript variant X1"
12,LOC102654541,46.40849943,16.95690653,4.562654277,3.716456585,0.000202036,0.045939955,zinc finger protein 776-like
4,LOC100576224,79.29381509,18.47505898,2.577022048,7.169150533,7.55E-13,1.12E-09,"carbonic anhydrase 2, transcript variant X1"
17,LOC102655764,21.32980817,18.64132354,4.106073398,4.539939192,5.63E-06,0.002464229,uncharacterized LOC102655764
30,LOC113219020,48.38642662,18.682255,2.575240616,7.254566771,4.03E-13,7.94E-10,uncharacterized LOC113219020
31,LOC113219056,34.5204091,18.71685962,3.73831873,5.006758643,5.54E-07,0.000297504,uncharacterized LOC113219056
29,LOC113218909,27.17290201,18.80358113,2.768218186,6.792665847,1.10E-11,1.30E-08,uncharacterized LOC113218909
9,LOC102653858,13.18434716,18.948033,3.165617479,5.985572523,2.16E-09,1.82E-06,uncharacterized LOC102653858
20,LOC102656251,28.13936291,18.95619349,2.546741031,7.443314127,9.82E-14,2.59E-10,uncharacterized LOC102656251
18,LOC102655809,44.82870117,19.04321438,2.506278697,7.598203026,3.00E-14,1.78E-10,uncharacterized LOC102655809
27,LOC113218735,73.25370949,19.06486455,3.251727295,5.862996132,4.55E-09,3.36E-06,uncharacterized LOC113218735
26,LOC113218663,16.09910806,19.13935647,2.646832353,7.231042208,4.79E-13,8.10E-10,uncharacterized LOC113218663
1,GeneID_100315667,15.62423861,19.17934377,2.581797643,7.428678163,1.10E-13,2.59E-10,microRNA 33
45,LOC724864,49.79913276,19.31793797,2.591666414,7.453867466,9.06E-14,2.59E-10,"TWiK family of potassium channels protein 18, transcript variant X2"
3,LOC100576093,44.37186576,19.34508862,4.035589516,4.793621489,1.64E-06,0.000841161,uncharacterized LOC100576093
15,LOC102655469,10.28631387,19.47220134,2.946806194,6.607900233,3.90E-11,4.19E-08,uncharacterized LOC102655469
51,LOC726765,150.2789959,19.50932096,2.354891953,8.284592817,1.19E-16,1.40E-12,"dynein regulatory complex protein 11, transcript variant X3"
7,LOC100578307,55.44325526,19.61929843,3.601860277,5.446990421,5.12E-08,3.19E-05,"multiple inositol polyphosphate phosphatase 1, transcript variant X2"
25,LOC107965763,19.0008194,19.8592841,4.163594292,4.76974525,1.84E-06,0.000872417,odorant receptor 30a-like
28,LOC113218760,45.45983082,21.03378375,4.907324044,4.28620233,1.82E-05,0.006320744,probable galactose-1-phosphate uridylyltransferase
19,LOC102656149,63.24768775,21.11615,3.361024729,6.282652377,3.33E-10,3.28E-07,uncharacterized LOC102656149
47,LOC725444,84.24601353,21.22638714,4.082330964,5.199575275,2.00E-07,0.000112466,outer dense fiber protein 3-B
8,LOC102653814,269.0963142,22.21203644,3.254216893,6.825616473,8.75E-12,1.15E-08,uncharacterized LOC102653814
