,Gene_ID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,description
54,LOC107963975,82.28268479,-24.9423227,2.470042365,-10.09793316,5.64E-24,5.89E-20,uncharacterized LOC107963975
73,LOC113219087,129.7337606,-21.49603832,2.507549859,-8.572526779,1.01E-17,2.25E-14,uncharacterized LOC113219087
70,LOC113218967,17.83502114,-21.14680381,2.333551265,-9.062069526,1.28E-19,4.46E-16,TPPP family protein CG45057-like
265,LOC727243,504.1542032,-11.42105737,2.934366322,-3.892171635,9.94E-05,0.008945865,uncharacterized LOC727243
8,LOC100576198,82.51606297,-9.140970784,2.053355019,-4.45172447,8.52E-06,0.00174459,bromodomain-containing protein DDB_G0270170
36,LOC102654496,79.57419989,-8.990463923,2.068627391,-4.34610117,1.39E-05,0.002412424,"high affinity copper uptake protein 1, transcript variant X1"
229,LOC725175,51.39434065,-8.683133682,2.093219308,-4.148219754,3.35E-05,0.004268065,uncharacterized LOC725175
233,LOC725477,186.2915172,-8.661886478,1.358744759,-6.374918043,1.83E-10,1.47E-07,"transmembrane protein 245, transcript variant X1"
181,LOC551702,113.9806326,-8.129563931,1.886415968,-4.309528793,1.64E-05,0.002670048,UPF0565 protein C2orf69 homolog
65,LOC113218654,33.60717484,-8.07865152,2.443871911,-3.305677144,0.000947472,0.041756726,uncharacterized LOC113218654
122,LOC411638,54.06929176,-7.96404398,1.541433669,-5.166647219,2.38E-07,0.000108166,"transport and Golgi organization protein 6 homolog, transcript variant X1"
28,LOC100578936,107.8545891,-7.939591206,1.485149025,-5.345989576,8.99E-08,4.47E-05,"methylenetetrahydrofolate reductase, transcript variant X1"
64,LOC113218576,93.02257838,-7.868895704,1.358554294,-5.792109846,6.95E-09,4.01E-06,lysozyme-like
109,LOC410520,38.97004537,-7.327207544,1.92681166,-3.802762717,0.000143091,0.011676481,uncharacterized oxidoreductase YjmC
198,LOC552422,119.4163412,-7.293564887,1.436948842,-5.075730376,3.86E-07,0.000143996,trafficking protein particle complex subunit 13
193,LOC552181,186.2472104,-7.282438834,1.369678056,-5.31689823,1.06E-07,5.01E-05,EEF1A lysine methyltransferase 2
208,LOC552790,47.61464761,-7.256971497,1.779585735,-4.077899342,4.54E-05,0.005274079,peroxisomal biogenesis factor 3
98,LOC409489,128.0035209,-7.188268093,1.395468474,-5.151150475,2.59E-07,0.000108166,diphosphoinositol polyphosphate phosphohydrolase 1
95,LOC409378,79.15798662,-7.180401276,1.640815633,-4.376117054,1.21E-05,0.002218579,uncharacterized LOC409378
102,LOC410149,72.96621994,-7.103356864,1.873623087,-3.791241106,0.000149896,0.011951659,"carboxypeptidase Q, transcript variant X3"
34,LOC102654384,26.45891134,-6.929161981,1.989445173,-3.482962021,0.000495899,0.027876283,uncharacterized LOC102654384
135,LOC412316,83.78488965,-6.924470475,1.462760832,-4.733836401,2.20E-06,0.000609805,sodium/potassium/calcium exchanger 3
257,LOC726778,166.7363399,-6.913311413,1.499420127,-4.610656672,4.01E-06,0.000932383,pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16
74,LOC113219136,160.8320639,-6.862938782,1.623112319,-4.228258699,2.36E-05,0.003279826,"transmembrane protein 177, transcript variant X2"
165,LOC413763,128.1621933,-6.839044021,1.856998006,-3.682849416,0.000230641,0.016418288,"hydroxymethylglutaryl-CoA synthase 1, transcript variant X2"
170,LOC550987,180.9538743,-6.811507312,1.565412075,-4.351255125,1.35E-05,0.002396339,soluble calcium-activated nucleotidase 1
199,LOC552433,92.52238034,-6.705763599,1.9166482,-3.498692978,0.000467545,0.027130575,"ATP-binding cassette sub-family B member 8, mitochondrial"
117,LOC411252,80.00198921,-6.698140101,1.631309406,-4.105989995,4.03E-05,0.004889558,"GTP-binding protein 2, transcript variant X4"
168,LOC550869,127.6885594,-6.661574835,1.505879796,-4.423709549,9.70E-06,0.00187804,N-acetylglucosamine-6-sulfatase
103,LOC410206,88.35433724,-6.650674788,1.309465973,-5.078921427,3.80E-07,0.000143996,"differentially expressed in FDCP 8 homolog, transcript variant X3"
5,GeneID_725256,3422.105761,-6.355478912,1.255416317,-5.062447273,4.14E-07,0.000149078,cuticular protein 12
4,GeneID_724534,226.1872131,-6.353795008,1.515348557,-4.192959419,2.75E-05,0.003687068,"solute carrier family 35, member B1"
35,LOC102654405,16642.09682,-6.328794556,1.433835973,-4.413890204,1.02E-05,0.001928137,uncharacterized LOC102654405
49,LOC102656308,70.96808502,-6.272576932,1.625475018,-3.858919308,0.00011389,0.010167318,"uncharacterized LOC102656308, transcript variant X1"
210,LOC552843,356.4822908,-6.261665604,1.059339054,-5.910917358,3.40E-09,2.22E-06,uncharacterized LOC552843
241,LOC725879,61.05284537,-6.145128485,1.602878791,-3.833807347,0.000126175,0.010802439,centromere protein I
120,LOC411582,129.1003368,-6.05482215,1.216397314,-4.977668137,6.44E-07,0.000210058,"tyrosine-protein kinase Fer, transcript variant X3"
231,LOC725421,58.80784584,-6.037539417,1.447893361,-4.169878515,3.05E-05,0.003929925,"SET and MYND domain-containing protein 4, transcript variant X1"
19,LOC100577773,18.17627469,-5.95521063,1.804875243,-3.299513721,0.000968525,0.041818669,uncharacterized LOC100577773
211,LOC552845,102.1809033,-5.873529936,1.506526256,-3.89872391,9.67E-05,0.008842882,vacuolar protein sorting-associated protein 51 homolog
186,LOC551842,30.536988,-5.873160788,1.730946455,-3.393034355,0.00069123,0.033737823,"E3 ubiquitin-protein ligase RNF25, transcript variant X2"
240,LOC725826,182.6342548,-5.853819379,1.360075702,-4.30403938,1.68E-05,0.002695,caseinolytic peptidase B protein homolog
223,LOC724931,130.2769334,-5.793590995,1.569717172,-3.690850236,0.000223506,0.016118381,"C3 and PZP-like alpha-2-macroglobulin domain-containing protein 8, transcript variant X1"
125,LOC411909,255.3293282,-5.689057737,1.233439007,-4.612354325,3.98E-06,0.000932383,"ran GTPase-activating protein 1, transcript variant X1"
129,LOC412016,257.5430897,-5.65977019,1.589510359,-3.560700411,0.000369867,0.022859525,transforming growth factor beta regulator 1
121,LOC411622,218.8074743,-5.588005153,1.356715001,-4.118775976,3.81E-05,0.004680469,uncharacterized LOC411622
21,LOC100578085,106.2639954,-5.531104634,1.671571988,-3.30892398,0.000936553,0.041756726,uncharacterized LOC100578085
164,LOC413679,349.5648342,-5.509045696,1.164106336,-4.732424802,2.22E-06,0.000609805,cuticular protein analogous to peritrophins 3-E
251,LOC726568,268.507446,-5.497588522,1.465351379,-3.751720304,0.000175625,0.013689601,general transcription factor 3C polypeptide 3
26,LOC100578526,121.9145768,-5.450430779,1.295896202,-4.205916162,2.60E-05,0.003573655,solute carrier family 35 member E2
41,LOC102655689,48.71871793,-5.441876112,1.396399364,-3.897077192,9.74E-05,0.008842882,uncharacterized LOC102655689
246,LOC726081,83.91626108,-5.422675592,1.280153561,-4.235957121,2.28E-05,0.003212264,mitochondrial import receptor subunit TOM70
177,LOC551501,108.4858434,-5.382939851,1.559448358,-3.451823091,0.000556813,0.029729026,fringe glycosyltransferase
108,LOC410492,209.8460894,-5.349141885,1.362891718,-3.924847304,8.68E-05,0.008240608,cytochrome P450 9e2
33,LOC102654127,199.8768545,-5.335504108,1.255070118,-4.251160179,2.13E-05,0.003085134,neurochondrin homolog
150,LOC412788,201.169297,-5.329220359,1.615198575,-3.299421161,0.000968844,0.041818669,"scavenger receptor class B member 1, transcript variant X4"
29,LOC100579021,52.73893039,-5.328468079,1.553239094,-3.430552386,0.000602354,0.030690653,transmembrane protein 42
97,LOC409440,535.4240475,-5.306764304,1.305686707,-4.064347348,4.82E-05,0.005361437,"armadillo-like helical domain-containing protein 3, transcript variant X1"
202,LOC552640,60.66994788,-5.254735164,1.607916873,-3.26803907,0.001082954,0.045795369,ammonium transporter 1-like
178,LOC551571,85.99493981,-5.244133706,1.424115189,-3.682380293,0.000231066,0.016418288,pyrokinin-like receptor 1
9,LOC100576223,50.6574802,-5.241904713,1.331755487,-3.93608644,8.28E-05,0.008084738,"myb-like protein X, transcript variant X2"
80,LOC408603,338.2443792,-5.239533342,1.435662065,-3.649558952,0.000262691,0.017588506,"glucose dehydrogenase [FAD, quinone]"
153,LOC412886,87.38090162,-5.236597378,1.463250758,-3.578742297,0.000345252,0.021988744,tubulin alpha-1 chain
2,GeneID_100576395,204.8476282,-5.227453351,1.403527479,-3.724510868,0.000195694,0.014733334,kruppel homolog 1
87,LOC409098,148.1105867,-5.224294593,1.113057383,-4.693643538,2.68E-06,0.000667439,histone-lysine N-methyltransferase eggless
