,Gene_ID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,description
24,LOC102656779,140.1634515,-8.469865217,1.770191361,-4.784717294,1.71E-06,0.001671529,uncharacterized LOC102656779
32,LOC113218574,242.3557082,-7.425707691,1.75527679,-4.230505259,2.33E-05,0.009664393,mucin-2-like
18,LOC102653963,80.11113869,-6.441063234,1.794963805,-3.588408422,0.000332703,0.042179804,uncharacterized LOC102653963
27,LOC107964495,70.95369288,-6.423485627,1.456884412,-4.409056459,1.04E-05,0.005630611,uncharacterized LOC107964495
19,LOC102654405,16642.09682,-6.141637689,1.432984182,-4.285907526,1.82E-05,0.008460153,uncharacterized LOC102654405
75,LOC725505,58.65712329,-6.053777488,1.565748873,-3.866378313,0.000110464,0.020737406,tetraspanin-33
73,LOC725341,99.66974547,-5.989710552,1.649378937,-3.631494508,0.000281785,0.039296883,"beta-1,3-galactosyltransferase 5, transcript variant X2"
46,LOC410638,113.0730074,-5.989365136,1.261779756,-4.746759573,2.07E-06,0.001834381,aromatic-L-amino-acid decarboxylase
6,GeneID_725300,656.9467106,-5.802874168,1.490213657,-3.893988047,9.86E-05,0.019645429,cuticular protein 13
54,LOC413620,70.61447582,-5.684939776,1.428959661,-3.978376669,6.94E-05,0.016735475,"uncharacterized LOC413620, transcript variant X1"
70,LOC724418,158.0509739,-5.564436004,1.580846905,-3.519908212,0.000431696,0.048954996,venom acid phosphatase Acph-1-like
35,LOC113219265,1544.259277,-5.483251371,1.056021465,-5.192367345,2.08E-07,0.000506738,trypsin-1-like
87,LOC727522,9241.406163,-5.407491799,1.292393974,-4.1840893,2.86E-05,0.010749898,uncharacterized LOC727522
72,LOC725246,50.08432442,-5.382248591,1.491297743,-3.609103961,0.000307256,0.041657587,"uncharacterized LOC725246, transcript variant X1"
25,LOC107964063,26.19066171,-5.308493573,1.482239694,-3.581400224,0.000341758,0.042772285,uncharacterized LOC107964063
37,LOC406147,206311.6776,-5.135424758,0.986768207,-5.204286805,1.95E-07,0.000506738,short-chain dehydrogenase/reductase
2,GeneID_494503,65.71103309,-4.973985066,1.285424849,-3.869526149,0.000109047,0.020737406,troponin C type IIa
80,LOC726352,1654.81238,-4.916718926,0.826669922,-5.947620444,2.72E-09,1.33E-05,transmembrane protease serine 11B-like protein
42,LOC409217,50.11345848,-4.895921318,1.249301076,-3.918928281,8.89E-05,0.018875373,"guanine nucleotide exchange factor DBS, transcript variant X4"
5,GeneID_725256,3422.105761,-4.844915081,1.250472383,-3.874467877,0.000106858,0.020737406,cuticular protein 12
