,Gene_ID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,description
86,LOC727275,641.0045657,3.140290821,0.881098514,3.564063237,0.000365158,0.044558395,proliferating cell nuclear antigen
50,LOC412619,1336.464559,3.183269377,0.806340162,3.947799612,7.89E-05,0.017905955,"amidophosphoribosyltransferase, transcript variant X1"
60,LOC551831,185.714066,3.816200588,0.896158343,4.25839989,2.06E-05,0.00913614,"histone deacetylase complex subunit SAP30 homolog, transcript variant X1"
62,LOC552016,164.4141684,3.992488768,0.94946185,4.20500178,2.61E-05,0.010194656,mitochondrial 2-oxoglutarate/malate carrier protein
56,LOC551252,1817.628013,4.176872424,0.853571922,4.893404194,9.91E-07,0.001209348,tropomyosin
68,LOC552812,170.9417351,4.196276865,1.034160388,4.05766544,4.96E-05,0.014440117,serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A
28,LOC107964622,88.40391777,4.244734967,1.143676561,3.711481996,0.000206049,0.031927834,uncharacterized LOC107964622
11,LOC100576983,166.6520759,4.265546075,1.184080174,3.602413221,0.000315277,0.041657587,"uncharacterized LOC100576983, transcript variant X1"
51,LOC413173,698.6413599,4.290955883,1.191465226,3.601410926,0.000316495,0.041657587,THO complex subunit 3
1,GeneID_406143,277.4030338,4.305977009,1.078067719,3.994161901,6.49E-05,0.016250849,defensin 1
65,LOC552334,490.1970703,4.311655788,1.062617039,4.057582018,4.96E-05,0.014440117,splicing factor 3A subunit 2
44,LOC410076,256.1254483,4.312172302,1.22224828,3.528065756,0.000418608,0.048648248,"probable uridine-cytidine kinase, transcript variant X1"
55,LOC413934,125.8644016,4.365438102,1.232092627,3.543108696,0.00039544,0.046509423,"sodium-independent sulfate anion transporter, transcript variant X6"
79,LOC726323,2111.277628,4.411885423,0.945700954,4.66520141,3.08E-06,0.002508142,"uncharacterized LOC726323, transcript variant X1"
34,LOC113219028,313.164644,4.506253246,1.266688309,3.557507567,0.00037439,0.045120967,pancreatic triacylglycerol lipase-like
47,LOC411435,326.5286518,4.57774979,1.243277018,3.682003065,0.000231409,0.034754016,coiled-coil domain-containing protein 50
66,LOC552499,261.8261285,4.729570571,1.166514659,4.054445894,5.03E-05,0.014440117,"ubiquitin domain-containing protein UBFD1, transcript variant X1"
53,LOC413437,65.37505401,4.775556813,1.303488251,3.663674613,0.000248623,0.036773541,protein unc-119 homolog B
71,LOC724437,67.2177795,4.783518844,1.051201414,4.550525503,5.35E-06,0.003731322,adenomatous polyposis coli protein
13,LOC100577520,166.590548,4.791990365,1.183692742,4.048339739,5.16E-05,0.014440117,uncharacterized protein C19orf47 homolog
9,LOC100576828,80.66946845,4.900692664,1.257624867,3.896784164,9.75E-05,0.019645429,"protein maelstrom homolog, transcript variant X3"
77,LOC725746,178.557537,4.976876052,1.236867341,4.023775136,5.73E-05,0.01511068,uncharacterized LOC725746
76,LOC725587,409.4946837,5.157532674,1.241178058,4.155352764,3.25E-05,0.011166872,"serine/arginine repetitive matrix protein 5, transcript variant X2"
61,LOC551998,377.256776,5.227664369,1.46103143,3.578064279,0.000346148,0.042773418,"cell death-inducing p53-target protein 1, transcript variant X2"
43,LOC409388,317.6031636,5.230373534,1.05318937,4.96622325,6.83E-07,0.001084806,"ras-related protein Rab-18-B, transcript variant X2"
36,LOC406144,11273.08642,5.263590216,1.138467009,4.623401623,3.77E-06,0.002834718,abaecin
48,LOC411962,97.43735255,5.34101605,1.368687803,3.902289505,9.53E-05,0.019645429,"uncharacterized LOC411962, transcript variant X2"
64,LOC552260,119.5616614,5.442406961,1.497033017,3.63546221,0.000277483,0.039257766,U6 snRNA-associated Sm-like protein LSm1
84,LOC726782,152.1846159,5.454767824,1.415667374,3.853142289,0.000116612,0.021080782,PEST proteolytic signal-containing nuclear protein
85,LOC726969,592.5233044,5.479236789,1.125613972,4.867776099,1.13E-06,0.001224167,farnesyl pyrophosphate synthase
78,LOC725889,143.0275666,5.536729344,1.412345317,3.92023769,8.85E-05,0.018875373,uncharacterized LOC725889
21,LOC102654517,91.77069919,5.911955032,1.549693695,3.814918425,0.000136228,0.023747447,uncharacterized LOC102654517
16,LOC100578721,504.6404788,6.08183679,1.7126351,3.551157388,0.000383541,0.045660087,"TBC1 domain family member 20, transcript variant X2"
49,LOC412276,115.9138422,6.092594607,1.441602002,4.22626675,2.38E-05,0.009664393,epimerase family protein SDR39U1
31,LOC107965509,116.8290631,6.284454821,1.271941238,4.940837387,7.78E-07,0.001084806,uncharacterized LOC107965509
23,LOC102656709,16.96361005,6.870875272,1.738798495,3.951507487,7.77E-05,0.017905955,uncharacterized LOC102656709
15,LOC100578243,943.3961161,7.783312888,1.035854347,7.51390667,5.74E-14,5.60E-10,proteasome subunit alpha type-6
22,LOC102655764,21.32980817,17.93287738,4.105545369,4.367964732,1.25E-05,0.00644342,uncharacterized LOC102655764
33,LOC113218760,45.45983082,19.68916614,4.907500046,4.012056231,6.02E-05,0.015463048,probable galactose-1-phosphate uridylyltransferase
