,Gene_ID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,description
13,LOC412291,177.6893463,4.073300045,1.075842756,3.786148137,0.000153,0.049599479,uncharacterized protein KIAA2013 homolog
17,LOC552016,164.4141684,4.212318297,0.949670563,4.435557405,9.18E-06,0.008236493,mitochondrial 2-oxoglutarate/malate carrier protein
27,LOC726595,88.2233732,4.490991726,1.161952393,3.865039352,0.000111071,0.039122003,exocyst complex component 2
15,LOC551613,180.3176298,4.550769737,1.178078452,3.862874945,0.00011206,0.039122003,"ATP-dependent RNA helicase SUV3 homolog, mitochondrial"
20,LOC724437,67.2177795,4.556414997,1.052314568,4.329898241,1.49E-05,0.009406888,adenomatous polyposis coli protein
10,LOC409388,317.6031636,4.607433213,1.053726537,4.372513221,1.23E-05,0.009217653,"ras-related protein Rab-18-B, transcript variant X2"
14,LOC413078,121.3322594,4.710222061,1.187960266,3.964965996,7.34E-05,0.027762916,"very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase, transcript variant X1"
23,LOC726071,153.7780085,4.883664805,1.218706892,4.007251321,6.14E-05,0.026552164,uncharacterized LOC726071
18,LOC552733,133.538825,5.03928341,1.319033406,3.82043653,0.000133216,0.04478514,aurora kinase B
28,LOC726969,592.5233044,5.064293041,1.125817209,4.498326195,6.85E-06,0.008236493,farnesyl pyrophosphate synthase
16,LOC551632,100.70554,5.173966503,1.253313181,4.12823114,3.66E-05,0.017464365,"methyl farnesoate epoxidase, transcript variant X2"
3,LOC100576828,80.66946845,5.334073577,1.25754609,4.24165255,2.22E-05,0.011847087,"protein maelstrom homolog, transcript variant X3"
6,LOC107965509,116.8290631,5.729005397,1.272822446,4.501024801,6.76E-06,0.008236493,uncharacterized LOC107965509
9,LOC408866,463.979048,5.858792786,1.274071398,4.598480739,4.26E-06,0.007726035,uncharacterized aarF domain-containing protein kinase 1
12,LOC412197,371.9183417,6.222790113,1.32159914,4.708530691,2.50E-06,0.007549305,protein lethal(2)essential for life
4,LOC100578243,943.3961161,7.37849608,1.03600224,7.122085062,1.06E-12,9.65E-09,proteasome subunit alpha type-6
1,GeneID_725103,110.0963737,7.638992165,1.76795025,4.320818509,1.55E-05,0.009406888,chemosensory protein 6
21,LOC724953,51.53184497,8.052637377,1.848317524,4.356739181,1.32E-05,0.009217653,"U6 snRNA phosphodiesterase, transcript variant X1"
7,LOC113218912,38.82386229,9.60637331,2.411552982,3.983480098,6.79E-05,0.027762916,uncharacterized LOC113218912
