,Gene_ID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,description
12,LOC100576272,301.59817,2.426149289,0.706612025,3.433495617,0.000595852,0.037049216,tRNA-splicing endonuclease subunit Sen34
83,LOC409068,595.4940142,2.60643974,0.775145625,3.362516223,0.000772356,0.044329832,"annexin B11, transcript variant X4"
198,LOC726872,862.2487005,2.72197991,0.756926523,3.5960953,0.000323029,0.025479788,LDLR chaperone boca
57,LOC107965225,681.7765811,2.726159114,0.809512149,3.367656824,0.000758099,0.04399501,ribulose-phosphate 3-epimerase
122,LOC413110,261.6243272,3.061312692,0.873011732,3.506611171,0.000453852,0.031680478,"DNA-directed RNA polymerases I, II, and III subunit RPABC1"
147,LOC551831,185.714066,3.124000151,0.898380268,3.477369511,0.000506359,0.033311904,"histone deacetylase complex subunit SAP30 homolog, transcript variant X1"
151,LOC552016,164.4141684,3.157842042,0.953577421,3.311573841,0.000927728,0.049439754,mitochondrial 2-oxoglutarate/malate carrier protein
201,LOC727275,641.0045657,3.205604231,0.88156856,3.636250629,0.000276635,0.023621188,proliferating cell nuclear antigen
161,LOC552831,505.5878963,3.24014396,0.945625663,3.426455189,0.000611515,0.037575777,AKT-interacting protein
196,LOC726800,1146.214387,3.262262633,0.944447734,3.454148403,0.000552034,0.035377559,probable RNA polymerase II nuclear localization protein SLC7A6OS
179,LOC725337,337.0166978,3.438900368,1.025680764,3.352797955,0.000799991,0.044928517,"tRNA modification GTPase GTPBP3, mitochondrial, transcript variant X1"
109,LOC412291,177.6893463,3.557016448,1.077376262,3.301554501,0.000961507,0.049969638,uncharacterized protein KIAA2013 homolog
117,LOC412864,374.4484658,3.676674047,1.020727071,3.602014831,0.00031576,0.025372558,"FUN14 domain-containing protein 1, transcript variant X2"
160,LOC552772,444.2277763,3.720524981,0.888083976,4.189384207,2.80E-05,0.005126099,EEF1A lysine methyltransferase 1
118,LOC412928,263.3783382,3.722630175,1.053714386,3.532864527,0.000411083,0.029820651,"regulation of nuclear pre-mRNA domain-containing protein 1B, transcript variant X2"
101,LOC410890,198.1511551,3.726620171,1.065010871,3.499138153,0.000466765,0.031812272,protein seele
81,LOC408794,348.9569179,3.732617331,0.905967312,4.120035328,3.79E-05,0.00618296,ATP-dependent RNA helicase Ddx1
189,LOC726323,2111.277628,3.902502677,0.945852824,4.125908997,3.69E-05,0.00618296,"uncharacterized LOC726323, transcript variant X1"
154,LOC552261,178.7276073,3.907848164,1.164338955,3.356280528,0.000789984,0.044606336,EF-hand domain-containing protein D2 homolog
183,LOC725814,191.4184474,3.950626247,1.056248934,3.740241643,0.000183843,0.01882773,uncharacterized LOC725814
115,LOC412619,1336.464559,4.007475515,0.806394223,4.969623292,6.71E-07,0.000333691,"amidophosphoribosyltransferase, transcript variant X1"
130,LOC413881,146.5482594,4.009214165,0.956629626,4.190978469,2.78E-05,0.005126099,"AP-3 complex subunit sigma-2, transcript variant X1"
22,LOC100577553,102.5119577,4.024521822,1.075159247,3.743186724,0.000181701,0.018792571,protein ARV1
31,LOC100578723,124.1190024,4.035429734,1.095986941,3.68200531,0.000231407,0.021777236,"protein RRNAD1, transcript variant X3"
3,GeneID_406143,277.4030338,4.040330091,1.078843256,3.745057559,0.000180352,0.018792571,defensin 1
192,LOC726447,185.01751,4.053493114,1.065268845,3.805136264,0.000141726,0.016268916,histone H2B
95,LOC410092,116.7916175,4.0593515,1.177764619,3.446657706,0.000567567,0.036151262,dual oxidase maturation factor 1
19,LOC100577325,110.6818206,4.090614997,1.064146296,3.844034427,0.000121028,0.014205153,"uncharacterized LOC100577325, transcript variant X2"
137,LOC551354,148.2678395,4.11432369,1.2346995,3.332246988,0.000861478,0.046936949,exocyst complex component 4
176,LOC725097,71.67548171,4.128219198,1.248727153,3.305941725,0.000946578,0.049439754,"uncharacterized LOC725097, transcript variant X2"
124,LOC413252,132.8834699,4.137803052,1.197072092,3.456603058,0.00054703,0.035377559,"ATP-binding cassette sub-family F member 2, transcript variant X1"
60,LOC107965509,116.8290631,4.231793676,1.279298069,3.30790281,0.000939974,0.049439754,uncharacterized LOC107965509
163,LOC724367,2276.123597,4.272532324,0.90108249,4.741555154,2.12E-06,0.000923095,protein lethal(2)essential for life
134,LOC551055,54.12139909,4.275529839,1.222980617,3.495991499,0.000472304,0.031830225,"1-acylglycerol-3-phosphate O-acyltransferase Pnpla3, transcript variant X3"
86,LOC409342,307.5511882,4.28889649,1.047815437,4.093179333,4.25E-05,0.006734479,ADP-ribosylation factor-related protein 1
187,LOC726172,228.4783949,4.309479048,1.288747283,3.343928717,0.00082601,0.04614169,"death-associated inhibitor of apoptosis 2, transcript variant X2"
129,LOC413711,218.3331786,4.335695161,1.282424039,3.380859239,0.000722595,0.042405801,mitochondrial uncoupling protein Bmcp
94,LOC410076,256.1254483,4.369316932,1.222650941,3.573642146,0.00035205,0.027040545,"probable uridine-cytidine kinase, transcript variant X1"
193,LOC726496,368.2109707,4.412722119,1.058545086,4.168667142,3.06E-05,0.005334181,"protein lin-37 homolog, transcript variant X2"
186,LOC726107,266.1275061,4.415832638,1.178907339,3.745699507,0.000179892,0.018792571,"probable glutamate carboxypeptidase LAMP1, transcript variant X1"
199,LOC726969,592.5233044,4.46806646,1.126541881,3.966178743,7.30E-05,0.010042082,farnesyl pyrophosphate synthase
77,LOC406144,11273.08642,4.469936258,1.138496236,3.926175701,8.63E-05,0.011412205,abaecin
197,LOC726859,112.245293,4.470457051,1.298812863,3.441956249,0.000577524,0.036434276,farnesyl pyrophosphate synthase-like
146,LOC551812,225.4900896,4.533900833,1.23967879,3.657319032,0.000254867,0.023560544,mitochondrial tRNA-specific 2-thiouridylase 1
114,LOC412560,55.77330456,4.54644025,1.361849279,3.338431293,0.000842529,0.046582566,cyclin-dependent kinase 9
91,LOC409489,128.0035209,4.567901492,1.290635988,3.539264003,0.000401244,0.029310479,diphosphoinositol polyphosphate phosphohydrolase 1
127,LOC413437,65.37505401,4.575622615,1.305730092,3.504263739,0.000457872,0.031680478,protein unc-119 homolog B
120,LOC413055,292.923488,4.601727319,0.897620438,5.12658483,2.95E-07,0.000162213,uncharacterized LOC413055
126,LOC413393,292.4061249,4.608332885,1.243570111,3.705728245,0.000210784,0.020772187,box C/D snoRNA protein 1
13,LOC100576400,170.6647596,4.61230073,1.27868429,3.607067643,0.000309677,0.025272542,cilia- and flagella-associated protein 97
200,LOC727189,84.04209317,4.654272483,1.281295854,3.632472912,0.000280718,0.023621188,"geranylgeranyl pyrophosphate synthase, transcript variant X3"
155,LOC552361,435.1109409,4.710899076,1.313122362,3.58755529,0.000333793,0.025828158,"congested-like trachea protein, transcript variant X2"
145,LOC551708,202.904749,4.718841517,1.312618482,3.594983295,0.000324412,0.025479788,"vacuolar protein sorting-associated protein 41 homolog, transcript variant X3"
135,LOC551252,1817.628013,4.831291006,0.853634741,5.659670085,1.52E-08,1.13E-05,tropomyosin
185,LOC725918,260.0346321,4.877671877,1.26068924,3.869051723,0.000109259,0.013161825,"39S ribosomal protein L53, mitochondrial"
4,GeneID_409224,236.0425404,4.912475781,1.211881032,4.053595733,5.04E-05,0.007635624,ubiquinone biosynthesis protein COQ7
112,LOC412332,99.29078031,4.918319776,1.265014777,3.887954406,0.000101093,0.012723053,"mediator of RNA polymerase II transcription subunit 23, transcript variant X2"
100,LOC410690,196.7781875,4.933102244,1.175863711,4.195301035,2.73E-05,0.005126099,haloacid dehalogenase-like hydrolase domain-containing 5
21,LOC100577501,126.4772284,4.945987279,1.180275669,4.19053566,2.78E-05,0.005126099,nuclear pore membrane glycoprotein 210
82,LOC408866,463.979048,4.964598355,1.275651893,3.89181279,9.95E-05,0.012675076,uncharacterized aarF domain-containing protein kinase 1
159,LOC552768,226.1309151,5.052467548,1.151922087,4.386119171,1.15E-05,0.003090701,"phenylalanine--tRNA ligase alpha subunit, transcript variant X2"
62,LOC107965854,120.5432357,5.076133976,1.397042037,3.633486926,0.000279617,0.023621188,"uncharacterized LOC107965854, transcript variant X1"
170,LOC724891,235.4650099,5.07925742,1.443861519,3.517828651,0.000435093,0.030918256,"DNA polymerase epsilon subunit 2, transcript variant X2"
171,LOC724926,401.1177895,5.156069092,1.285268727,4.011666186,6.03E-05,0.008826469,"DNA polymerase alpha subunit B, transcript variant X1"
104,LOC411172,139.5495889,5.213480525,1.264527086,4.122869794,3.74E-05,0.00618296,tetratricopeptide repeat protein 5
140,LOC551480,113.2059927,5.277118297,1.350811132,3.906629263,9.36E-05,0.012069977,WD repeat-containing protein 92
142,LOC551578,177.110748,5.407234882,1.428455311,3.785372101,0.000153479,0.016972409,"protein O-mannosyl-transferase 2, transcript variant X2"
48,LOC102656733,89.57328532,5.502863374,1.459743803,3.769746009,0.000163414,0.01778146,DNA repair protein XRCC2 homolog
152,LOC552070,96.30354688,5.651028517,1.334875648,4.233374491,2.30E-05,0.004624578,"dynein intermediate chain 2, ciliary, transcript variant X2"
150,LOC551998,377.256776,5.795929818,1.461371239,3.966089974,7.31E-05,0.010042082,"cell death-inducing p53-target protein 1, transcript variant X2"
70,LOC113219028,313.164644,5.886778543,1.266610516,4.647662772,3.36E-06,0.001348808,pancreatic triacylglycerol lipase-like
76,LOC406142,2214.685582,5.932361708,1.4697333,4.03635252,5.43E-05,0.008101414,hymenoptaecin
148,LOC551842,30.536988,5.97008533,1.749405656,3.412636349,0.000643377,0.039073951,"E3 ubiquitin-protein ligase RNF25, transcript variant X2"
184,LOC725889,143.0275666,5.98519988,1.412741957,4.236583934,2.27E-05,0.004624578,uncharacterized LOC725889
89,LOC409388,317.6031636,6.084678957,1.053325375,5.776637593,7.62E-09,6.12E-06,"ras-related protein Rab-18-B, transcript variant X2"
