,Gene_ID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,description
97,LOC107964632,47.25113134,-23.4935384,2.596454151,-9.048316295,1.45E-19,1.28E-15,"uncharacterized LOC107964632, transcript variant X1"
92,LOC107963975,82.28268479,-17.73185839,2.567465107,-6.906367819,4.97E-12,1.47E-08,uncharacterized LOC107963975
559,LOC727243,504.1542032,-9.863926502,2.934568437,-3.36128692,0.000775802,0.020996473,uncharacterized LOC727243
373,LOC551702,113.9806326,-9.684350473,1.885105287,-5.137299513,2.79E-07,8.51E-05,UPF0565 protein C2orf69 homolog
491,LOC725341,99.66974547,-9.613449932,1.900239727,-5.059072177,4.21E-07,0.000120275,"beta-1,3-galactosyltransferase 5, transcript variant X2"
121,LOC113219087,129.7337606,-8.901433012,2.503717552,-3.55528642,0.000377568,0.013309737,uncharacterized LOC113219087
445,LOC724206,72.06506621,-8.438613332,1.795883033,-4.698865781,2.62E-06,0.00042875,TBC1 domain family member 31
82,LOC102656120,59.86443733,-8.21470009,1.983898634,-4.14068539,3.46E-05,0.002785896,uncharacterized LOC102656120
91,LOC107963964,50.87146823,-8.129260116,2.247728025,-3.616656474,0.000298433,0.011634941,"uncharacterized LOC107963964, transcript variant X1"
56,LOC100578347,33.16828481,-8.043079488,2.393928257,-3.359783011,0.000780037,0.021046733,uncharacterized LOC100578347
57,LOC100578468,49.18961529,-7.741190015,2.387588751,-3.242262727,0.001185846,0.027331882,"uncharacterized LOC100578468, transcript variant X2"
470,LOC724878,41.07319267,-7.507247164,2.30296623,-3.259816434,0.001114843,0.026417002,carbohydrate sulfotransferase 9
366,LOC551494,120.124189,-7.468227861,1.62416814,-4.598186404,4.26E-06,0.000598688,"resistance to inhibitors of cholinesterase protein 3, transcript variant X3"
115,LOC113218876,89.33834497,-7.414750186,2.218999965,-3.341482787,0.000833322,0.021690877,paramyosin-like
96,LOC107964516,173.7134589,-7.326607263,2.20701992,-3.319683342,0.000901196,0.023184841,"GATA zinc finger domain-containing protein 14-like, transcript variant X1"
246,LOC411252,80.00198921,-7.30289081,1.629545192,-4.481551568,7.41E-06,0.000925124,"GTP-binding protein 2, transcript variant X4"
401,LOC552181,186.2472104,-7.29200315,1.369732791,-5.323668381,1.02E-07,4.31E-05,EEF1A lysine methyltransferase 2
340,LOC413763,128.1621933,-7.266064861,1.856634951,-3.913566777,9.09E-05,0.005226255,"hydroxymethylglutaryl-CoA synthase 1, transcript variant X2"
239,LOC411073,130.7111299,-7.212202497,1.939401046,-3.718778286,0.000200189,0.008986875,cilia- and flagella-associated protein 57
29,LOC100577050,119.3449769,-7.137027499,1.699791954,-4.198765316,2.68E-05,0.002328542,"uncharacterized LOC100577050, transcript variant X1"
4,GeneID_406091,115.167337,-7.126888059,1.781628859,-4.000209148,6.33E-05,0.004148698,major royal jelly protein 2
72,LOC102654405,16642.09682,-7.111950898,1.433831599,-4.960101943,7.05E-07,0.000168524,uncharacterized LOC102654405
248,LOC411364,42.34429027,-7.072112354,1.721156764,-4.108929822,3.97E-05,0.003085831,protein UBASH3A homolog
272,LOC412017,133.8478482,-7.0514772,1.683926952,-4.187519649,2.82E-05,0.002423178,"etoposide-induced protein 2.4, transcript variant X2"
208,LOC410149,72.96621994,-7.024125933,1.873748129,-3.748703374,0.000177751,0.008254855,"carboxypeptidase Q, transcript variant X3"
531,LOC726471,55.72442883,-6.982621522,2.00594713,-3.480959901,0.00049962,0.01584817,"SET domain-containing protein SmydA-8, transcript variant X2"
12,GeneID_725256,3422.105761,-6.965366838,1.255397953,-5.548333754,2.88E-08,1.82E-05,cuticular protein 12
49,LOC100577829,38.87922675,-6.905522255,1.806472949,-3.82265467,0.000132023,0.006714943,"uncharacterized LOC100577829, transcript variant X2"
517,LOC726072,50.21364877,-6.899745027,1.924974447,-3.584330711,0.000337944,0.012619416,putative defense protein 3
182,LOC409512,145.1606222,-6.880707546,1.632624431,-4.214507277,2.50E-05,0.00226058,"neural/ectodermal development factor IMP-L2, transcript variant X1"
16,LOC100576198,82.51606297,-6.809028522,2.055929153,-3.311898423,0.000926652,0.023431054,bromodomain-containing protein DDB_G0270170
120,LOC113219068,32.48082434,-6.704851798,2.152185518,-3.115368885,0.00183715,0.034999637,uncharacterized LOC113219068
110,LOC113218576,93.02257838,-6.637257793,1.360240647,-4.879473208,1.06E-06,0.000229603,lysozyme-like
100,LOC107964984,36.53242397,-6.625172653,2.083141477,-3.180375758,0.001470842,0.030484663,uncharacterized LOC107964984
192,LOC409743,166.4475229,-6.571744557,1.380541492,-4.760265878,1.93E-06,0.000356467,"protein MON2 homolog, transcript variant X1"
14,LOC100187599,59.22422754,-6.551732388,1.880537354,-3.483968226,0.000494038,0.015784251,uncharacterized LOC100187599
385,LOC551930,115.1660044,-6.451614824,1.465585509,-4.402073292,1.07E-05,0.001220415,"GTP-binding protein Di-Ras2, transcript variant X2"
258,LOC411725,38.1113386,-6.443803851,1.871741808,-3.442677735,0.000575985,0.017457087,tektin-3
403,LOC552202,125.0985685,-6.39885718,1.644165729,-3.891856562,9.95E-05,0.005572142,"monocarboxylate transporter 9, transcript variant X2"
143,LOC408596,59.45354956,-6.398266687,1.66096208,-3.852144948,0.000117088,0.006095447,"clavesin-2, transcript variant X2"
187,LOC409646,127.8312029,-6.378317251,1.734662504,-3.6769788,0.000236013,0.010036242,"cationic amino acid transporter 3, transcript variant X1"
497,LOC725477,186.2915172,-6.35215239,1.361209134,-4.666551398,3.06E-06,0.000484059,"transmembrane protein 245, transcript variant X1"
64,LOC100578875,220.2622219,-6.343626163,1.18622775,-5.347730366,8.91E-08,4.24E-05,"beta-1,4-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase, transcript variant X1"
315,LOC413056,237.7394365,-6.246484225,1.242904424,-5.025715659,5.02E-07,0.000134509,uncharacterized LOC413056
549,LOC726778,166.7363399,-6.163655425,1.500021648,-4.109044316,3.97E-05,0.003085831,pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16
65,LOC100578936,107.8545891,-6.109530929,1.490098979,-4.100083965,4.13E-05,0.003150907,"methylenetetrahydrofolate reductase, transcript variant X1"
149,LOC408742,489.8233494,-6.031074949,1.24939656,-4.827190294,1.38E-06,0.000280055,"fatty-acid amide hydrolase 2-B, transcript variant X3"
154,LOC408883,73.99776877,-6.025041018,1.333904942,-4.516844364,6.28E-06,0.0008291,deoxycytidylate deaminase
413,LOC552496,166.4835701,-6.016074039,1.375718956,-4.373040012,1.23E-05,0.001338735,polypeptide N-acetylgalactosaminyltransferase 35A
538,LOC726551,107.8867157,-5.963779144,1.664662748,-3.582574999,0.000340224,0.012651183,"DNA ligase 4, transcript variant X3"
