sample_ID	condition
adult_AG1-1	adult_gut_transfer
adult_AG1-2	adult_gut_transfer
adult_AG3	adult_gut_transfer
adult_BB1	bee_bread_addition
adult_BB2	bee_bread_addition
adult_BB3	bee_bread_addition
adult_C2	lab_food_nothing
adult_C3-1	lab_food_nothing
adult_C3-2	lab_food_nothing
adult_Hive1	hive_control
adult_Hive2	hive_control
adult_Hive3	hive_control
adult_LG1	larva_gut_transfer
adult_LG2	larva_gut_transfer
adult_LG3	larva_gut_transfer
adult_LGBB1	larva_gut_bee_bread
adult_LGBB2	larva_gut_bee_bread
adult_LGBB3	larva_gut_bee_bread
