Sample_ID	sample	life_state	condition	condition2	batch
1	adult_AG1-1	adult	adult_gut_transfer	AG	adult_one
2	adult_AG1-2	adult	adult_gut_transfer	AG	adult_one
3	adult_AG3	adult	adult_gut_transfer	AG	adult_one
4	adult_BB1	adult	bee_bread_addition	BB	adult_one
5	adult_BB2	adult	bee_bread_addition	BB	adult_one
6	adult_BB3	adult	bee_bread_addition	BB	adult_one
7	adult_C2	adult	lab_food_nothing	C	adult_one
8	adult_C3-1	adult	lab_food_nothing	C	adult_one
9	adult_C3-2	adult	lab_food_nothing	C	adult_one
10	adult_Hive1	adult	hive_control	Hive	adult_one
11	adult_Hive2	adult	hive_control	Hive	adult_one
12	adult_Hive3	adult	hive_control	Hive	adult_one
13	adult_LG1	adult	larva_gut_transfer	LG	adult_one
14	adult_LG2	adult	larva_gut_transfer	LG	adult_one
15	adult_LG3	adult	larva_gut_transfer	LG	adult_one
16	adult_LGBB1	adult	larva_gut_bee_bread	LGBB	adult_one
17	adult_LGBB2	adult	larva_gut_bee_bread	LGBB	adult_one
18	adult_LGBB3	adult	larva_gut_bee_bread	LGBB	adult_one
19	larva_1_11_AG_III	larva	adult_gut_transfer	AG	larva_two
20	larva_1_11_AG_I	larva	adult_gut_transfer	AG	larva_one
21	larva_1_11_AG_IV	larva	adult_gut_transfer	AG	larva_two
22	larva_1_11_BB_III	larva	bee_bread_addition	BB	larva_two
23	larva_1_11_BB_I	larva	bee_bread_addition	BB	larva_one
24	larva_1_11_BB_V	larva	bee_bread_addition	BB	larva_two
25	larva_1_11_C_I	larva	lab_food_nothing	C	larva_one
26	larva_1_11_C_IV	larva	lab_food_nothing	C	larva_two
27	larva_1_11_C_V	larva	lab_food_nothing	C	larva_two
28	larva_1_11_Hive_I	larva	hive_control	Hive	larva_one
29	larva_1_11_Hive_IV	larva	hive_control	Hive	larva_two
30	larva_1_11_Hive_VI	larva	hive_control	Hive	larva_two
31	larva_1_11_LGBB_III	larva	larva_gut_transfer	LG	larva_two
32	larva_1_11_LGBB_II	larva	larva_gut_transfer	LG	larva_one
33	larva_1_11_LGBB_V	larva	larva_gut_transfer	LG	larva_two
34	larva_1_11_LG_II	larva	larva_gut_bee_bread	LGBB	larva_one
35	larva_1_11_LG_VI	larva	larva_gut_bee_bread	LGBB	larva_two
36	larva_1_11_LG_V	larva	larva_gut_bee_bread	LGBB	larva_two
