#OTU ID	AG_Larva_I	AG_Larva_II	AG_Larva_III	AG1_I	AG1_II	AG1_III	AG3_I	AG3_II	BB1_I	BB1_II	BB1_III	BB2_I	BB2_II	BB2_III	BB3_I	BB3_II	BB3_III	C1_I	C1_II	C1_III	C2_I	C2_II	C2_III	C3_I	C3_II	C3_III	C3_IV	H1_I	H1_II	H2_I_1	H2_I_2	H2_II	H2_III	H3_I_1	H3_I_2	H3_III	LG1_I	LG1_II	LG1_III	LG1_IV	LG2_I	LG2_II	LG2_III	LG3_I	LG3_II	LG3_III	LGBB1_I	LGBB1_II	LGBB1_III	LGBB2_I	LGBB2_II	LGBB2_III	LGBB3_I	LGBB3_II	LGBB3_III	LGBB3_IV	NG_mix
d0102b29b6ce8939f310265563e22bf6	10509	10042	4212	17010	397	14209	27334	40496	42568	41724	57574	41491	23712	56162	46508	36204	29966	64490	33586	28197	18913	41707	6438	39576	41945	37037	34089	36611	17982	36949	11950	18942	5158	52399	39866	38521	11235	49271	40942	25497	38372	36026	22664	30048	39084	43939	24895	42	186	46097	38585	31322	38580	53625	32640	30502	7501
2ff15caef6ebb4cc1def65bad07d227c	2274	5107	1189	10193	0	12030	15376	11411	17316	16	8324	12559	4657	373	8635	10551	10340	2016	9121	0	7915	37	11243	4944	15049	22246	18586	2665	15208	5115	11869	11671	19910	5954	10764	1387	2018	1992	9001	14160	17284	14603	15177	18423	20971	19298	6476	14298	19331	3344	11560	1244	13552	19883	11692	3893	8984
240ad7d9312e4b9591df263fbbbf19d0	19	22	27	6680	9272	5287	10972	4701	1311	662	2584	1575	13824	7407	7767	11533	1241	7678	12328	4036	15724	13101	11636	11546	6021	12153	2773	9593	13527	12890	7392	10417	2854	7179	9215	3158	3750	8908	7115	8788	4370	3555	9228	15562	3976	4228	1947	1747	8807	2427	9204	7238	1672	1547	6349	6980	3778
71461cf21e9a83d1de11a3c432ddb72a	2167	2395	2348	4870	929	5668	7882	5446	8842	0	7123	5684	2368	161	4070	5275	5425	1050	4542	33600	3779	307	5888	2557	7937	13944	9263	1430	6602	2365	6069	5614	10006	3005	5386	837	1180	1026	3987	7258	8385	7244	7774	9345	10715	9733	3110	7327	9593	1801	6008	572	8226	10727	5779	2282	6730
b2a001f6c04eed1065b2e3f8237481d4	0	0	0	5544	504	6796	8655	6116	9627	0	4735	7002	2360	197	5255	6394	6262	1147	5144	0	4698	88	6350	2801	8465	12898	10289	1542	8270	2892	6682	6538	10455	3263	5938	749	1192	1032	5091	7568	9893	8342	8549	10739	11510	10901	3556	7862	10390	2059	6623	677	7634	10808	6833	1834	2705
08e048c2f9911e1674d43874b1c67420	58410	74526	42611	2184	29	22674	30	15	39	11314	5	315	0	0	0	6	0	192	2	0	0	6	0	0	0	0	0	8	0	3	0	0	0	165	24	2542	0	0	0	0	0	0	4	0	0	0	13484	27	59	869	0	137	0	26	2	0	882
b63e42a77971ef3b3738e4cff55485f7	0	0	996	1412	4367	2694	2491	3174	5010	5073	4531	1017	4156	8107	2833	2409	6362	4706	1455	3764	1959	3000	3454	2815	3124	3116	1339	1772	1918	2249	2602	7562	3548	2746	2089	5751	1551	1062	1107	929	4004	3237	1942	3290	2148	5006	2671	902	4839	5149	3641	3089	7065	2618	5176	10221	4609
5c8495b8d23f85a365be0017a776d4b8	9	0	0	1893	1986	710	2445	2513	1167	3234	1254	1893	3035	1534	4482	4749	1568	8590	4828	685	2341	3711	5239	1258	2787	2299	2241	1407	1555	2912	3739	3469	3072	5741	3919	2521	494	4138	1966	3566	1863	1857	4229	5914	1330	1180	5933	8893	7234	5825	1333	3095	2254	3759	2278	1488	12376
b5e19a79de35a0170cbd8ce540726edc	11	6	0	225	2414	3713	1436	3955	2517	978	3248	1998	2561	11646	0	0	621	17	2282	0	2782	1863	2500	6465	849	10002	537	7771	6361	2110	611	11625	18237	323	653	716	3826	2873	2214	3064	6033	5161	1729	727	1647	1243	0	0	54	7055	1889	14096	1039	1640	7293	217	27
435ec6f5768dd5d8402c4b0b891b2481	21	0	19472	1425	10338	2750	729	2265	968	514	2481	1138	1180	2383	3176	1897	630	2787	796	1449	1877	3104	3027	1771	959	2557	7302	2768	767	1892	3390	342	9645	2676	1350	2727	2606	2581	1485	840	4102	3672	2330	3356	2187	2628	317	5206	4773	556	1742	1178	2421	338	4118	12091	1121
