treatment	weight
Hive	0.153
Hive	0.15
Hive	0.155
Hive	0.193
Hive	0.16
Hive	0.15
Hive	0.155
Hive	0.152
Hive	0.145
Hive	0.156
Hive	0.115
Hive	0.114
Hive	0.144
Hive	0.125
C	0.13
C	0.144
C	0.145
C	0.122
C	0.118
C	0.16
C	0.157
C	0.139
C	0.107
C	0.129
C	0.13
C	0.15
C	0.139
AG	0.135
AG	0.119
AG	0.1
AG	0.134
AG	0.1495
AG	0.1425
AG	0.1464
AG	0.1314
AG	0.1302
AG	0.125
AG	0.1216
AG	0.1434
AG	0.126
AG	0.11
BB	0.132
BB	0.128
BB	0.125
BB	0.1
BB	0.11
BB	0.132
BB	0.167
BB	0.134
BB	0.122
BB	0.0999
BB	0.146
BB	0.118
LG	0.142
LG	0.1106
LG	0.1217
LG	0.1435
LG	0.1367
LG	0.112
LG	0.124
LG	0.1238
LG	0.1375
LG	0.1362
LG	0.1315
LG	0.127
LG	0.122
LGBB	0.143
LGBB	0.116
LGBB	0.1137
LGBB	0.104
LGBB	0.126
LGBB	0.112
LGBB	0.118
LGBB	0.13
LGBB	0.109
LGBB	0.21
LGBB	0.1435
LGBB	0.1395
