SampleID	source	treatment	treatment2	treatment_day	treatment_cage	run	Sample_or_Control	day_in_lab	cage
X1.11.AG.I	larvae	AG	AG	six	NA	two	True Sample	AG_six	NA
X1.11.AG.II	larvae	AG	AG	six	NA	two	True Sample	AG_six	NA
X1.11.AG.III	larvae	AG	AG	six	NA	two	True Sample	AG_six	NA
X1.11.AG.IV	larvae	AG	AG	six	NA	two	True Sample	AG_six	NA
X1.11.BB.I	larvae	BB	BB	six	NA	two	True Sample	BB_six	NA
X1.11.BB.II	larvae	BB	BB	six	NA	two	True Sample	BB_six	NA
X1.11.BB.III	larvae	BB	BB	six	NA	two	True Sample	BB_six	NA
X1.11.BB.IV	larvae	BB	BB	six	NA	two	True Sample	BB_six	NA
X1.11.BB.V	larvae	BB	BB	six	NA	two	True Sample	BB_six	NA
X1.11.BB.VI	larvae	BB	BB	six	NA	two	True Sample	BB_six	NA
X1.11.C.I	larvae	C	C	six	NA	two	True Sample	C_six	NA
X1.11.C.II	larvae	C	C	six	NA	two	True Sample	C_six	NA
X1.11.C.III	larvae	C	C	six	NA	two	True Sample	C_six	NA
X1.11.C.IV	larvae	C	C	six	NA	two	True Sample	C_six	NA
X1.11.C.V	larvae	C	C	six	NA	two	True Sample	C_six	NA
X1.11.Hive.I	larvae	Hive	Hive	six	NA	two	True Sample	Hive_six	NA
X1.11.Hive.II	larvae	Hive	Hive	six	NA	two	True Sample	Hive_six	NA
X1.11.Hive.III	larvae	Hive	Hive	six	NA	two	True Sample	Hive_six	NA
X1.11.Hive.IV	larvae	Hive	Hive	six	NA	two	True Sample	Hive_six	NA
X1.11.Hive.V	larvae	Hive	Hive	six	NA	two	True Sample	Hive_six	NA
X1.11.Hive.VI	larvae	Hive	Hive	six	NA	two	True Sample	Hive_six	NA
X1.11.LG.I	larvae	LG	LG	six	NA	two	True Sample	LG_six	NA
X1.11.LG.II	larvae	LG	LG	six	NA	two	True Sample	LG_six	NA
X1.11.LG.III	larvae	LG	LG	six	NA	two	True Sample	LG_six	NA
X1.11.LG.IV	larvae	LG	LG	six	NA	two	True Sample	LG_six	NA
X1.11.LG.V	larvae	LG	LG	six	NA	two	True Sample	LG_six	NA
X1.11.LG.VI	larvae	LG	LG	six	NA	two	True Sample	LG_six	NA
X1.11.LGBB.I	larvae	LGBB	LGBB	six	NA	two	True Sample	LGBB_six	NA
X1.11.LGBB.II	larvae	LGBB	LGBB	six	NA	two	True Sample	LGBB_six	NA
X1.11.LGBB.III	larvae	LGBB	LGBB	six	NA	two	True Sample	LGBB_six	NA
X1.11.LGBB.IV	larvae	LGBB	LGBB	six	NA	two	True Sample	LGBB_six	NA
X1.11.LGBB.V	larvae	LGBB	LGBB	six	NA	two	True Sample	LGBB_six	NA
X1.11.LGBB.VI	larvae	LGBB	LGBB	six	NA	two	True Sample	LGBB_six	NA
X26.10.II	larvae	start_single_larvae	start_larvae	zero	NA	two	True Sample	single_zero	NA
X26.10.III	larvae	start_single_larvae	start_larvae	zero	NA	two	True Sample	single_zero	NA
X26.10.IV	larvae	start_single_larvae	start_larvae	zero	NA	two	True Sample	single_zero	NA
X26.10.pool.I	larvae	start_pooled_larvae	start_larvae	zero	NA	two	True Sample	pool_zero	NA
X26.10.pool.II	larvae	start_pooled_larvae	start_larvae	zero	NA	two	True Sample	pool_zero	NA
X26.10.pool.III	larvae	start_pooled_larvae	start_larvae	zero	NA	two	True Sample	pool_zero	NA
X29.10.AG.I	larvae	AG	AG	three	NA	two	True Sample	AG_three	NA
X29.10.AG.II	larvae	AG	AG	three	NA	two	True Sample	AG_three	NA
X29.10.AG.III	larvae	AG	AG	three	NA	two	True Sample	AG_three	NA
X29.10.AG.IV	larvae	AG	AG	three	NA	two	True Sample	AG_three	NA
X29.10.AG.VI	larvae	AG	AG	three	NA	two	True Sample	AG_three	NA
X29.10.BB.I	larvae	BB	BB	three	NA	two	True Sample	BB_three	NA
X29.10.BB.II	larvae	BB	BB	three	NA	two	True Sample	BB_three	NA
X29.10.BB.III	larvae	BB	BB	three	NA	two	True Sample	BB_three	NA
X29.10.BB.IV	larvae	BB	BB	three	NA	two	True Sample	BB_three	NA
X29.10.BB.V	larvae	BB	BB	three	NA	two	True Sample	BB_three	NA
X29.10.C.II	larvae	C	C	three	NA	two	True Sample	C_three	NA
X29.10.C.III	larvae	C	C	three	NA	two	True Sample	C_three	NA
X29.10.C.IV	larvae	C	C	three	NA	two	True Sample	C_three	NA
X29.10.C.V	larvae	C	C	three	NA	two	True Sample	C_three	NA
X29.10.C.VI	larvae	C	C	three	NA	two	True Sample	C_three	NA
X29.10.Hive.II	larvae	Hive	Hive	three	NA	two	True Sample	Hive_three	NA
X29.10.Hive.III	larvae	Hive	Hive	three	NA	two	True Sample	Hive_three	NA
X29.10.Hive.IV	larvae	Hive	Hive	three	NA	two	True Sample	Hive_three	NA
X29.10.Hive.V	larvae	Hive	Hive	three	NA	two	True Sample	Hive_three	NA
