#OTU ID	1-11-AG-I	1-11-AG-II	1-11-AG-III	1-11-AG-IV	1-11-BB-I	1-11-BB-II	1-11-BB-III	1-11-BB-IV	1-11-BB-V	1-11-BB-VI	1-11-C-I	1-11-C-II	1-11-C-III	1-11-C-IV	1-11-C-V	1-11-Hive-I	1-11-Hive-II	1-11-Hive-III	1-11-Hive-IV	1-11-Hive-V	1-11-Hive-VI	1-11-LG-I	1-11-LG-II	1-11-LG-III	1-11-LG-IV	1-11-LG-V	1-11-LG-VI	1-11-LGBB-I	1-11-LGBB-II	1-11-LGBB-III	1-11-LGBB-IV	1-11-LGBB-V	1-11-LGBB-VI	26-10-II	26-10-III	26-10-IV	26-10-pool-I	26-10-pool-II	26-10-pool-III	29-10-AG-I	29-10-AG-II	29-10-AG-III	29-10-AG-IV	29-10-AG-VI	29-10-BB-I	29-10-BB-II	29-10-BB-III	29-10-BB-IV	29-10-BB-V	29-10-C-II	29-10-C-III	29-10-C-IV	29-10-C-V	29-10-C-VI	29-10-Hive-II	29-10-Hive-III	29-10-Hive-IV	29-10-Hive-V	29-10-Hive-VI	29-10-LG-BB-I	29-10-LG-BB-II	29-10-LG-BB-III	29-10-LG-BB-IV	29-10-LG-BB-V	29-10-LG-I	29-10-LG-II	29-10-LG-III	29-10-LG-IV	29-10-LG-V	30-10-AG-I	30-10-AG-II	30-10-AG-III	30-10-BB-I	30-10-BB-II	30-10-BB-III	30-10-C-I	30-10-C-II	30-10-C-III	30-10-LG-BB-I	30-10-LG-BB-II	30-10-LG-BB-III	30-10-LG-I	30-10-LG-II	30-10-LG-III	31-10-Hive-I	31-10-Hive-II	31-10-Hive-III	AG-both-pool-mix	BB-mix	LG-both-pool-mix
41c5571099c40b69a0ff8ff7a780d7ff	12688	4511	247	35467	0	326	0	421	1039	100	1252	1074	3697	2853	0	104	94	101	0	107	4140	72747	105143	94344	76302	92944	79794	91888	104553	89569	128125	79367	108842	0	0	0	0	0	0	34349	492	15977	697	460	5045	5548	4327	7058	38	2567	3327	3208	2576	5145	0	0	0	0	0	53867	75205	17574	80073	62967	52804	54724	11773	67491	1072	1595	61566	75027	1212	1000	401	1948	302	2372	35961	65048	100046	74242	86058	68724	49	92	41	20	0	139
b4e3ad1e3169dc2a6039ca1de9daa560	0	0	0	0	18066	2363	4650	53555	57509	0	216	0	0	0	0	0	0	0	22	62	397	6666	0	1034	49763	493	39013	0	410	0	0	35665	0	91750	0	0	0	0	1554	0	74	1193	0	225	0	493	0	0	0	63	0	0	0	1204	0	455	0	0	0	34421	36760	37297	8827	33953	25001	14666	12803	20971	799	0	0	0	457	0	0	0	0	0	47288	2033	7411	6306	20188	19363	0	0	106	0	20	0
b5e19a79de35a0170cbd8ce540726edc	52	50	126	39	5524	6335	1468	549	2405	3786	20083	25367	17954	15478	0	14	52	15	8	0	17	11	14	51	40	33	26	23	35	11	63	131	16	8	5	0	0	0	0	6798	9039	11176	9377	11539	15663	16294	13353	16581	10809	6587	11801	15565	13987	15598	3	3662	0	0	0	729	123	1148	641	738	367	482	607	158	344	2286	2044	251	4571	8794	6056	26059	13950	11723	68	176	293	91	254	120	27627	2631	63278	45	16	130
08e048c2f9911e1674d43874b1c67420	51482	91653	106817	112478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	21	15	47	23	24	25	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6849	939	1772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	413	0	0
77ecf4e288aa6a072d0eb4bb717ef0f7	0	0	0	0	18161	29086	1237	1353	7544	51794	0	0	269	0	0	0	0	0	0	0	0	14	0	0	4	0	0	123	46	13	734	623	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	50655	24749	34487	0	0	5	279	98	1464	3	0	0	302	0	0	0	54187	0
985e326477a7d86865deaab4ab1f5cb4	29	46	82	23	2003	3591	88	160	767	2830	6169	3066	7056	2585	0	0	12	29	22	9	42	0	0	52	9	20	28	12	16	32	42	33	0	34	2181	16887	5866	15021	7618	1336	651	1592	870	277	3859	6187	11827	10431	7255	5612	5312	11292	9587	4088	18485	2615	2768	19126	5119	336	299	867	369	689	477	338	105	142	313	141	166	37	2229	12795	4384	10377	5090	7914	0	51	140	27	226	105	9039	8963	2272	0	0	0
2ff15caef6ebb4cc1def65bad07d227c	8	10	0	0	0	0	0	0	0	0	5	8975	8	8	6	12600	58847	60578	0	81125	0	0	9	17	0	0	0	0	0	0	0	0	0	54	3671	0	0	4	0	361	1703	899	1335	2076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2943	209	21	1034	57	589	0	327	147	156	117	3116	27	0	0	0	0	0	0	0	0	12	0	0	75	0	0	0	0	2698	0	16847
c8aca13f158291058256868ed3f2fd64	0	0	0	0	8	0	2192	5	7	9	0	0	0	0	0	835	22301	13434	583	155	58068	0	2	7	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	73	0	0	0	0	0	0	0	176	0	0	0	0	0	0	0	0	0	0	2843	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	70	8	85	0	0	0	0	0	0	38173
a5dd47b87408dbe332f85bd9b1f051e9	0	0	9	9	66	401	73	38	143	516	4564	2426	3998	2195	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	9	0	0	0	0	0	0	0	794	1701	224	777	1984	9476	15184	8379	12378	2485	3968	5102	9511	9605	8118	0	0	0	0	0	410	0	594	158	856	14	411	227	92	216	435	0	11	2686	526	499	8974	648	7276	8	26	46	14	286	43	0	0	0	0	0	0
9587e1a7aaf87d8240f0f4001505e00a	0	0	0	4	824	14133	82346	102	235	364	1524	0	1966	1758	0	0	0	0	0	0	4	0	0	8	5	0	0	0	3861	0	0	0	4	0	0	0	0	0	0	0	0	160	0	117	0	605	384	0	0	0	383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	20	0	81	790	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
76616eceeca24e6240288d4145f120d0	7	0	13	0	749	347	18	87	34	212	720	1094	4884	214	5212	0	0	6	0	0	26	20	12	0	6	3	0	0	0	0	5	0	0	0	3126	9334	6018	4085	4602	471	250	591	164	208	0	1249	1992	5070	3002	777	673	2035	967	1457	9087	665	0	1405	1844	67	50	462	151	16	37	101	36	90	96	39	44	9	25	1843	325	2306	566	2541	13	56	31	4	29	12	2857	2832	532	0	6	0
edc85c1fa27a9d676ee120bae03dffd2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81787	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138	114	397	33	1343	143	0	0	0	0	0	593
65ddf30dec82ad37df3923042d536048	9	0	4	5	361	305	103	56	0	294	80	0	1633	747	11079	0	0	9	6	0	19	0	2	9	6	0	0	3	0	9	0	2	5	0	677	4801	3174	1432	1704	23	51	0	161	243	1259	778	2889	0	1193	484	517	3623	1836	0	2484	548	1180	7212	3475	55	71	54	84	149	37	0	28	0	22	55	61	0	61	816	563	1858	4558	3168	0	9	6	0	0	13	2154	1468	264	0	0	0
f0cf3e2b121e38585a104342da73e2f5	338	99	0	957	0	0	0	0	0	0	39	34	87	71	0	0	0	0	0	0	106	2032	2879	2433	1967	2406	2089	2388	2742	2328	3453	2046	2932	0	0	0	0	0	0	931	0	447	0	0	138	152	97	197	0	62	92	77	58	169	0	0	0	0	0	1420	2041	477	2201	1790	1425	1496	381	1746	41	47	1781	2139	0	0	0	58	0	60	934	1504	2626	2032	2416	1794	0	0	0	0	0	0
b4a61e4d59e2b877ecbaabeed49c54dd	318	112	0	974	0	0	0	0	0	0	0	37	113	55	0	0	0	0	0	0	95	1827	2721	2379	2031	2408	2041	2368	2735	2384	3393	2059	2952	0	0	0	0	0	0	878	0	394	0	0	126	130	125	186	0	69	90	73	75	117	0	0	0	0	0	1376	1829	490	1995	1539	1426	1415	313	1707	0	0	1631	1874	0	0	0	46	0	51	947	1840	2648	1893	2216	1863	0	0	0	0	0	0
dd2f067657978822aacfb9bfc37d0529	38	40	50	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7272	11692	7231	8928	9303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	12	0	0	0	6044	1012	784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1496	0	0
46a8bacf8afa26bcd6129830174f6c57	0	0	0	0	147	0	80	53	18	25	496	0	390	337	16783	0	3	0	6	0	0	0	0	0	0	0	8	2	0	0	0	0	0	0	1562	2396	2569	244	1617	95	149	0	85	0	0	1244	884	410	459	0	191	0	1427	547	0	153	4294	3020	428	0	0	16	0	0	100	59	57	0	30	0	29	0	0	1700	0	1454	0	1005	0	28	17	0	25	16	800	975	0	0	0	0
93091a3598ba288889cd2e231419b78a	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2509	0	0	0	0	0	0	2410	0	0	0	0	8855	3228	0	8410	0	0	0	0	0	0	0	0	0	0	0	0	0	8768	1935	14900	0	0	23	0	0	0	0	0	0	0	25	0	16	0	0	0	0	0	0	0	0
2d74682704fd3965d122f02bce22b980	0	6	35	0	0	936	145	122	252	573	1552	904	0	0	0	0	0	10	0	0	0	0	13	0	0	7	11	6	14	0	0	17	0	0	0	2090	1599	0	1650	395	123	221	230	292	1833	0	0	1430	0	0	1361	0	2573	0	0	3038	3145	4313	7129	88	0	138	0	233	100	102	0	67	0	33	39	0	261	0	0	1902	2736	1496	22	50	45	12	104	42	3572	4688	276	0	0	0
d51f56426ad963775a932ca54166dbc1	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7090	9048	10645	8724	8434	0	0	77	0	0	127	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	8	0	3782	593	391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1715	0	0
47e7e48579b15c61ecde30419386b2c2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15598	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	267	144	0	4129	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2408	1655	23	2391	872	3190	109	1149	967	870	1368	52	0	0	0	0	0	0	0	0	79	36	263	37	673	150	0	0	0	1188	0	12737
36f76b256771d8dfb36971a5fc6896ff	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2553	0	0	0	0	0	0	4904	0	0	0	0	7864	4790	0	1341	0	0	0	0	0	0	0	0	0	0	0	0	2	8263	1483	9628	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
5ddec365a219879f78bca37841b40296	0	0	0	0	0	89	9	0	0	0	1137	182	2583	252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	355	686	0	125	736	816	2481	2481	0	112	1054	1030	636	2778	1821	0	0	0	0	0	0	0	0	132	292	45	27	0	24	50	99	23	0	332	0	0	547	0	1530	0	28	0	0	42	0	5452	4446	8739	14	0	61
788fb4f419b316765f1861b318d684f3	0	0	0	0	219	0	0	66	45	85	277	0	835	0	11357	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	11	0	0	3524	4022	1172	0	239	711	35	0	552	52	0	510	1945	237	768	0	0	370	3666	621	2421	0	197	0	0	186	27	0	0	48	15	10	41	22	30	0	80	925	851	0	2273	0	0	0	0	0	15	0	0	247	229	0	0	0
70a5f82f022297f17bf138faac57e6c4	0	0	0	0	0	0	0	0	0	0	0	0	0	5258	0	0	0	0	0	0	33	0	20	0	0	0	0	0	0	0	0	0	0	0	4629	0	0	0	0	0	755	0	0	750	0	0	0	0	0	0	3557	0	0	0	14348	0	7825	0	0	0	0	0	0	0	0	0	98	0	0	59	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0
11e3f03afef2a4a8bd2e09ee34b33ed3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5846	5706	8154	8050	6352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1113	194	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119	0	40
eb4bc1a24f8292f50674dd13fa53e569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2031
71461cf21e9a83d1de11a3c432ddb72a	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1038	1005	902	1406	1994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	880	39	261	41	59	108	33	108	491	40	22	0	0	0	0	0	0	0	0	35	0	0	14	0	0	0	1483	0	25180
2a57f280b8c491bfbbca1b087c67879c	0	0	0	0	687	399	0	0	105	205	1982	563	845	969	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	214	615	42	269	600	248	3769	2539	4113	392	1130	799	1128	3460	1900	0	0	0	0	0	112	22	29	0	319	43	57	73	48	23	155	36	0	994	952	510	1468	0	1496	14	0	20	0	65	0	0	0	0	0	0	11
744a48e7a8b3145d9593ed2ab96fa2ac	0	0	0	9	0	0	0	89	0	23	0	110	0	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1433	1100	0	744	1820	0	0	434	53	0	923	0	0	911	2069	297	242	3328	0	685	0	172	0	2681	967	85	12	52	0	58	0	24	0	6	0	0	0	13	0	738	297	0	4901	0	0	0	0	0	0	0	0	760	239	0	0	0
b63e42a77971ef3b3738e4cff55485f7	23	31	79	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3280	6207	3868	4701	3454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2892	683	378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2372	0	0
5c8495b8d23f85a365be0017a776d4b8	62	30	210	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1566	2280	3711	3299	4783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1879	885	471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8307	0	0
13a9934a0382a34fbdb6c5b309d4d074	0	0	0	0	0	60	39	24	21	0	398	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3740	1394	0	0	248	86	325	0	0	0	0	0	0	2843	0	899	0	2227	0	4	0	2518	9603	0	134	0	0	0	0	0	0	0	23	0	24	0	6	0	0	0	0	0	1972	0	0	0	0	0	0	305	0	0	0	0	0
98a3799ad1bc16a01a72c515ad85aaff	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2311	5406	2725	4310	5336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	20	0	94	54	0	0	1503	172	68	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	4330	0	368
f4f0a9a4efeb8240be7c25f0de92304a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1915	0	0	0	0	4969	2025	0	3409	0	0	0	0	0	0	0	0	0	0	0	0	0	4801	1005	6222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
240ad7d9312e4b9591df263fbbbf19d0	47	51	104	43	0	0	0	0	5	114	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	851	1526	1107	1094	1768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6053	1946	1105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7467	0	0
649d4d4a6ebd43ff0bffb5bfe22e4123	0	0	0	0	456	0	0	0	0	0	0	0	3039	1254	0	0	0	0	0	0	19	0	0	16	5	0	0	0	0	10	0	0	16	0	1413	0	0	1526	0	0	0	0	0	0	0	1423	2101	0	2062	626	0	1915	0	657	2373	0	0	0	0	0	38	0	74	0	0	0	22	0	31	0	0	32	0	757	938	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
949b64eb4fe67a629d1ae2593b800134	0	0	3	0	233	131	0	175	54	160	0	0	0	403	5141	0	0	0	8	0	9	0	0	5	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	23	39	67	0	0	0	382	0	0	595	193	236	0	0	1099	0	533	0	2954	2334	60	21	165	19	27	317	34	41	17	0	0	16	9	39	1455	0	0	0	0	14	0	9	4	17	14	0	0	513	0	0	0
3d97be595d024c80f8fa449a9ebeca4a	0	0	0	0	0	6	0	0	0	125	0	0	0	0	3847	0	0	0	0	0	0	2	0	0	0	0	5	0	0	0	0	0	0	0	2393	0	0	0	0	0	71	0	0	18	0	0	1037	0	0	0	0	0	0	1082	0	0	0	0	0	0	38	0	0	0	0	0	0	0	17	0	7	0	0	0	0	0	9250	0	5	0	20	0	0	0	537	1174	87	0	0	0
b62c5d7c064f1765b34f23849892624d	74	16	89	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1363	1976	3208	1471	2173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4138	1017	585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3208	0	0
ec3979c71707e53d1bc22edbb3a55b15	0	0	0	0	516	83	127	1443	1613	0	0	0	0	0	0	0	0	0	0	0	0	160	0	0	1300	0	1047	0	0	0	0	946	0	2441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	905	1007	1008	234	1016	696	402	330	559	0	0	0	0	0	0	0	0	0	0	1247	0	206	175	554	539	0	0	0	0	0	0
59335ba1416983a84181d7b50dccde18	0	0	0	0	460	66	126	1338	1441	0	0	0	0	0	0	0	0	0	0	0	0	164	0	0	1316	0	988	0	0	0	0	901	0	2347	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	912	926	878	193	928	666	384	325	498	0	0	0	0	0	0	0	0	0	0	1201	51	178	163	497	489	0	0	0	0	0	0
1bc5259c39e088fcd9f6b16f94f83cff	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1032
