sample	description	treatment	cage	raw_copies_16S	raw_Actin_copies	copies_16S_per_bee	Actin_copies_per_bee	16S_divided_by_Actin	dilution_and_initial_yield_factor_multiply_to_get_per_sample	mean_actin	normalized_16S_per_sample
Nurse_1	Nurse	Nurse	no	3702433.25	32893.25063	4317407413	38356819.56	112.5590563	1166.1	4698.015177	616638524.9
Nurse_2	Nurse	Nurse	no	1826424.96	22362.26433	2104041554	25761328.51	81.6744196	1152	4698.015177	442031227.6
Nurse_3	Nurse	Nurse	no	347727.6043	13642.63673	375337176.1	14725862.09	25.48829901	1079.4	4698.015177	129252122.2
Nurse_4	Nurse	Nurse	no	1322776.337	15268.55143	1712730801	19769720.39	86.63404273	1294.8	4698.015177	526994020
C1_I	lab_no_addition	C	one	369882.8127	4304.444827	174390573.1	2029438.986	85.93043414	471.4752	4698.015177	190335709.2
C1_II	lab_no_addition	C	one	731181.2293	10230.90624	962744350.4	13471006.62	71.46788487	1316.6973	4698.015177	442090608.9
C1_III	lab_no_addition	C	one	97951.53137	2880.8715	81823194.64	2406517.858	34.00065965	835.3437	4698.015177	133434139.7
C2_I	lab_no_addition	C	two	246794.3857	4799.64486	441559406.3	8587425.232	51.41930141	1789.1793	4698.015177	432209643.1
C2_II	lab_no_addition	C	two	965068.981	6295.719563	1169590067	7629932.378	153.2897028	1211.9238	4698.015177	872775832.4
C2_III	lab_no_addition	C	two	1009301.521	16544.8226	69038828.03	1131708.551	61.0040703	68.40258	4698.015177	19604045.91
C3_I	lab_no_addition	C	three	177611.479	5208.501467	305013986.8	8944612.176	34.10030315	1717.3101	4698.015177	275119503.7
C3_II	lab_no_addition	C	three	45803.48567	1349.045617	71936394.18	2118735.634	33.95251064	1570.5441	4698.015177	250516563.2
C3_III	lab_no_addition	C	three	179672.4167	2957.83504	18611543.36	306390.2413	60.74456968	103.58598	4698.015177	29561254.09
C3_IV	lab_no_addition	C	three	104214.065	1444.430543	79457576.16	1101300.001	72.14889321	762.4458	4698.015177	258436032.4
H1_I	hive_control	Hive	one	73002.0065	895.960734	63756003.07	782483.6336	81.47902439	873.3459	4698.015177	334307809.1
H1_II	hive_control	Hive	one	43391.97787	1181.11735	53038908.43	1443704.068	36.73807507	1222.3206	4698.015177	210967688.1
H2_I_1	hive_control	Hive	two	61941.6849	1062.910603	83112058.22	1426191.232	58.2755358	1341.7791	4698.015177	367351412
H2_I_2	hive_control	Hive	two	107281.719	1183.24422	88972935.01	981310.8148	90.6674355	829.3392	4698.015177	353262827.7
H2_II	hive_control	Hive	two	109127.6953	1629.83964	90263805.5	1348104.419	66.95609348	827.1393	4698.015177	260185553
H2_III	hive_control	Hive	two	53192.71747	1940.90389	55414662.39	2021978.551	27.40615738	1041.7716	4698.015177	134132826.6
H3_I_1	hive_control	Hive	three	164309.073	6198.829263	158970901.3	5997437.98	26.50646857	967.5114003	4698.015177	120482058
H3_I_2	hive_control	Hive	three	1216083.96	8995.9209	1103618813	8163965.542	135.1817089	907.5186001	4698.015177	576352103.6
H3_III	hive_control	Hive	three	210799.224	1787.74638	76634266.09	649920.0006	117.9133832	363.5415	4698.015177	201387036.3
BB1_I	bee_bread_addition	BB	one	92321.2057	2718.634113	63236970.07	1862174.381	33.95867258	684.9669	4698.015177	109278495.3
BB1_II	bee_bread_addition	BB	one	284533.3333	6808.084473	194620800	4656729.78	41.79344931	684.0000001	4698.015177	134300841.3
BB1_III	bee_bread_addition	BB	one	207368.078	1455.368527	124021953.6	870421.5695	142.4849268	598.0764002	4698.015177	400350158.4
BB2_I	bee_bread_addition	BB	two	1004209.127	8800.004887	406046738.6	3558236.216	114.1146102	404.3448	4698.015177	216774168.4
BB2_II	bee_bread_addition	BB	two	801084.9587	7100.117353	942838223.9	8356494.479	112.8270026	1176.9516	4698.015177	623858461.3
BB2_III	bee_bread_addition	BB	two	1570045.713	3045.973797	518115085.3	1005171.353	515.4495139	330	4698.015177	799124580.9
BB3_I	bee_bread_addition	BB	three	418984.1147	6565.522297	429927602.7	6737007.831	63.81580867	1026.1191	4698.015177	307638343.3
BB3_II	bee_bread_addition	BB	three	77534.61197	1077.722493	93324962.14	1297206.606	71.94302102	1203.6555	4698.015177	406822805.8
BB3_III	bee_bread_addition	BB	three	180611.8127	1451.280353	70221872.78	564257.8013	124.4499812	388.8	4698.015177	227318879.7
LG1_I	larva_gut_addition	LG	one	140037.1667	1812.423507	121994582.1	1578908.325	77.2651459	871.1586001	4698.015177	316224323.9
LG1_II	larva_gut_addition	LG	one	248900.526	2495.7028	311236492.9	3120739.836	99.73163712	1250.4453	4698.015177	585884572.2
LG1_III	larva_gut_addition	LG	one	93837.90623	902.6375323	106977943.8	1029033.054	103.9596769	1140.0291	4698.015177	556794932
LG1_IV	larva_gut_addition	LG	one	282636.4897	3826.803223	381008374.3	5158725.529	73.85707423	1348.0509	4698.015177	467748933.1
LG2_I	larva_gut_addition	LG	two	163667.4897	2203.07369	271836593.9	3659102.056	74.29051985	1660.9077	4698.015177	579686666.6
LG2_II	larva_gut_addition	LG	two	145580.5627	1747.29846	56339677.76	676204.504	83.31751331	387	4698.015177	151482226.6
LG2_III	larva_gut_addition	LG	two	327978.396	4389.590817	420587819	5629054.994	74.71730502	1282.3644	4698.015177	450139441
