sample	treatment	date	copies_16S	Actin_copies	copies_16S_per_sample	Actin_copies_per_sample
29_10_AG_I	AG	day_three	1964.129677	63964.10937	2144829.607	69848807.42
29_10_AG_II	AG	day_three	449.433	34697.2357	539319.6	41636682.84
29_10_AG_III	AG	day_three	838.7032663	27456.6771	739736.2809	24216789.2
29_10_AG_IV	AG	day_three	685.1347863	38272.27863	945486.0051	52815744.51
29_10_AG_VI	AG	day_three	669.1588337	44523.58723	698601.8224	46482625.07
29_10_LG_I	LG	day_three	2435.873537	35269.91407	2323823.354	33647498.02
29_10_LG_II	LG	day_three	3466.740397	44753.694	4576097.324	59074876.08
29_10_LG_III	LG	day_three	1918.79948	32767.10287	1139766.891	19463659.1
29_10_LG_IV	LG	day_three	7479.471667	42394.99667	12430881.91	70460484.46
29_10_LG_V	LG	day_three	338.8381333	51063.21333	331383.6944	49939822.64
29_10_BB_I	BB	day_three	127.38966	52334.87667	166625.6753	68454018.69
29_10_BB_II	BB	day_three	106.29516	46737.84667	163907.1367	72069759.56
29_10_BB_III	BB	day_three	57.60606	54658.64333	64633.99932	61326997.82
29_10_BB_IV	BB	day_three	94.69144167	46528.92	73859.3245	36292557.6
29_10_BB_V	BB	day_three	40.8714148	42704.54333	33105.84599	34590680.1
29_10_LG_BB_I	LGBB	day_three	4582.067333	62890.41	4618723.872	63393533.28
29_10_LG_BB_II	LGBB	day_three	6412.802667	45464.91333	3520628.664	24960237.42
29_10_LG_BB_III	LGBB	day_three	1184.2848	56902.95	973482.1056	46774224.9
29_10_LG_BB_IV	LGBB	day_three	5907.892333	64451.93	5423445.162	59166871.74
29_10_LG_BB_V	LGBB	day_three	4091.521667	59421.08	4860727.74	70592243.03
29_10_C_II	C	day_three	120.1145	68366.50667	152785.644	86962196.48
29_10_C_III	C	day_three	113.95844	60884.28	151792.6421	81097860.97
29_10_C_IV	C	day_three	125.5387783	59713.11	67790.94028	32245079.4
29_10_C_V	C	day_three	59.06514333	49268.76667	49260.32954	41090151.41
29_10_C_VI	C	day_three	85.63417333	53856.66667	71932.7056	45239600
29_10_Hive_II	Hive	day_three	10.69342	68235.73667	7955.90448	50767388.08
29_10_Hive_III	Hive	day_three	53.56215667	73996.58333	83556.96441	115434670
29_10_Hive_IV	Hive	day_three	120.54966	61226.09333	58587.13476	29755881.36
29_10_Hive_V	Hive	day_three	92.37812333	59831.70667	47971.95945	31070605.28
29_10_Hive_VI	Hive	day_three	40.07816	56643.78667	63904.62612	90318517.85
26_10_pool_I	start	start	62.29576333	74701.72	35882.35968	43028190.72
26_10_pool_II	start	start	27.765938	49641.06	23706.55786	42383537.02
26_10_pool_III	start	start	59.38741167	63725.59333	28238.71425	30301519.63
26_10_II	start	start	95663.11333	47087.79	20261447.4	9973193.92
26_10_III	start	start	45.71515	61404.66	7460.71248	10021240.51
26_10_IV	start	start	80.46575	70946.58	35992.32998	31734405.24
1_11_C_I	C	day_six	70.054645	58645.63	137195.0168	114851601.8
1_11_C_II	C	day_six	159.0726333	58703.79	330282.5085	121886679.2
1_11_C_III	C	day_six	173.6112517	48328.04333	341094.0262	94950106.73
1_11_C_IV	C	day_six	104.8201533	54361.89	193424.6289	100313995.6
1_11_C_V	C	day_six	41.3246	55272.28667	83930.2626	112258014.2
1_11_Hive_I	Hive	day_six	276002.2	60646.94333	162289293.6	35660402.68
1_11_Hive_II	Hive	day_six	163561.6	63902.79333	301918357.4	117958166.2
1_11_Hive_III	Hive	day_six	25774.76333	59846.47667	38716272	89895392.61
1_11_Hive_IV	Hive	day_six	131353.4333	59302.17667	212713749.9	96033944.91
1_11_Hive_V	Hive	day_six	91520.47333	59459.4	158531763.9	102995572.7
1_11_Hive_VI	Hive	day_six	16495.33333	50628.47	29889543.99	91738787.63
1_11_BB_I	BB	day_six	419.3158	64618.08	371849.2514	57303313.34
1_11_BB_II	BB	day_six	321.6453	47196.50333	731903.8802	107395643.3
1_11_BB_III	BB	day_six	1981.244	32943.43333	3847377.724	63972853.19
1_11_BB_IV	BB	day_six	1788.166333	41746.19	3650005.119	85212323.03
1_11_BB_V	BB	day_six	1381.075667	51966.49	2697240.778	101490555
1_11_BB_VI	BB	day_six	433.6754333	56910.93333	902001.5337	118369050.2
1_11_LG_I	LG	day_six	415455.5333	59945.27667	257623976.2	37172066.06
1_11_LG_II	LG	day_six	121903.7333	47721.98667	243088234.6	95162413.63
1_11_LG_III	LG	day_six	37606.33333	41198.90667	87728054.39	96108809.48
1_11_LG_IV	LG	day_six	259054.7667	33189.21333	536787382.1	68771368.94
1_11_LG_V	LG	day_six	148634.3	37626.70667	262770579	66520254.73
1_11_LG_VI	LG	day_six	128188.0667	37020.09	198819691.5	57418159.6
1_11_LG_BB_I	LGBB	day_six	332456.9333	50457.85333	342397395.6	51966543.14
1_11_LG_BB_II	LGBB	day_six	441594.6	65207.09667	1072147529	158316310
1_11_LG_BB_III	LGBB	day_six	163001.9667	40193.22667	316289016.2	77990937.03
1_11_LG_BB_IV	LGBB	day_six	262638.6667	42147.57667	512696941.3	82276284.42
1_11_LG_BB_V	LGBB	day_six	217784.2	44678.44333	401681178.5	82404920.88
1_11_LG_BB_VI	LGBB	day_six	273933.8	39572.98	407120413.6	58813362.88
1_11_AG_I	AG	day_six	167525.6	47092.55333	312150450.5	87747554.63
1_11_AG_II	AG	day_six	87063.20667	36482.55667	120434533.8	50466320.65
1_11_AG_III	AG	day_six	31144.32667	32279.17333	59143076.35	61298150.16
1_11_AG_IV	AG	day_six	155037.9	35438.72333	298277415.8	68180559.81
