sample	treatment	date	raw_copies_16S	raw_actin_copies	copies_16S_per_sample	Actin_copies_per_sample	dilution_initial_yield_multiply_with_to_get_per_sample	mean_raw_actin	16S_divided_by_actin	normalized_16S_per_sample	log_normalized_16S_per_sample
29_10_AG_I	AG	day_three	1964.129677	63964.10937	2144829.607	69848807.42	1092	51976.07197	0.030706746	1742849.531	6.241259894
29_10_AG_II	AG	day_three	449.433	34697.2357	539319.6	41636682.84	1200	51976.07197	0.012952992	807894.7437	5.907354783
29_10_AG_III	AG	day_three	838.7032663	27456.6771	739736.2809	24216789.2	882	51976.07197	0.030546423	1400336.477	6.146232402
29_10_AG_IV	AG	day_three	685.1347863	38272.27863	945486.0051	52815744.51	1380	51976.07197	0.017901594	1284027.263	6.108574245
29_10_AG_VI	AG	day_three	669.1588337	44523.58723	698601.8224	46482625.07	1044	51976.07197	0.015029311	815535.7903	5.911443025
29_10_LG_I	LG	day_three	2435.873537	35269.91407	2323823.354	33647498.02	953.9999999	51976.07197	0.069063779	3424539.406	6.534602168
29_10_LG_II	LG	day_three	3466.740397	44753.694	4576097.324	59074876.08	1320	51976.07197	0.077462665	5314590.667	6.725469821
29_10_LG_III	LG	day_three	1918.79948	32767.10287	1139766.891	19463659.1	593.9999999	51976.07197	0.058558716	1807929.31	6.257181445
29_10_LG_IV	LG	day_three	7479.471667	42394.99667	12430881.91	70460484.46	1662	51976.07197	0.176423452	15240204.34	7.18299079
29_10_LG_V	LG	day_three	338.8381333	51063.21333	331383.6944	49939822.64	978.0000001	51976.07197	0.00663566	337307.8398	5.528026435
29_10_BB_I	BB	day_three	127.38966	52334.87667	166625.6753	68454018.69	1308	51976.07197	0.002434126	165483.3311	5.218754254
29_10_BB_II	BB	day_three	106.29516	46737.84667	163907.1367	72069759.56	1542	51976.07197	0.002274284	182277.2739	5.260732525
29_10_BB_III	BB	day_three	57.60606	54658.64333	64633.99932	61326997.82	1122	51976.07197	0.001053924	61461.84689	4.788605606
29_10_BB_IV	BB	day_three	94.69144167	46528.92	73859.3245	36292557.6	780	51976.07197	0.002035109	82506.03804	4.916485733
29_10_BB_V	BB	day_three	40.8714148	42704.54333	33105.84599	34590680.1	810	51976.07197	0.000957074	40293.40715	4.605233992
29_10_LG_BB_I	LGBB	day_three	4582.067333	62890.41	4618723.872	63393533.28	1008	51976.07197	0.072857966	3817165.851	6.58174103
29_10_LG_BB_II	LGBB	day_three	6412.802667	45464.91333	3520628.664	24960237.42	549	51976.07197	0.141049486	4024827.831	6.604747307
29_10_LG_BB_III	LGBB	day_three	1184.2848	56902.95	973482.1056	46774224.9	822	51976.07197	0.020812362	889194.2462	5.948996644
29_10_LG_BB_IV	LGBB	day_three	5907.892333	64451.93	5423445.162	59166871.74	918.0000001	51976.07197	0.091663544	4373637.461	6.640842781
29_10_LG_BB_V	LGBB	day_three	4091.521667	59421.08	4860727.74	70592243.03	1188	51976.07197	0.0688564	4251715.62	6.628564209
29_10_C_II	C	day_three	120.1145	68366.50667	152785.644	86962196.48	1272	51976.07197	0.00175692	116156.2421	5.065042553
29_10_C_III	C	day_three	113.95844	60884.28	151792.6421	81097860.97	1332	51976.07197	0.001871722	129583.2968	5.112549025
29_10_C_IV	C	day_three	125.5387783	59713.11	67790.94028	32245079.4	540	51976.07197	0.002102365	59007.24425	4.770905333
29_10_C_V	C	day_three	59.06514333	49268.76667	49260.32954	41090151.41	834	51976.07197	0.001198835	51967.15235	4.715728919
29_10_C_VI	C	day_three	85.63417333	53856.66667	71932.7056	45239600	840	51976.07197	0.001590038	69420.90079	4.841490245
29_10_Hive_II	Hive	day_three	10.69342	68235.73667	7955.90448	50767388.08	744	51976.07197	0.000156713	6060.122668	3.782481415
29_10_Hive_III	Hive	day_three	53.56215667	73996.58333	83556.96441	115434670	1560	51976.07197	0.000723846	58691.36799	4.768574232
29_10_Hive_IV	Hive	day_three	120.54966	61226.09333	58587.13476	29755881.36	486	51976.07197	0.001968926	49735.80118	4.696669118
29_10_Hive_V	Hive	day_three	92.37812333	59831.70667	47971.95945	31070605.28	519.3000001	51976.07197	0.001543966	41673.45523	4.61985951
29_10_Hive_VI	Hive	day_three	40.07816	56643.78667	63904.62612	90318517.85	1594.5	51976.07197	0.000707547	58638.55674	4.768183273
26_10_pool_I	start	start	62.29576333	74701.72	35882.35968	43028190.72	576	61251.23389	0.000833927	29421.53725	4.46866536
26_10_pool_II	start	start	27.765938	49641.06	23706.55786	42383537.02	853.7999998	61251.23389	0.000559334	29251.10061	4.466142212
26_10_pool_III	start	start	59.38741167	63725.59333	28238.71425	30301519.63	475.5	61251.23389	0.000931924	27142.25082	4.433645859
26_10_II	start	start	95663.11333	47087.79	20261447.4	9973193.92	211.8	61251.23389	2.031590638	26355848.38	7.420877
26_10_III	start	start	45.71515	61404.66	7460.71248	10021240.51	163.2	61251.23389	0.00074449	7442.071958	3.871693865
26_10_IV	start	start	80.46575	70946.58	35992.32998	31734405.24	447.3000001	61251.23389	0.001134174	31073.73283	4.492393427
1_11_C_I	C	day_six	70.054645	58645.63	137195.0168	114851601.8	1958.4	48931.26949	0.001194542	114469.3741	5.058689308
1_11_C_II	C	day_six	159.0726333	58703.79	330282.5085	121886679.2	2076.3	48931.26949	0.002709751	275299.8486	5.439805973
1_11_C_III	C	day_six	173.6112517	48328.04333	341094.0262	94950106.73	1964.7	48931.26949	0.00359235	345351.5199	5.538261372
1_11_C_IV	C	day_six	104.8201533	54361.89	193424.6289	100313995.6	1845.3	48931.26949	0.001928192	174101.9927	5.240803742
1_11_C_V	C	day_six	41.3246	55272.28667	83930.2626	112258014.2	2031	48931.26949	0.000747655	74301.51155	4.870997649
1_11_Hive_I	Hive	day_six	276002.2	60646.94333	162289293.6	35660402.68	588	48931.26949	4.550966378	130938522.6	8.117067437
1_11_Hive_II	Hive	day_six	163561.6	63902.79333	301918357.4	117958166.2	1845.9	48931.26949	2.559537564	231183141.5	8.363956161
1_11_Hive_III	Hive	day_six	25774.76333	59846.47667	38716272	89895392.61	1502.1	48931.26949	0.430681383	31654935.18	7.500441429
1_11_Hive_IV	Hive	day_six	131353.4333	59302.17667	212713749.9	96033944.91	1619.4	48931.26949	2.214985025	175513858.1	8.244311413
1_11_Hive_V	Hive	day_six	91520.47333	59459.4	158531763.9	102995572.7	1732.2	48931.26949	1.5392095	130461465.5	8.115482253
1_11_Hive_VI	Hive	day_six	16495.33333	50628.47	29889543.99	91738787.63	1812	48931.26949	0.325811413	28887567.29	7.46071097
1_11_BB_I	BB	day_six	419.3158	64618.08	371849.2514	57303313.34	886.7999999	48931.26949	0.006489141	281578.4272	5.449599379
1_11_BB_II	BB	day_six	321.6453	47196.50333	731903.8802	107395643.3	2275.5	48931.26949	0.006815024	758805.9242	5.880130713
1_11_BB_III	BB	day_six	1981.244	32943.43333	3847377.724	63972853.19	1941.9	48931.26949	0.060140787	5714555.463	6.756982452
1_11_BB_IV	BB	day_six	1788.166333	41746.19	3650005.119	85212323.03	2041.2	48931.26949	0.04283424	4278219.952	6.631263109
1_11_BB_V	BB	day_six	1381.075667	51966.49	2697240.778	101490555	1953	48931.26949	0.026576274	2539702.342	6.404782819
1_11_BB_VI	BB	day_six	433.6754333	56910.93333	902001.5337	118369050.2	2079.9	48931.26949	0.007620248	775529.0029	5.889598044
1_11_LG_I	LG	day_six	415455.5333	59945.27667	257623976.2	37172066.06	620.1	48931.26949	6.930579962	210289599.3	8.322817793
1_11_LG_II	LG	day_six	121903.7333	47721.98667	243088234.6	95162413.63	1994.1	48931.26949	2.55445638	249248129.6	8.396631908
1_11_LG_III	LG	day_six	37606.33333	41198.90667	87728054.39	96108809.48	2332.8	48931.26949	0.912799304	104193179.4	8.01783929
1_11_LG_IV	LG	day_six	259054.7667	33189.21333	536787382.1	68771368.94	2072.1	48931.26949	7.805390388	791392305.5	8.898391823
1_11_LG_V	LG	day_six	148634.3	37626.70667	262770579	66520254.73	1767.9	48931.26949	3.950234106	341717337.3	8.533667014
1_11_LG_VI	LG	day_six	128188.0667	37020.09	198819691.5	57418159.6	1551	48931.26949	3.462662211	262789742.1	8.419608409
1_11_LG_BB_I	LGBB	day_six	332456.9333	50457.85333	342397395.6	51966543.14	1029.9	48931.26949	6.588804544	332038288.1	8.521188166
1_11_LG_BB_II	LGBB	day_six	441594.6	65207.09667	1072147529	158316310	2427.899999	48931.26949	6.772186197	804537272.1	8.905546169
1_11_LG_BB_III	LGBB	day_six	163001.9667	40193.22667	316289016.2	77990937.03	1940.4	48931.26949	4.055458598	385050526.4	8.585517721
1_11_LG_BB_IV	LGBB	day_six	262638.6667	42147.57667	512696941.3	82276284.42	1952.1	48931.26949	6.231406108	595216004.9	8.774674601
1_11_LG_BB_V	LGBB	day_six	217784.2	44678.44333	401681178.5	82404920.88	1844.4	48931.26949	4.874480482	439916177.2	8.643369933
1_11_LG_BB_VI	LGBB	day_six	273933.8	39572.98	407120413.6	58813362.88	1486.2	48931.26949	6.92224341	503396981.3	8.701910607
1_11_AG_I	AG	day_six	167525.6	47092.55333	312150450.5	87747554.63	1863.3	48931.26949	3.557369226	324338281.4	8.510998211
1_11_AG_II	AG	day_six	87063.20667	36482.55667	120434533.8	50466320.65	1383.3	48931.26949	2.386433809	161529650.5	8.208252253
1_11_AG_III	AG	day_six	31144.32667	32279.17333	59143076.35	61298150.16	1899	48931.26949	0.964842759	89653653.03	7.95256799
1_11_AG_IV	AG	day_six	155037.9	35438.72333	298277415.8	68180559.81	1923.9	48931.26949	4.374816174	411840248.4	8.614728787
