sample	treatment	date	treatment_type	copies_16S	Actin_copies	type	copies_16S_per_sample	log_copies_16S_per_sample
1_11_C_I	C	day_six	C_RNA	29.49990133	4972.041667	RNA	20576.18118	4.313364775
1_11_C_II	C	day_six	C_RNA	17.81232383	793.7343333	RNA	2939.033432	3.468204526
1_11_C_III	C	day_six	C_RNA	8.721833667	38.02751333	RNA	7064.685271	3.849092819
1_11_C_IV	C	day_six	C_RNA	18.97188	4.7875415	RNA	10102.5261	4.004429981
1_11_C_V	C	day_six	C_RNA	78.42863167	1106.2599	RNA	53527.54112	4.728577294
1_11_Hive_I	Hive	day_six	Hive_RNA	340527.5667	3777.319	RNA	592517966.1	8.772701523
1_11_Hive_II	Hive	day_six	Hive_RNA	224715.1667	6662.561333	RNA	69099913.77	7.839477505
1_11_Hive_III	Hive	day_six	Hive_RNA	19667.34333	1576.831333	RNA	6490223.3	6.812259639
1_11_Hive_IV	Hive	day_six	Hive_RNA	6928.655333	1055.782333	RNA	5300421.329	6.724310393
1_11_Hive_V	Hive	day_six	Hive_RNA	2596.215333	350.7767667	RNA	2200292.495	6.342480417
1_11_Hive_VI	Hive	day_six	Hive_RNA	931.4927667	553.1409667	RNA	761495.3369	5.881667248
1_11_BB_I	BB	day_six	BB_RNA	20.03463667	668.6577	RNA	118855.4821	5.075019218
1_11_BB_II	BB	day_six	BB_RNA	58.76744667	1073.931067	RNA	25123.08346	4.400072941
1_11_BB_III	BB	day_six	BB_RNA	325.6973	497.5521333	RNA	202746.5693	5.306953514
1_11_BB_IV	BB	day_six	BB_RNA	402.5489333	578.0590667	RNA	214357.3069	5.331138292
1_11_BB_V	BB	day_six	BB_RNA	1562.504667	7272.202667	RNA	1335941.49	6.125787438
1_11_BB_VI	BB	day_six	BB_RNA	222.6931333	1716.965667	RNA	116913.895	5.067866129
1_11_LG_I	LG	day_six	LG_RNA	233585.2667	4149.928333	RNA	159421944.5	8.202548102
1_11_LG_II	LG	day_six	LG_RNA	10939.03667	182.8255667	RNA	9352876.355	6.970945193
1_11_LG_III	LG	day_six	LG_RNA	2601.198667	200.7728333	RNA	1151030.41	6.061086798
1_11_LG_IV	LG	day_six	LG_RNA	235.4534	18.53679	RNA	113017.632	5.053146204
1_11_LG_V	LG	day_six	LG_RNA	3905.464	340.4871667	RNA	2050368.6	6.311831942
1_11_LG_VI	LG	day_six	LG_RNA	3343.750333	327.3463667	RNA	1780547.052	6.250553455
1_11_C_I	C	day_six	C_DNA	70.054645	58645.63	DNA	136144.1971	5.133999135
1_11_C_II	C	day_six	C_DNA	159.0726333	58703.79	DNA	327896.419	5.515736674
1_11_C_III	C	day_six	C_DNA	173.6112517	48328.04333	DNA	338489.8574	5.52954566
1_11_C_IV	C	day_six	C_DNA	104.8201533	54361.89	DNA	191852.3266	5.28296707
1_11_C_V	C	day_six	C_DNA	41.3246	55272.28667	DNA	83310.3936	4.920699186
1_11_Hive_I	Hive	day_six	Hive_DNA	276002.2	60646.94333	DNA	158149260.6	8.199067166
1_11_Hive_II	Hive	day_six	Hive_DNA	163561.6	63902.79333	DNA	299464933.4	8.476345975
1_11_Hive_III	Hive	day_six	Hive_DNA	25774.76333	59846.47667	DNA	38329650.55	7.58353486
1_11_Hive_IV	Hive	day_six	Hive_DNA	131353.4333	59302.17667	DNA	210743448.4	8.323754082
1_11_Hive_V	Hive	day_six	Hive_DNA	91520.47333	59459.4	DNA	157158956.8	8.196339137
1_11_Hive_VI	Hive	day_six	Hive_DNA	16495.33333	50628.47	DNA	29642113.99	7.471909173
1_11_BB_I	BB	day_six	BB_DNA	419.3158	64618.08	DNA	365559.5144	5.562958092
1_11_BB_II	BB	day_six	BB_DNA	321.6453	47196.50333	DNA	727079.2007	5.861581721
1_11_BB_III	BB	day_six	BB_DNA	1981.244	32943.43333	DNA	3817659.064	6.581797141
1_11_BB_IV	BB	day_six	BB_DNA	1788.166333	41746.19	DNA	3623182.624	6.559090225
1_11_BB_V	BB	day_six	BB_DNA	1381.075667	51966.49	DNA	2676524.643	6.427571246
1_11_BB_VI	BB	day_six	BB_DNA	433.6754333	56910.93333	DNA	895496.4022	5.952063845
1_11_LG_I	LG	day_six	LG_DNA	415455.5333	59945.27667	DNA	251392143.2	8.4003517
1_11_LG_II	LG	day_six	LG_DNA	121903.7333	47721.98667	DNA	241259678.6	8.382484745
1_11_LG_III	LG	day_six	LG_DNA	37606.33333	41198.90667	DNA	87163959.39	7.94033695
1_11_LG_IV	LG	day_six	LG_DNA	259054.7667	33189.21333	DNA	532901560.6	8.726646992
1_11_LG_V	LG	day_six	LG_DNA	148634.3	37626.70667	DNA	260541064.5	8.415876183
1_11_LG_VI	LG	day_six	LG_DNA	128188.0667	37020.09	DNA	196896870.5	8.294238813
