target_id	length	eff_length	est_counts	tpm
NM_001010975.1	1251	1065.61	1358	111.097
NM_001011562.1	863	677.611	0	0
NM_001011563.1	2084	1898.61	2745	126.04
NM_001011564.2	1326	1140.61	373	28.5084
NM_001011565.1	3023	2837.61	50.3527	1.54693
NM_001011566.1	1503	1317.61	0	0
NM_001011567.1	4030	3844.61	0	0
NM_001011568.1	2077	1891.61	0	0
NM_001011570.1	582	396.611	1167	256.512
NM_001011571.1	2093	1907.61	0	0
NM_001011572.1	2346	2160.61	2183	88.0803
NM_001011573.1	3160	2974.61	0	0
NM_001011574.1	1940	1754.61	0	0
NM_001011575.1	2163	1977.61	424	18.6908
NM_001011576.1	1195	1009.61	0	0
NM_001011577.1	2389	2203.61	0	0
NM_001011578.1	5441	5255.61	0	0
NM_001011579.1	1430	1244.61	0	0
NM_001011580.1	1544	1358.61	0	0
NM_001011581.1	2439	2253.61	20.0829	0.776872
NM_001011582.1	356	175.081	643	320.164
NM_001011583.2	635	449.611	75686	14675.1
NM_001011584.1	1606	1420.61	0	0
NM_001011585.1	1638	1452.61	0	0
NM_001011586.1	2205	2019.61	0	0
NM_001011587.1	496	310.756	7.2091	2.02239
NM_001011588.1	724	538.611	0	0
NM_001011589.1	624	438.611	0	0
NM_001011590.1	574	388.651	6	1.34584
NM_001011591.1	584	398.611	0	0
NM_001011592.1	1590	1404.61	1538.13	95.4636
NM_001011593.1	548	362.689	6	1.44218
NM_001011594.1	4195	4009.61	0	0
NM_001011595.1	2818	2632.61	1	0.0331143
NM_001011596.1	4100	3914.61	0	0
NM_001011597.1	2673	2487.61	0	0
NM_001011598.1	1624	1438.61	1	0.060598
NM_001011599.1	1942	1756.61	0	0
NM_001011600.1	2052	1866.61	12327	575.712
NM_001011601.1	1830	1644.61	1	0.0530077
NM_001011602.1	2795	2609.61	4	0.133624
NM_001011603.1	1683	1497.61	213.019	12.4
NM_001011604.3	685	499.611	6883.71	1201.14
NM_001011605.1	1448	1262.61	60	4.1427
NM_001011606.1	1757	1571.61	0	0
NM_001011607.2	381	198.111	0	0
NM_001011608.1	1873	1687.61	283	14.6189
NM_001011610.1	1612	1426.61	0	0
NM_001011611.2	369	186.966	0	0
NM_001011612.1	304	129.934	0	0
NM_001011613.1	710	524.611	2799.96	465.282
NM_001011614.1	688	502.611	0	0
NM_001011615.1	664	478.611	1226	223.311
NM_001011616.2	680	494.611	279	49.1747
NM_001011617.1	374	191.603	15127	6882.61
NM_001011618.1	523	337.723	0	0
NM_001011619.1	1559	1373.61	0	0
NM_001011620.1	957	771.611	42801.2	4835.7
NM_001011621.1	3254	3068.61	0	0
NM_001011622.1	1529	1343.61	0	0
NM_001011623.1	3376	3190.61	0	0
NM_001011624.1	4969	4783.61	0	0
NM_001011625.2	1940	1754.61	0	0
NM_001011626.2	755	569.611	696.191	106.55
NM_001011627.1	2520	2334.61	132	4.92903
NM_001011628.2	1386	1200.61	0	0
NM_001011629.1	14440	14254.6	73.2943	0.448246
NM_001011630.1	630	444.611	6449.01	1264.49
NM_001011631.1	1741	1555.61	0	0
NM_001011632.2	2009	1823.61	6.6339e-05	3.17131e-06
NM_001011633.1	1533	1347.61	0	0
NM_001011634.2	3754	3568.61	9.38167	0.229183
NM_001011635.1	1447	1261.61	328	22.6647
NM_001011636.1	570	384.651	27604	6256.15
NM_001011637.1	1369	1183.61	6.87826	0.506607
NM_001011638.1	584	398.611	0	0
NM_001011639.2	1806	1620.61	0	0
NM_001011640.1	991	805.611	10034	1085.8
NM_001011641.1	970	784.611	356.928	39.6577
NM_001011643.1	2378	2192.61	0	0
NM_001011644.2	1200	1014.61	0	0
NM_001011650.1	2242	2056.61	0	0
NM_001011652.2	969	783.611	10	1.1125
NM_001011653.2	898	712.611	40.6594	4.97405
NM_001011654.2	749	563.611	80.0994	12.3894
NM_001012429.1	672	486.611	19.2286	3.44482
NM_001012615.1	1097	911.611	0	0
NM_001012627.1	3153	2967.61	7.77053	0.228268
NM_001012962.1	3606	3420.61	63	1.60561
NM_001012963.1	502	316.756	4	1.10087
NM_001013006.1	2991	2805.61	0	0
NM_001013359.2	1964	1778.61	0	0
NM_001013361.1	4113	3927.61	0	0
NM_001014429.1	1427	1241.61	63	4.42341
NM_001014430.1	438	253.215	0	0
NM_001014983.1	3250	3064.61	0	0
NM_001014991.1	7242	7056.61	6.67745	0.0824929
NM_001014992.2	2498	2312.61	81.0219	3.05423
NM_001014993.1	1386	1200.61	0	0
NM_001014994.1	1892	1706.61	39.3901	2.01212
NM_001024697.1	1793	1607.61	2	0.108455
NM_001032361.1	3585	3399.61	0	0
NM_001037318.2	2515	2329.61	0	0
NM_001039968.1	1349	1163.61	0	0
NM_001040203.1	644	458.611	58.8117	11.1795
NM_001040204.1	793	607.611	50.9497	7.31001
NM_001040205.1	698	512.611	1	0.170065
NM_001040206.1	682	496.611	0	0
NM_001040207.1	1179	993.611	70	6.14163
NM_001040208.1	582	396.611	1171	257.391
NM_001040209.1	588	402.611	0	0
NM_001040220.1	483	297.816	2	0.585442
NM_001040221.1	459	273.901	0	0
NM_001040223.1	555	369.689	11281	2660.19
NM_001040224.1	399	215.281	135897	55030.7
NM_001040225.1	407	222.971	0	0
NM_001040226.1	432	247.265	88	31.0258
NM_001040227.1	724	538.611	0	0
NM_001040229.1	453	267.982	0	0
NM_001040230.1	13107	12921.6	913	6.15965
NM_001040231.1	363	181.321	0	0
NM_001040233.1	1647	1461.61	124.25	7.41084
NM_001040234.1	1500	1314.61	4	0.265256
NM_001040235.2	6077	5891.61	0	0
NM_001040236.1	1767	1581.61	0	0
NM_001040237.1	5107	4921.61	7.82729	0.138646
NM_001040255.1	1893	1707.61	0	0
NM_001040256.1	767	581.611	0	0
NM_001040257.1	1554	1368.61	0	0
NM_001040258.1	1250	1064.61	7.82456	0.640723
NM_001040259.1	1743	1557.61	122	6.82814
NM_001040262.2	438	253.215	0	0
NM_001040263.1	1550	1364.61	178	11.3714
NM_001040264.1	1600	1414.61	122	7.51839
NM_001040265.1	1689	1503.61	31.8632	1.84738
NM_001040266.2	1599	1413.61	0	0
NM_001040267.1	1895	1709.61	0	0
NM_001040269.1	1397	1211.61	0	0
NM_001040270.1	509	323.723	203	54.6668
NM_001040277.1	2150	1964.61	77.0891	3.42072
NM_001040681.1	2499	2313.61	28	1.05504
NM_001042458.1	1737	1551.61	1.01404	0.0569736
NM_001042460.1	1794	1608.61	32.5756	1.7654
NM_001077808.1	5328	5142.61	2.40674	0.0407988
NM_001077809.1	1344	1158.61	0	0
NM_001077810.1	354	173.17	17	8.5581
NM_001077811.1	1287	1101.61	0	0
NM_001077812.1	1470	1284.61	0	0
NM_001077813.1	3226	3040.61	56.6946	1.62548
NM_001077814.1	387	203.807	0	0
NM_001077815.1	1855	1669.61	2.80112	0.146257
NM_001077816.1	1530	1344.61	0	0
NM_001077817.1	1194	1008.61	0	0
NM_001077818.1	1707	1521.61	0	0
NM_001077819.1	378	195.407	14.0495	6.26791
NM_001077820.1	351	170.381	0	0
NM_001077821.1	4097	3911.61	0	0
NM_001077822.1	1533	1347.61	0	0
NM_001077823.2	516	330.723	0	0
NM_001077824.1	1842	1656.61	2.17333e-07	1.14368e-08
NM_001077825.1	1158	972.611	0	0
NM_001078661.1	315	138.93	0	0
NM_001079560.1	1607	1421.61	0	0
NM_001079561.1	1701	1515.61	0	0
NM_001080094.2	2123	1937.61	8	0.359936
NM_001080095.1	1590	1404.61	8.43767	0.523683
NM_001080110.1	2703	2517.61	0	0
NM_001080205.1	2713	2527.61	276.039	9.52056
NM_001083630.1	1713	1527.61	0	0
NM_001085344.1	515	329.723	0	0
NM_001085345.1	1491	1305.61	0	0
NM_001085346.1	509	323.723	0	0
NM_001097154.2	1766	1580.61	4053.44	223.563
NM_001098167.1	767	581.611	32.8088	4.91767
NM_001098214.1	1863	1677.61	0	0
NM_001098215.2	2635	2449.61	12.9714	0.461628
NM_001098217.1	2187	2001.61	0	0
NM_001098218.1	2148	1962.61	0	0
NM_001098219.1	2139	1953.61	0	0
NM_001098220.1	1806	1620.61	0	0
NM_001098221.1	1763	1577.61	0	0
NM_001098223.1	1436	1250.61	0	0
NM_001098224.2	1333	1147.61	1043	79.2303
NM_001098228.1	1286	1100.61	0	0
NM_001098229.1	1284	1098.61	65	5.15788
NM_001098232.1	1146	960.611	4.06417	0.36883
NM_001098234.1	462	276.901	0	0
NM_001098717.1	2199	2013.61	62227	2694.05
NM_001101023.1	3033	2847.61	5049.65	154.59
NM_001104949.1	3122	2936.61	3.02214	0.089716
NM_001110712.2	754	568.611	0	0
NM_001110764.1	2606	2420.61	96198	3464.52
NM_001111255.1	2504	2318.61	0	0
NM_001112670.1	3330	3144.61	0	0
NM_001112671.1	3001	2815.61	263.981	8.17337
NM_001112672.2	1701	1515.61	32.8638	1.89031
NM_001113285.1	2779	2593.61	0	0
NM_001113739.1	1509	1323.61	46.6356	3.07156
NM_001114188.1	1950	1764.61	0	0
NM_001114198.1	730	544.611	20072.1	3212.97
NM_001115078.1	2659	2473.61	56	1.9736
NM_001123013.2	6157	5971.61	0	0
NM_001126243.2	2949	2763.61	41.8319	1.31957
NM_001126244.1	1674	1488.61	0	0
NM_001131037.1	1164	978.611	0	0
NM_001131038.1	2722	2536.61	18	0.618615
NM_001134227.1	1704	1518.61	0	0
NM_001134333.1	282	112.56	7.85458	6.08333
NM_001134371.1	591	405.611	139	29.8749
NM_001134668.1	2541	2355.61	945	34.9728
NM_001134669.1	584	398.611	0	0
NM_001134722.1	105	24.4185	20.6948	73.8827
NM_001134828.1	1495	1309.61	254.016	16.9091
NM_001134934.1	3281	3095.61	0	0
NM_001134935.1	2337	2151.61	4.95546	0.200781
NM_001134936.1	1992	1806.61	0	0
NM_001134940.1	1464	1278.61	3	0.204543
NM_001134942.1	1621	1435.61	472	28.662
NM_001134943.1	1434	1248.61	0	0
NM_001134947.1	1760	1574.61	0	0
NM_001134948.1	3181	2995.61	0	0
NM_001134949.1	3346	3160.61	608.186	16.7752
NM_001134950.1	2295	2109.61	0	0
NM_001135735.1	1032	846.611	10341	1064.83
NM_001135905.1	488	302.786	10843.2	3121.93
NM_001135909.1	320	143.117	13866	8446.24
NM_001136187.1	614	428.611	6327	1286.87
NM_001136206.1	1002	816.611	6951	742.051
NM_001136207.1	930	744.611	3072	359.661
NM_001136208.1	1008	822.611	2446	259.217
NM_001136209.1	1029	843.611	3140	324.481
NM_001141964.1	2248	2062.61	213	9.00252
NM_001142436.1	1295	1109.61	427.377	33.577
NM_001142461.1	824	638.611	168	22.9337
NM_001142561.1	1943	1757.61	0	0
NM_001142607.1	642	456.611	80	15.2737
NM_001142609.1	1671	1485.61	3	0.176043
NM_001142637.1	999	813.611	1	0.107148
NM_001142656.2	710	524.611	187.742	31.1979
NM_001142693.1	1386	1200.61	0	0
NM_001143878.1	1377	1191.61	0	0
NM_001143879.1	1428	1242.61	0	0
NM_001143880.1	1470	1284.61	0	0
NM_001143921.1	2102	1916.61	33	1.501
NM_001144839.2	596	410.611	0	0
NM_001145735.2	1347	1161.61	0	0
NM_001145736.1	2424	2238.61	0	0
NM_001145737.1	2433	2247.61	0	0
NM_001145738.1	2787	2601.61	0	0
NM_001145739.1	2553	2367.61	0	0
NM_001145740.1	3633	3447.61	17	0.429865
NM_001159303.1	1404	1218.61	974.689	69.7273
NM_001159355.1	2782	2596.61	4.94881	0.166148
NM_001160048.1	2747	2561.61	3240	110.264
NM_001160050.1	2417	2231.61	3886	151.805
NM_001160052.1	2920	2734.61	6202.52	197.731
NM_001160064.1	2844	2658.61	21926	718.963
NM_001160072.1	2237	2051.61	582	24.7303
NM_001160270.1	698	512.611	3598.8	612.028
NM_001160405.2	2980	2794.61	6.57819	0.205205
NM_001161709.2	856	670.611	221	28.7292
NM_001161787.1	927	741.611	2805.57	329.797
NM_001161788.1	843	657.611	342.43	45.3947
NM_001161831.1	683	497.611	3045.42	533.529
NM_001162398.1	165	41.8823	1720	3580.14
NM_001162513.1	4073	3887.61	47.7794	1.07142
NM_001162516.1	1758	1572.61	0	0
NM_001163463.1	481	295.816	3214	947.166
NM_001163712.1	1155	969.611	1.10647e-06	9.94822e-08
NM_001163714.1	1566	1380.61	506.038	31.9531
NM_001163715.1	854	668.611	6872	896.007
NM_001163716.1	900	714.611	1555.87	189.804
NM_001163717.1	2152	1966.61	131.131	5.81286
NM_001164008.1	2209	2023.61	44	1.89552
NM_001164809.1	503	317.756	192.621	52.846
NM_001164810.1	871	685.611	2910.11	370.027
NM_001165904.1	5715	5529.61	0	0
NM_001165905.1	6135	5949.61	0	0
NM_001165906.1	3754	3568.61	408.566	9.98079
NM_001167709.1	732	546.611	0	0
NM_001167720.1	599	413.611	10.027	2.1134
