target_id	length	eff_length	est_counts	tpm
NM_001010975.1	1251	1017.21	18007	804.587
NM_001011562.1	863	629.269	152.583	11.0207
NM_001011563.1	2084	1850.21	182	4.47087
NM_001011564.2	1326	1092.21	751	31.2519
NM_001011565.1	3023	2789.21	87.7702	1.43023
NM_001011566.1	1503	1269.21	0	0
NM_001011567.1	4030	3796.21	1.36732	0.0163705
NM_001011568.1	2077	1843.21	1.06953	0.0263731
NM_001011570.1	582	349.445	4459	579.962
NM_001011571.1	2093	1859.21	8.58944	0.20998
NM_001011572.1	2346	2112.21	1034	22.2497
NM_001011573.1	3160	2926.21	50.3262	0.781682
NM_001011574.1	1940	1706.21	1434	38.1996
NM_001011575.1	2163	1929.21	71.5139	1.68482
NM_001011576.1	1195	961.206	124	5.86335
NM_001011577.1	2389	2155.21	261.425	5.51313
NM_001011578.1	5441	5207.21	7	0.061099
NM_001011579.1	1430	1196.21	112	4.25552
NM_001011580.1	1544	1310.21	3.67922	0.127631
NM_001011581.1	2439	2205.21	0	0
NM_001011582.1	356	144.599	2907	913.735
NM_001011583.2	635	401.802	12049	1362.95
NM_001011584.1	1606	1372.21	0	0
NM_001011585.1	1638	1404.21	20.9234	0.677238
NM_001011586.1	2205	1971.21	0	0
NM_001011587.1	496	265.826	0	0
NM_001011588.1	724	490.54	51	4.72538
NM_001011589.1	624	390.921	279	32.4381
NM_001011590.1	574	341.652	617	82.0807
NM_001011591.1	584	351.445	964	124.67
NM_001011592.1	1590	1356.21	680.436	22.8035
NM_001011593.1	548	316.182	3.82741	0.550183
NM_001011594.1	4195	3961.21	19.0207	0.218243
NM_001011595.1	2818	2584.21	32	0.562812
NM_001011596.1	4100	3866.21	298.901	3.51385
NM_001011597.1	2673	2439.21	168.373	3.13737
NM_001011598.1	1624	1390.21	49	1.60198
NM_001011599.1	1942	1708.21	74	1.96894
NM_001011600.1	2052	1818.21	45	1.12489
NM_001011601.1	1830	1596.21	28	0.797278
NM_001011602.1	2795	2561.21	26	0.461391
NM_001011603.1	1683	1449.21	184.337	5.78127
NM_001011604.3	685	451.586	1078.4	108.537
NM_001011605.1	1448	1214.21	2925	109.49
NM_001011606.1	1757	1523.21	150	4.47583
NM_001011607.2	381	163.423	6	1.6687
NM_001011608.1	1873	1639.21	9637	267.208
NM_001011610.1	1612	1378.21	22.9362	0.756395
NM_001011611.2	369	154.417	0	0
NM_001011612.1	304	107.465	0	0
NM_001011613.1	710	476.54	40	3.81506
NM_001011614.1	688	454.586	0	0
NM_001011615.1	664	430.718	1687	178.017
NM_001011616.2	680	446.631	1169	118.961
NM_001011617.1	374	158.072	921	264.817
NM_001011618.1	523	291.765	0	0
NM_001011619.1	1559	1325.21	17.6305	0.604673
NM_001011620.1	957	723.206	9.0742	0.570279
NM_001011621.1	3254	3020.21	7.99739	0.120352
NM_001011622.1	1529	1295.21	49	1.71948
NM_001011623.1	3376	3142.21	1.17842	0.0170453
NM_001011624.1	4969	4735.21	34.4154	0.330335
NM_001011625.2	1940	1706.21	0	0
NM_001011626.2	755	521.439	488.028	42.5384
NM_001011627.1	2520	2286.21	375	7.45515
NM_001011628.2	1386	1152.21	91.524	3.61032
NM_001011629.1	14440	14206.2	248.512	0.795079
NM_001011630.1	630	396.842	6468.28	740.818
NM_001011631.1	1741	1507.21	1.09256	0.0329467
NM_001011632.2	2009	1775.21	22	0.563267
NM_001011633.1	1533	1299.21	0	0
NM_001011634.2	3754	3520.21	8.7096	0.112453
NM_001011635.1	1447	1213.21	3187	119.396
NM_001011636.1	570	337.823	244	32.8278
NM_001011637.1	1369	1135.21	8.35776	0.334623
NM_001011638.1	584	351.445	0	0
NM_001011639.2	1806	1572.21	20856	602.924
NM_001011640.1	991	757.206	1542	92.5574
