X-OTU-ID,D0,D1,D2,D3,D4,D5,D6
41c5571099c40b69a0ff8ff7a780d7ff,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Bombella,NA
b4e3ad1e3169dc2a6039ca1de9daa560,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Bombella,NA
b5e19a79de35a0170cbd8ce540726edc,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus kunkeei
08e048c2f9911e1674d43874b1c67420,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Commensalibacter,Apis mellifera (honey bee)
77ecf4e288aa6a072d0eb4bb717ef0f7,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,NA,NA,NA
985e326477a7d86865deaab4ab1f5cb4,Bacteria,NA,NA,NA,NA,NA,NA
2ff15caef6ebb4cc1def65bad07d227c,Bacteria,Proteobacteria,Gammaproteobacteria,Orbales,Orbaceae,Gilliamella,uncultured gamma proteobacterium
c8aca13f158291058256868ed3f2fd64,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Tyzzerella,NA
a5dd47b87408dbe332f85bd9b1f051e9,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus sp. Alhonto3
9587e1a7aaf87d8240f0f4001505e00a,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Melissococcus,Melissococcus plutonius S1
76616eceeca24e6240288d4145f120d0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,NA
edc85c1fa27a9d676ee120bae03dffd2,Bacteria,Proteobacteria,Gammaproteobacteria,Orbales,Orbaceae,gamma proteobacterium,uncultured gamma proteobacterium
65ddf30dec82ad37df3923042d536048,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA
f0cf3e2b121e38585a104342da73e2f5,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Bombella,NA
b4a61e4d59e2b877ecbaabeed49c54dd,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Bombella,NA
dd2f067657978822aacfb9bfc37d0529,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus helsingborgensis
46a8bacf8afa26bcd6129830174f6c57,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Delftia,NA
93091a3598ba288889cd2e231419b78a,Bacteria,Cyanobacteria,Oxyphotobacteria,Synechococcales,Cyanobiaceae,Synechococcus,NA
2d74682704fd3965d122f02bce22b980,Bacteria,NA,NA,NA,NA,NA,NA
d51f56426ad963775a932ca54166dbc1,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus helsingborgensis
47e7e48579b15c61ecde30419386b2c2,Bacteria,Proteobacteria,Gammaproteobacteria,Orbales,Orbaceae,Frischella,uncultured gamma proteobacterium
36f76b256771d8dfb36971a5fc6896ff,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,HIMB11,NA
5ddec365a219879f78bca37841b40296,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus apinorum
788fb4f419b316765f1861b318d684f3,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA
70a5f82f022297f17bf138faac57e6c4,Bacteria,NA,NA,NA,NA,NA,NA
