TXNAME,GENEID
XM_006557405,LOC551555
XM_006557404,LOC551555
XM_006557406,LOC551555
XM_623949,LOC551555
XM_026439913,GeneID_409940
NM_001242554,GeneID_409940
XM_016917662,LOC551448
XM_026440071,LOC551448
XM_016917667,LOC551448
XM_006557400,LOC551448
XM_016917672,LOC551448
XM_392111,LOC408567
XM_016910856,LOC107964061
XM_016910851,LOC107964061
XM_026443867,LOC113219112
XM_006557392,LOC726450
XM_392109,LOC408565
XM_006557391,LOC408565
XM_016910832,LOC408565
XM_026446104,LOC113219398
NR_127369,GeneID_104796173
GeneID_104796173_t1,GeneID_104796173
XM_026446225,LOC551203
XM_026446227,LOC551203
XM_026446228,LOC551203
XM_026446229,LOC551203
XM_026446230,LOC551203
XM_026446226,LOC551203
XM_026446232,LOC551203
XM_026446233,LOC551203
XM_026446234,LOC551203
XM_026446237,LOC551203
XM_026446235,LOC551203
XM_026446236,LOC551203
XM_026446231,LOC551203
XM_001120565,LOC726446
XM_016918148,LOC410771
XM_016918144,LOC410771
XM_006557369,LOC410771
XM_016918147,LOC410771
XM_006557372,LOC410771
XM_006557374,LOC102654047
XR_001706027,LOC107965716
XM_394245,LOC410769
XM_016916693,LOC410769
XR_003306183,LOC113219286
XM_001122476,LOC726756
XR_407471,LOC726756
XR_407453,GeneID_410767edd9
GeneID_410767M_001204751,GeneID_410767edd9
NR_039460,GeneID_100629079
GeneID_100629079_t1,GeneID_100629079
XR_001706436,LOC107966044
XM_006557355,LOC410766
XM_006557354,LOC410766
XM_026446332,LOC410766
GeneID_107966077_t1,GeneID_107966077
GeneID_107966076_t1,GeneID_107966076
XR_407459,LOC100577848
XM_016917790,LOC408626
XM_016917789,LOC408626
XM_006557350,LOC408626
XM_006557351,LOC408626
XM_016917650,LOC726912
XR_003304627,LOC102655442
XR_407455,LOC102655442
XM_026440446,LOC726912
XR_003306485,LOC100576602
XR_003306483,LOC100576602
XR_003306479,LOC100576602
XR_407901,LOC100576602
XR_003306482,LOC100576602
XR_001702155,LOC100576602
XR_003306480,LOC100576602
XR_003306484,LOC100576602
XR_003306481,LOC100576602
XM_006558554,LOC100576700
XM_026446034,LOC100576700
XM_006558552,LOC100576700
XM_026446033,LOC100576700
XM_026446035,LOC724948
XM_006558620,LOC724948
XM_003249303,LOC100576789
XM_026446036,LOC100576789
XM_026446049,LOC100576820
XM_003249306,LOC724874
XM_006558561,LOC724874
XM_016910716,LOC724874
XM_026446048,LOC724874
XM_026446259,LOC100576088
XM_003249309,LOC410765
XM_006558575,LOC113218523
XM_026444468,LOC724679
XM_397559,LOC409327
XM_026446238,LOC409327
XM_026446243,LOC409327
XM_006558576,LOC409327
XM_006558577,LOC409327
XR_003306535,LOC113219405
XR_003306532,LOC113219405
XM_001120426,LOC724537
XM_016912272,LOC724537
XM_006558578,LOC102655107
XM_003249312,LOC100577325
XM_003249313,LOC100577325
XM_623599,LOC551204
XM_026446194,LOC725343
XR_001702974,LOC107964458
XM_006558591,LOC100578066
XM_006558590,LOC100578066
XM_006558588,LOC100578066
XM_026444753,LOC100578066
XM_006558587,LOC100578066
XM_006558593,LOC100578066
XM_026444772,LOC100578066
XR_003305996,LOC113219214
XR_003305995,LOC113219214
XR_003305999,LOC102655775
XM_001120937,LOC725041
XM_003249289,LOC413835
XM_006558601,LOC413835
XM_397274,LOC413835
XR_001706446,LOC413835
XR_001706444,LOC413835
XR_001706445,LOC413835
XM_016917618,LOC413834
XM_026446280,LOC413834
XM_006558603,LOC413834
XM_397273,LOC413834
XM_026446281,LOC113219407
XM_026446282,LOC727331
XM_001121025,LOC726902
XM_624443,LOC552064
XM_006558608,LOC552064
XM_006558609,LOC409479
NM_001214904,GeneID_413609
XM_026440876,GeneID_413609
XM_026440906,GeneID_413609
XM_006558613,LOC100578696
XM_016917798,LOC100578696
XM_395143,LOC411675
XM_016917921,LOC411675
XM_001121467,LOC725638
XM_026442190,LOC412610
XM_026442197,LOC412610
XM_026445497,LOC413784
XM_395930,LOC412473
XM_001120364,LOC725884
XR_003306548,LOC113219419
XM_623108,LOC550716
XM_006559849,LOC408624
XM_006559846,LOC408624
XM_006559848,LOC408624
XM_392165,LOC408624
XM_006559847,LOC408624
XM_006559851,LOC551279
XR_001702381,LOC107964165
XM_006559852,LOC100576540
XM_026446324,LOC724331
XM_026446328,LOC551450
XM_026444278,LOC726235
XM_006559861,LOC726291
XM_001122042,LOC726291
XM_006559863,LOC726291
XM_395451,LOC411985
XM_006559864,LOC412578
XM_016917816,LOC412578
XM_006559866,LOC412834
XM_006559865,LOC412834
XM_396286,LOC412834
XM_016917857,LOC412834
XM_026444332,LOC408623
XM_026444329,LOC408623
XM_026444339,LOC408623
XM_026444337,LOC408623
XM_026444355,LOC408623
XM_026444360,LOC408623
XM_026444340,LOC408623
XM_026444349,LOC408623
XM_026444358,LOC408623
XM_026444350,LOC408623
XM_026444370,LOC408623
XM_026444362,LOC408623
XM_026444334,LOC408623
XM_006559882,LOC100576147
XM_006559884,LOC724992
XM_026439028,LOC410758
XM_026439013,LOC410758
XM_026438982,LOC410758
XM_026439000,LOC410758
XM_026439001,LOC410758
XM_026439004,LOC410758
XM_026439016,LOC410758
XM_026439022,LOC410758
XM_026439025,LOC410758
XM_026439026,LOC410758
XM_016913949,LOC410758
XM_026438998,LOC410758
XM_026438987,LOC410758
XM_026439010,LOC410758
XM_394233,LOC410757
XM_026443444,LOC410757
XM_001121709,LOC725922
XM_026441732,LOC411968
XM_001121762,LOC725982
XR_001703847,LOC725982
XM_016913395,LOC726015
XM_016913396,LOC726015
XM_026444000,LOC727399
XM_026444001,LOC727399
XR_003306550,LOC113219421
XM_026443993,LOC727399
XM_026443997,LOC727399
