target_id	length	eff_length	est_counts	tpm
NM_001010975.1	1251	1024.5	317	52.1053
NM_001011562.1	863	636.773	1	0.264453
NM_001011563.1	2084	1857.5	205	18.5849
NM_001011564.2	1326	1099.5	169	25.8837
NM_001011565.1	3023	2796.5	26.4805	1.59457
NM_001011566.1	1503	1276.5	0	0
NM_001011567.1	4030	3803.5	0	0
NM_001011568.1	2077	1850.5	0	0
NM_001011570.1	582	356.988	125	58.9645
NM_001011571.1	2093	1866.5	43.2725	3.90408
NM_001011572.1	2346	2119.5	145	11.5204
NM_001011573.1	3160	2933.5	0	0
NM_001011574.1	1940	1713.5	5	0.491383
NM_001011575.1	2163	1936.5	111.376	9.68523
NM_001011576.1	1195	968.498	50.4426	8.77066
NM_001011577.1	2389	2162.5	530.153	41.2838
NM_001011578.1	5441	5214.5	11	0.355233
NM_001011579.1	1430	1203.5	157	21.9679
NM_001011580.1	1544	1317.5	12.5301	1.60154
NM_001011581.1	2439	2212.5	0	0
NM_001011582.1	356	149.331	117	131.938
NM_001011583.2	635	409.461	12799	5263.78
NM_001011584.1	1606	1379.5	6	0.732426
NM_001011585.1	1638	1411.5	54.915	6.55156
NM_001011586.1	2205	1978.5	0	0
NM_001011587.1	496	273.354	0	0
NM_001011588.1	724	498.104	3	1.01423
NM_001011589.1	624	398.541	63	26.6195
NM_001011590.1	574	349.165	5	2.41142
NM_001011591.1	584	358.952	37	17.358
NM_001011592.1	1590	1363.5	255.154	31.5124
NM_001011593.1	548	323.73	0	0
NM_001011594.1	4195	3968.5	1.09034	0.0462666
NM_001011595.1	2818	2591.5	333.386	21.6636
NM_001011596.1	4100	3873.5	55.7165	2.42222
NM_001011597.1	2673	2446.5	43.5248	2.99589
NM_001011598.1	1624	1397.5	25	3.01247
NM_001011599.1	1942	1715.5	7	0.687134
NM_001011600.1	2052	1825.5	248	22.8773
NM_001011601.1	1830	1603.5	53	5.56597
NM_001011602.1	2795	2568.5	15	0.983435
NM_001011603.1	1683	1456.5	26.4566	3.05885
NM_001011604.3	685	459.199	2191.89	803.808
NM_001011605.1	1448	1221.5	30	4.13582
NM_001011606.1	1757	1530.5	37	4.07101
NM_001011607.2	381	169.258	0	0
NM_001011608.1	1873	1646.5	729	74.559
NM_001011610.1	1612	1385.5	12.695	1.54299
NM_001011611.2	369	159.13	39.1085	41.3859
NM_001011612.1	304	110.472	5.89153	8.9807
NM_001011613.1	710	484.152	1055.89	367.255
NM_001011614.1	688	462.152	0	0
NM_001011615.1	664	438.376	1035	397.582
NM_001011616.2	680	454.199	199	73.7804
NM_001011617.1	374	163.303	3831	3950.5
NM_001011618.1	523	299.316	27.8794	15.6851
NM_001011619.1	1559	1332.5	3.70524	0.468256
NM_001011620.1	957	730.572	3428.06	790.168
NM_001011621.1	3254	3027.5	14.9041	0.829001
NM_001011622.1	1529	1302.5	16	2.0686
NM_001011623.1	3376	3149.5	7.16596	0.383148
NM_001011624.1	4969	4742.5	0	0
NM_001011625.2	1940	1713.5	0.826056	0.081182
NM_001011626.2	755	529.001	262	83.4024
