target_id	length	eff_length	est_counts	tpm
NM_001010975.1	1251	1051.83	363	45.1131
NM_001011562.1	863	663.825	0	0
NM_001011563.1	2084	1884.83	1056	73.2374
NM_001011564.2	1326	1126.83	141	16.357
NM_001011565.1	3023	2823.83	9.17525	0.424737
NM_001011566.1	1503	1303.83	0	0
NM_001011567.1	4030	3830.83	0	0
NM_001011568.1	2077	1877.83	0	0
NM_001011570.1	582	382.973	501	171.005
NM_001011571.1	2093	1893.83	1.56714	0.10817
NM_001011572.1	2346	2146.83	727	44.2667
NM_001011573.1	3160	2960.83	0	0
NM_001011574.1	1940	1740.83	0	0
NM_001011575.1	2163	1963.83	9.73874	0.648246
NM_001011576.1	1195	995.825	0	0
NM_001011577.1	2389	2189.83	0	0
NM_001011578.1	5441	5241.83	0	0
NM_001011579.1	1430	1230.83	1	0.106205
NM_001011580.1	1544	1344.83	0	0
NM_001011581.1	2439	2239.83	0	0
NM_001011582.1	356	163.603	170	135.831
NM_001011583.2	635	435.973	52870	15852.2
NM_001011584.1	1606	1406.83	0	0
NM_001011585.1	1638	1438.83	0	0
NM_001011586.1	2205	2005.83	26	1.69442
NM_001011587.1	496	297.258	0	0
NM_001011588.1	724	524.825	1	0.249072
NM_001011589.1	624	424.973	0	0
NM_001011590.1	574	374.973	13	4.53193
NM_001011591.1	584	384.973	0	0
NM_001011592.1	1590	1390.83	854.567	80.3181
NM_001011593.1	548	349.044	0	0
NM_001011594.1	4195	3995.83	0	0
NM_001011595.1	2818	2618.83	0	0
NM_001011596.1	4100	3900.83	3	0.100532
NM_001011597.1	2673	2473.83	0	0
NM_001011598.1	1624	1424.83	0	0
NM_001011599.1	1942	1742.83	3	0.225013
NM_001011600.1	2052	1852.83	4490	316.776
NM_001011601.1	1830	1630.83	16	1.28249
NM_001011602.1	2795	2595.83	2	0.100715
NM_001011603.1	1683	1483.83	64.2536	5.66049
NM_001011604.3	685	485.928	5455.88	1467.69
NM_001011605.1	1448	1248.83	0	0
NM_001011606.1	1757	1557.83	0	0
NM_001011607.2	381	186.309	0	0
NM_001011608.1	1873	1673.83	6	0.468577
NM_001011610.1	1612	1412.83	0	0
NM_001011611.2	369	175.173	0	0
NM_001011612.1	304	120.057	0	0
NM_001011613.1	710	510.928	2842	727.117
NM_001011614.1	688	488.928	1	0.267359
NM_001011615.1	664	464.928	2512	706.275
NM_001011616.2	680	480.928	679	184.557
NM_001011617.1	374	179.774	11128	8091.5
NM_001011618.1	523	324.077	0	0
NM_001011619.1	1559	1359.83	0	0
NM_001011620.1	957	757.825	27868	4807.03
NM_001011621.1	3254	3054.83	0	0
NM_001011622.1	1529	1329.83	4	0.393192
NM_001011623.1	3376	3176.83	3.28198	0.135046
NM_001011624.1	4969	4769.83	11.0177	0.301946
NM_001011625.2	1940	1740.83	0	0
NM_001011626.2	755	555.825	339.846	79.9251
NM_001011627.1	2520	2320.83	567	31.936
NM_001011628.2	1386	1186.83	1	0.110142
NM_001011629.1	14440	14240.8	5.14035	0.0471843
NM_001011630.1	630	430.973	3284.65	996.274
NM_001011631.1	1741	1541.83	0	0
NM_001011632.2	2009	1809.83	0	0
NM_001011633.1	1533	1333.83	0	0
NM_001011634.2	3754	3554.83	2.20209	0.0809762
NM_001011635.1	1447	1247.83	122	12.7804
NM_001011636.1	570	370.973	14762	5201.66
NM_001011637.1	1369	1169.83	73.2662	8.18696
NM_001011638.1	584	384.973	0	0
NM_001011639.2	1806	1606.83	6	0.488115
NM_001011640.1	991	791.825	11524	1902.45
NM_001011641.1	970	770.825	17	2.88292
NM_001011643.1	2378	2178.83	0	0
NM_001011644.2	1200	1000.83	2	0.261223
NM_001011650.1	2242	2042.83	0	0
NM_001011652.2	969	769.825	1	0.169804
NM_001011653.2	898	698.825	0	0
NM_001011654.2	749	549.825	0	0
NM_001012429.1	672	472.928	19.8541	5.48775
NM_001012615.1	1097	897.825	1	0.145596
NM_001012627.1	3153	2953.83	0	0
NM_001012962.1	3606	3406.83	1	0.0383698
NM_001012963.1	502	303.169	0	0
NM_001013006.1	2991	2791.83	0	0
NM_001013359.2	1964	1764.83	0	0
NM_001013361.1	4113	3913.83	5	0.166997
NM_001014429.1	1427	1227.83	299	31.8328
NM_001014430.1	438	240.073	0	0
NM_001014983.1	3250	3050.83	0.739756	0.0316965
NM_001014991.1	7242	7042.83	1.23343	0.0228932
NM_001014992.2	2498	2298.83	1	0.0568635
NM_001014993.1	1386	1186.83	0	0
NM_001014994.1	1892	1692.83	71.0276	5.48473
NM_001024697.1	1793	1593.83	2	0.164032
NM_001032361.1	3585	3385.83	0	0
NM_001037318.2	2515	2315.83	0	0
NM_001039968.1	1349	1149.83	0	0
NM_001040203.1	644	444.973	26.0141	7.64215
NM_001040204.1	793	593.825	106.354	23.4118
NM_001040205.1	698	498.928	0	0
NM_001040206.1	682	482.928	3	0.812042
NM_001040207.1	1179	979.825	2	0.266822
NM_001040208.1	582	382.973	277	94.5477
NM_001040209.1	588	388.973	1	0.336062
NM_001040220.1	483	284.462	0	0
NM_001040221.1	459	260.623	2.33575	1.17153
NM_001040223.1	555	356.009	9737	3575.23
NM_001040224.1	399	202.995	62290	40111.9
NM_001040225.1	407	210.659	0	0
NM_001040226.1	432	234.407	0	0
NM_001040227.1	724	524.825	0	0
NM_001040229.1	453	254.752	0	0
NM_001040230.1	13107	12907.8	250	2.53178
NM_001040231.1	363	169.88	0	0
NM_001040233.1	1647	1447.83	514.203	46.4256
NM_001040234.1	1500	1300.83	0	0
NM_001040235.2	6077	5877.83	0	0
NM_001040236.1	1767	1567.83	1	0.0833762
NM_001040237.1	5107	4907.83	1	0.0266349
NM_001040255.1	1893	1693.83	0	0
NM_001040256.1	767	567.825	0	0
NM_001040257.1	1554	1354.83	0	0
