,Gene_ID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,description
11,LOC100577280,461.9565397,3.172286945,0.81774519,3.87930982,0.000104753,0.021994327,uncharacterized LOC100577280
66,LOC413987,505.4755053,4.036732985,1.132622685,3.564058038,0.000365165,0.046961119,"polypeptide N-acetylgalactosaminyltransferase 5, transcript variant X3"
54,LOC410257,38.31112741,4.090625341,1.113584167,3.673386766,0.000239357,0.037027452,"cysteine protease ATG4D, transcript variant X4"
60,LOC412053,268.9876628,4.430645625,1.251966691,3.538948486,0.000401724,0.049860518,"reticulocyte-binding protein 2, transcript variant X2"
16,LOC100578413,54.90822949,4.655539054,1.240621188,3.752587089,0.000175019,0.030131497,uncharacterized LOC100578413
69,LOC551632,100.70554,4.718178915,1.242407396,3.797610131,0.000146098,0.027358749,"methyl farnesoate epoxidase, transcript variant X2"
57,LOC411052,249.7986735,4.762472387,1.300883622,3.660951916,0.00025128,0.037590489,"sialin, transcript variant X5"
61,LOC412681,294.369932,4.900135954,1.198714629,4.087825272,4.35E-05,0.013269147,dipeptidyl peptidase 9
67,LOC551188,114.7110687,5.006405808,1.326359206,3.774547489,0.000160298,0.028049587,"ankyrin repeat and BTB/POZ domain-containing protein BTBD11, transcript variant X3"
12,LOC100577681,168.1221779,5.066032469,1.409580618,3.593999808,0.00032564,0.043513204,protein asteroid
56,LOC410891,22.3212168,5.158375542,1.28411936,4.017053011,5.89E-05,0.016553259,protein dispatched
74,LOC724862,28.07707664,5.448288445,1.523809536,3.575439264,0.00034964,0.045512939,"nuclear envelope integral membrane protein 1, transcript variant X1"
64,LOC413096,140.4175969,5.471413454,1.420614366,3.851441731,0.000117424,0.023210904,"ubiquitin-protein ligase E3C, transcript variant X2"
15,LOC100578356,111.0123676,5.480739001,1.43816366,3.810928584,0.000138446,0.026711515,"apoptotic protease-activating factor 1-like, transcript variant X1"
13,LOC100578255,135.4256048,5.550137011,1.52625336,3.636445401,0.000276426,0.039340977,"ras GTPase-activating-like protein IQGAP1, transcript variant X1"
51,LOC409186,89.59161523,5.635356875,1.380718947,4.081465592,4.48E-05,0.013269147,"vam6/Vps39-like protein, transcript variant X5"
3,GeneID_551388,74.75646999,5.726364168,1.444483892,3.964297697,7.36E-05,0.018544619,adipokinetic hormone receptor
62,LOC412780,130.9191607,5.795628701,1.341737899,4.319493923,1.56E-05,0.005756135,"transmembrane protein 8B, transcript variant X1"
58,LOC411781,63.09867768,5.910785142,1.357731811,4.353426127,1.34E-05,0.005109273,"sodium/potassium/calcium exchanger 4, transcript variant X2"
68,LOC551545,40.15606381,6.137185855,1.645244616,3.730257371,0.000191284,0.03190263,"reticulon-4-interacting protein 1 homolog, mitochondrial"
70,LOC552108,338.1041069,6.181537096,1.679023371,3.681626595,0.000231751,0.036920994,"adhesion G protein-coupled receptor A3, transcript variant X1"
50,LOC113219314,94.48427219,6.201721967,1.750315246,3.543202849,0.000395299,0.049860518,"protein dopey homolog PFC0245c, transcript variant X1"
55,LOC410632,257.6901369,6.234093989,1.705549758,3.65518154,0.000257,0.037590489,"G protein-coupled receptor kinase 2, transcript variant X1"
59,LOC411816,63.0240868,6.332479433,1.751637481,3.615176943,0.000300143,0.041073354,"cytoplasmic dynein 1 light intermediate chain 1, transcript variant X1"
38,LOC107965043,281.2627469,6.5319975,1.523717203,4.286883083,1.81E-05,0.006239042,uncharacterized LOC107965043
6,GeneID_724845,185.2661747,6.714547823,1.837036035,3.655098591,0.000257083,0.037590489,segmentation protein even-skipped
81,LOC725941,456.4733877,6.749812195,1.449101119,4.657930429,3.19E-06,0.00142055,"zinc finger protein 800, transcript variant X3"
52,LOC409277,27.83885463,6.838840694,1.771583098,3.860299132,0.000113248,0.022807781,"acidic phospholipase A2 PA4, transcript variant X6"
71,LOC552202,125.0985685,6.839620046,1.719414492,3.977877397,6.95E-05,0.018544619,"monocarboxylate transporter 9, transcript variant X2"
17,LOC100578566,109.7869277,7.007575878,1.883998868,3.71952234,0.0001996,0.032280746,"uncharacterized LOC100578566, transcript variant X1"
36,LOC107964086,293.7394466,7.097738656,1.879856701,3.775680695,0.000159571,0.028049587,uncharacterized LOC107964086
72,LOC724206,72.06506621,7.328167444,1.969356287,3.72109785,0.000198359,0.032280746,TBC1 domain family member 31
65,LOC413900,62.88344377,7.407915873,1.867300337,3.967179636,7.27E-05,0.018544619,"WD repeat-containing protein on Y chromosome, transcript variant X3"
24,LOC102655071,40.25120947,7.440904372,1.878648186,3.960775852,7.47E-05,0.018544619,"uncharacterized LOC102655071, transcript variant X1"
73,LOC724626,27.21010025,7.534122614,1.936842707,3.889899053,0.000100286,0.021994327,uncharacterized LOC724626
5,GeneID_678510,72.68562904,7.578501385,1.734039728,4.370431233,1.24E-05,0.005090734,GB15078 protein
37,LOC107964742,96.9769684,8.221348876,2.168822451,3.790697053,0.000150225,0.027427206,uncharacterized LOC107964742
8,LOC100576212,78.23526847,8.380369935,2.151730953,3.894710872,9.83E-05,0.021994327,odorant receptor 13a
80,LOC725842,18.94659722,8.419765502,2.342980953,3.593612441,0.000326125,0.043513204,elongation of very long chain fatty acids protein 6-like
35,LOC102656271,97.97600035,8.484674543,2.187105769,3.879407508,0.000104711,0.021994327,"uncharacterized LOC102656271, transcript variant X1"
44,LOC113218733,30.37969427,8.597895938,2.269514475,3.788429655,0.000151603,0.027427206,uncharacterized LOC113218733
10,LOC100577091,51.00049409,8.669642414,2.014891495,4.302783766,1.69E-05,0.006001116,"uncharacterized LOC100577091, transcript variant X1"
18,LOC100578699,37.07636385,8.721105669,2.437231928,3.578283038,0.000345859,0.045512939,uncharacterized LOC100578699
47,LOC113218912,38.82386229,8.76742119,2.385666984,3.675039831,0.000237812,0.037027452,uncharacterized LOC113218912
31,LOC102655897,25.18406749,8.778353667,2.142442067,4.097358712,4.18E-05,0.013119321,uncharacterized LOC102655897
32,LOC102656083,56.85877293,8.997480108,2.465454279,3.649420792,0.000262832,0.037911778,uncharacterized LOC102656083
40,LOC107965607,47.31231006,9.002578776,2.228827625,4.03915434,5.36E-05,0.015475644,uncharacterized LOC107965607
78,LOC725359,48.90575337,9.009997894,2.042690469,4.410848354,1.03E-05,0.004396254,uncharacterized LOC725359
19,LOC102653615,68.57926975,9.094190981,2.34761131,3.873806087,0.000107149,0.021994327,uncharacterized LOC102653615
28,LOC102655529,85.7728214,9.102576742,2.324382492,3.916126874,9.00E-05,0.021343945,"uncharacterized LOC102655529, transcript variant X2"
27,LOC102655494,93.68591516,9.510797291,2.291039293,4.151302563,3.31E-05,0.010693031,uncharacterized LOC102655494
2,GeneID_100577921,48.83503894,9.813752293,2.488724716,3.943285583,8.04E-05,0.019497723,odorant receptor 131
25,LOC102655218,11.47002696,15.36086228,2.636791813,5.825587825,5.69E-09,3.37E-06,uncharacterized LOC102655218
46,LOC113218909,27.17290201,17.69906524,2.770934382,6.387399628,1.69E-10,1.50E-07,uncharacterized LOC113218909
26,LOC102655469,10.28631387,17.98182874,2.950328718,6.094856018,1.10E-09,7.79E-07,uncharacterized LOC102655469
43,LOC113218663,16.09910806,18.28512813,2.64837484,6.904282526,5.05E-12,5.39E-09,uncharacterized LOC113218663
1,GeneID_100315667,15.62423861,18.82030578,2.581911622,7.289291243,3.12E-13,4.54E-10,microRNA 33
83,LOC726274,28.3334727,18.84364663,2.773530568,6.794100938,1.09E-11,1.06E-08,"yellow-e, transcript variant X1"
21,LOC102653858,13.18434716,19.000379,3.164528018,6.004174679,1.92E-09,1.28E-06,uncharacterized LOC102653858
39,LOC107965434,9.431664179,19.05516427,2.626804558,7.254123346,4.04E-13,4.79E-10,uncharacterized LOC107965434
30,LOC102655809,44.82870117,19.12753355,2.504958943,7.635867089,2.24E-14,4.79E-11,uncharacterized LOC102655809
75,LOC724864,49.79913276,19.36626466,2.590814846,7.474970547,7.72E-14,1.37E-10,"TWiK family of potassium channels protein 18, transcript variant X2"
49,LOC113219056,34.5204091,19.51072923,3.736240916,5.222021189,1.77E-07,9.00E-05,uncharacterized LOC113219056
9,LOC100576224,79.29381509,19.71261909,2.572792313,7.661955064,1.83E-14,4.79E-11,"carbonic anhydrase 2, transcript variant X1"
29,LOC102655764,21.32980817,19.73603392,4.104157642,4.808790411,1.52E-06,0.000736731,uncharacterized LOC102655764
48,LOC113219020,48.38642662,19.77066012,2.571755991,7.687611188,1.50E-14,4.79E-11,uncharacterized LOC113219020
34,LOC102656251,28.13936291,19.81978863,2.544010271,7.790765964,6.66E-15,3.55E-11,uncharacterized LOC102656251
23,LOC102654541,46.40849943,19.84527406,4.552928693,4.358793076,1.31E-05,0.005109273,zinc finger protein 776-like
41,LOC107965763,19.0008194,19.87658933,4.163167406,4.77439108,1.80E-06,0.000836525,odorant receptor 30a-like
45,LOC113218735,73.25370949,20.45728991,3.249357791,6.295794808,3.06E-10,2.48E-07,uncharacterized LOC113218735
7,LOC100576093,44.37186576,21.07917642,4.033833427,5.225594166,1.74E-07,9.00E-05,uncharacterized LOC100576093
14,LOC100578307,55.44325526,21.09095574,3.600408631,5.857933891,4.69E-09,2.94E-06,"multiple inositol polyphosphate phosphatase 1, transcript variant X2"
85,LOC726765,150.2789959,21.10724241,2.35245171,8.9724445,2.90E-19,3.10E-15,"dynein regulatory complex protein 11, transcript variant X3"
33,LOC102656149,63.24768775,21.12770154,3.360835463,6.286443287,3.25E-10,2.48E-07,uncharacterized LOC102656149
