target_id	length	eff_length	est_counts	tpm
NM_001010975.1	1251	1010.85	13347	620.485
NM_001011562.1	863	622.91	362.82	27.3715
NM_001011563.1	2084	1843.85	39	0.993969
NM_001011564.2	1326	1085.85	427	18.4796
NM_001011565.1	3023	2782.85	65.3369	1.10332
NM_001011566.1	1503	1262.85	16.4418	0.61183
NM_001011567.1	4030	3789.85	1.38769	0.0172069
NM_001011568.1	2077	1836.85	0	0
NM_001011570.1	582	343.553	4982	681.465
NM_001011571.1	2093	1852.85	5.22995	0.132645
NM_001011572.1	2346	2105.85	4823	107.628
NM_001011573.1	3160	2919.85	23.199	0.373372
NM_001011574.1	1940	1699.85	709	19.6006
NM_001011575.1	2163	1922.85	40.5072	0.989966
NM_001011576.1	1195	954.847	150	7.38228
NM_001011577.1	2389	2148.85	175.954	3.84793
NM_001011578.1	5441	5200.85	1	0.00903564
NM_001011579.1	1430	1189.85	100	3.9495
NM_001011580.1	1544	1303.85	1.6437	0.0592421
NM_001011581.1	2439	2198.85	0	0
NM_001011582.1	356	141.204	354	117.812
NM_001011583.2	635	395.785	5546	658.496
NM_001011584.1	1606	1365.85	0	0
NM_001011585.1	1638	1397.85	79.4695	2.67162
NM_001011586.1	2205	1964.85	0	0
NM_001011587.1	496	260.779	2.16871	0.390807
NM_001011588.1	724	484.22	61	5.91998
NM_001011589.1	624	384.825	282	34.4365
NM_001011590.1	574	335.791	362	50.6608
NM_001011591.1	584	345.484	649	88.2776
NM_001011592.1	1590	1349.85	532.553	18.5401
NM_001011593.1	548	310.437	20.7264	3.1375
NM_001011594.1	4195	3954.85	34.5391	0.410407
NM_001011595.1	2818	2577.85	16.0882	0.293281
NM_001011596.1	4100	3859.85	309.2	3.76446
NM_001011597.1	2673	2432.85	419.294	8.09911
NM_001011598.1	1624	1383.85	8	0.271666
NM_001011599.1	1942	1701.85	40.9218	1.12997
NM_001011600.1	2052	1811.85	46	1.19308
NM_001011601.1	1830	1589.85	17	0.502489
NM_001011602.1	2795	2554.85	51	0.938077
NM_001011603.1	1683	1442.85	137.268	4.47078
NM_001011604.3	685	445.449	552.317	58.2672
NM_001011605.1	1448	1207.85	1761	68.5142
NM_001011606.1	1757	1516.85	166	5.1428
NM_001011607.2	381	160.301	7	2.05208
NM_001011608.1	1873	1632.85	5174	148.907
NM_001011610.1	1612	1371.85	15.0395	0.515182
NM_001011611.2	369	150.84	0	0
NM_001011612.1	304	104.801	0	0
NM_001011613.1	710	470.267	2829	282.697
NM_001011614.1	688	448.449	0	0
NM_001011615.1	664	424.579	41080	4546.79
NM_001011616.2	680	440.449	8127	867.098
NM_001011617.1	374	154.627	34432	10464.3
NM_001011618.1	523	286.306	0	0
NM_001011619.1	1559	1318.85	15.3827	0.548113
NM_001011620.1	957	716.847	8.45358	0.554175
NM_001011621.1	3254	3013.85	1.0265	0.0160055
NM_001011622.1	1529	1288.85	18	0.656303
NM_001011623.1	3376	3135.85	0	0
NM_001011624.1	4969	4728.85	27.9543	0.277797
NM_001011625.2	1940	1699.85	0	0
NM_001011626.2	755	515.07	580.006	52.9176
NM_001011627.1	2520	2279.85	801	16.5105
NM_001011628.2	1386	1145.85	96.4001	3.95352
NM_001011629.1	14440	14199.8	226.725	0.750325
NM_001011630.1	630	390.825	3792.26	455.983
NM_001011631.1	1741	1500.85	0	0
NM_001011632.2	2009	1768.85	12.2976	0.326712
NM_001011633.1	1533	1292.85	16.3517	0.594359
NM_001011634.2	3754	3513.85	2.00375	0.0267975
NM_001011635.1	1447	1206.85	2800	109.028
NM_001011636.1	570	331.825	95	13.4539
NM_001011637.1	1369	1128.85	1.13471	0.0472371
NM_001011638.1	584	345.484	88	11.9698
NM_001011639.2	1806	1565.85	15193	455.961
NM_001011640.1	991	750.847	597	37.3642
NM_001011641.1	970	729.847	157	10.1088
NM_001011643.1	2378	2137.85	407.758	8.96311
NM_001011644.2	1200	959.847	23.2268	1.13716
NM_001011650.1	2242	2001.85	19	0.446022
NM_001011652.2	969	728.847	13650	880.095
NM_001011653.2	898	657.847	8.85233	0.632363
NM_001011654.2	749	509.07	6.91775	0.638588
NM_001012429.1	672	432.536	1804.24	196.022
NM_001012615.1	1097	856.847	83	4.55206
NM_001012627.1	3153	2912.85	0	0
NM_001012962.1	3606	3365.85	85	1.18675
NM_001012963.1	502	266.22	0	0
NM_001013006.1	2991	2750.85	0	0
NM_001013359.2	1964	1723.85	96.8431	2.64
NM_001013361.1	4113	3872.85	5	0.0606698
NM_001014429.1	1427	1186.85	314	12.4328
NM_001014430.1	438	208.339	0	0
NM_001014983.1	3250	3009.85	1.51188	0.0236051
NM_001014991.1	7242	7001.85	16.1089	0.108115
NM_001014992.2	2498	2257.85	45.8322	0.953914
NM_001014993.1	1386	1145.85	3.32027	0.13617
NM_001014994.1	1892	1651.85	109.621	3.11858
NM_001024697.1	1793	1552.85	701	21.214
NM_001032361.1	3585	3344.85	0	0
NM_001037318.2	2515	2274.85	2.57251	0.053142
NM_001039968.1	1349	1108.85	4	0.16952
NM_001040203.1	644	404.745	10.0636	1.16844
NM_001040204.1	793	552.91	157.63	13.3973
NM_001040205.1	698	458.313	684	70.1337
NM_001040206.1	682	442.449	2709.11	287.738
NM_001040207.1	1179	938.847	538	26.929
NM_001040208.1	582	343.553	56	7.65998
NM_001040209.1	588	349.449	510.429	68.6413
NM_001040220.1	483	248.863	13	2.4548
NM_001040221.1	459	227.341	13.7939	2.8513
NM_001040223.1	555	317.217	27	3.99982
NM_001040224.1	399	174.857	5	1.34376
NM_001040225.1	407	181.718	0	0
NM_001040226.1	432	202.916	41	9.4951
NM_001040227.1	724	484.22	236.888	22.9897
NM_001040229.1	453	221.78	19.2282	4.07427
NM_001040230.1	13107	12866.8	1170.81	4.2761
