target_id	length	eff_length	est_counts	tpm
NM_001010975.1	1251	1052.1	1154	81.4954
NM_001011562.1	863	664.1	9.81488	1.09808
NM_001011563.1	2084	1885.1	1563	61.604
NM_001011564.2	1326	1127.1	1478	97.4308
NM_001011565.1	3023	2824.1	44.6111	1.17367
NM_001011566.1	1503	1304.1	1	0.0569735
NM_001011567.1	4030	3831.1	1.61842	0.0313871
NM_001011568.1	2077	1878.1	0	0
NM_001011570.1	582	383.237	2995	580.649
NM_001011571.1	2093	1894.1	5.70297	0.223708
NM_001011572.1	2346	2147.1	857	29.656
NM_001011573.1	3160	2961.1	0	0
NM_001011574.1	1940	1741.1	17	0.725453
NM_001011575.1	2163	1964.1	419.677	15.8758
NM_001011576.1	1195	996.1	6	0.447541
NM_001011577.1	2389	2190.1	0	0
NM_001011578.1	5441	5242.1	16	0.226777
NM_001011579.1	1430	1231.1	1	0.0603519
NM_001011580.1	1544	1345.1	1	0.0552369
NM_001011581.1	2439	2240.1	0	0
NM_001011582.1	356	164.326	189	85.4555
NM_001011583.2	635	436.153	45004	7666.49
NM_001011584.1	1606	1407.1	0	0
NM_001011585.1	1638	1439.1	0	0
NM_001011586.1	2205	2006.1	0	0
NM_001011587.1	496	297.663	4.84472	1.20928
NM_001011588.1	724	525.153	0	0
NM_001011589.1	624	425.196	40	6.98964
NM_001011590.1	574	375.237	0	0
NM_001011591.1	584	385.237	2	0.385732
NM_001011592.1	1590	1391.1	17	0.907977
NM_001011593.1	548	349.345	4	0.850726
NM_001011594.1	4195	3996.1	15.0169	0.279208
NM_001011595.1	2818	2619.1	35	0.992887
NM_001011596.1	4100	3901.1	100.825	1.92028
NM_001011597.1	2673	2474.1	307.793	9.24326
NM_001011598.1	1624	1425.1	105	5.47429
NM_001011599.1	1942	1743.1	7	0.298373
NM_001011600.1	2052	1853.1	2050	82.1938
NM_001011601.1	1830	1631.1	8	0.364413
NM_001011602.1	2795	2596.1	5	0.143098
NM_001011603.1	1683	1484.1	466.358	23.3475
NM_001011604.3	685	486.153	11476.1	1753.9
NM_001011605.1	1448	1249.1	13	0.773268
NM_001011606.1	1757	1558.1	12	0.572229
NM_001011607.2	381	186.853	0	0
NM_001011608.1	1873	1674.1	181	8.03306
NM_001011610.1	1612	1413.1	6	0.315473
NM_001011611.2	369	175.873	1	0.422458
NM_001011612.1	304	121.817	5	3.04962
NM_001011613.1	710	511.153	4185.95	608.453
NM_001011614.1	688	489.153	5	0.759468
NM_001011615.1	664	465.153	3776	603.143
NM_001011616.2	680	481.153	291	44.9359
NM_001011617.1	374	180.471	32929	13556.7
NM_001011618.1	523	324.444	0	0
NM_001011619.1	1559	1360.1	9.13536	0.499044
NM_001011620.1	957	758.1	29360.5	2877.54
NM_001011621.1	3254	3055.1	0	0
NM_001011622.1	1529	1330.1	6	0.335159
NM_001011623.1	3376	3177.1	0	0
NM_001011624.1	4969	4770.1	3.68265	0.057361
NM_001011625.2	1940	1741.1	0	0
NM_001011626.2	755	556.1	1304.93	174.348
NM_001011627.1	2520	2321.1	12	0.384124
NM_001011628.2	1386	1187.1	8.08256	0.505878
NM_001011629.1	14440	14241.1	81.4663	0.425029
NM_001011630.1	630	431.196	12544.1	2161.47
NM_001011631.1	1741	1542.1	0	0
