,Gene_ID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,description
26,LOC412619,1336.464559,3.222231929,0.806460997,3.9955211,6.46E-05,0.024314149,"amidophosphoribosyltransferase, transcript variant X1"
46,LOC727275,641.0045657,3.505227159,0.881244012,3.977589763,6.96E-05,0.025170538,proliferating cell nuclear antigen
29,LOC413881,146.5482594,3.523169091,0.956766085,3.682372469,0.000231073,0.049037809,"AP-3 complex subunit sigma-2, transcript variant X1"
43,LOC726323,2111.277628,3.645896394,0.945838257,3.854672158,0.000115885,0.033272575,"uncharacterized LOC726323, transcript variant X1"
5,LOC100577325,110.6818206,3.923931688,1.063802858,3.688589159,0.000225501,0.049037809,"uncharacterized LOC100577325, transcript variant X2"
33,LOC552334,490.1970703,3.975624767,1.062938372,3.740221327,0.000183858,0.046021144,splicing factor 3A subunit 2
32,LOC552016,164.4141684,4.256727185,0.950090026,4.48034088,7.45E-06,0.005867849,mitochondrial 2-oxoglutarate/malate carrier protein
6,LOC100577520,166.590548,4.500864288,1.184191529,3.800790817,0.000144235,0.037053219,uncharacterized protein C19orf47 homolog
30,LOC413934,125.8644016,4.544880075,1.232693773,3.686949813,0.000226958,0.049037809,"sodium-independent sulfate anion transporter, transcript variant X6"
1,GeneID_406143,277.4030338,4.623679505,1.078263719,4.288078533,1.80E-05,0.00925979,defensin 1
27,LOC413285,57.56088542,4.656705838,1.202835874,3.871439102,0.000108195,0.032005956,zinc finger CCHC domain-containing protein 24
21,LOC409388,317.6031636,4.779423579,1.053898818,4.534992825,5.76E-06,0.005623443,"ras-related protein Rab-18-B, transcript variant X2"
19,LOC113219028,313.164644,4.992068594,1.266865898,3.940486993,8.13E-05,0.027372769,pancreatic triacylglycerol lipase-like
25,LOC412584,291.5653164,4.997247661,1.100699396,4.540065779,5.62E-06,0.005623443,THO complex subunit 5 homolog
31,LOC551613,180.3176298,5.115253602,1.177982651,4.342384496,1.41E-05,0.009172674,"ATP-dependent RNA helicase SUV3 homolog, mitochondrial"
44,LOC726612,164.9475282,5.22040946,1.306812146,3.994766558,6.48E-05,0.024314149,"evolutionarily conserved signaling intermediate in Toll pathway, mitochondrial"
10,LOC100578277,96.61870607,5.301061518,1.300519131,4.076111908,4.58E-05,0.019436985,U11/U12 small nuclear ribonucleoprotein 25 kDa protein
11,LOC100579040,89.21984387,5.374851906,1.342709657,4.002988939,6.25E-05,0.024314149,chondroitin sulfate synthase 2
23,LOC411962,97.43735255,5.409521884,1.369244564,3.950734606,7.79E-05,0.027163352,"uncharacterized LOC411962, transcript variant X2"
28,LOC413478,108.1587783,5.629942953,1.480067044,3.803843195,0.000142468,0.037053219,spermine oxidase
45,LOC726969,592.5233044,5.700554756,1.125746092,5.063801506,4.11E-07,0.001337321,farnesyl pyrophosphate synthase
4,LOC100576828,80.66946845,5.720556461,1.257580838,4.548857846,5.39E-06,0.005623443,"protein maelstrom homolog, transcript variant X3"
37,LOC724437,67.2177795,5.77211469,1.050981459,5.492118475,3.97E-08,0.000193844,adenomatous polyposis coli protein
13,LOC102654517,91.77069919,5.943435163,1.550653993,3.832857097,0.000126664,0.035328271,uncharacterized LOC102654517
12,LOC102653954,55.11368157,5.95606096,1.302281127,4.573560069,4.80E-06,0.005623443,"uncharacterized LOC102653954, transcript variant X1"
34,LOC552549,78.74374256,6.033263948,1.415578368,4.262048703,2.03E-05,0.009887016,"ribosomal protein S6 kinase beta-1, transcript variant X1"
15,LOC102655898,68.01628454,6.166863409,1.591980763,3.873704729,0.000107193,0.032005956,"GPI mannosyltransferase 3, transcript variant X4"
35,LOC552733,133.538825,6.193019838,1.318538999,4.696880292,2.64E-06,0.004297967,aurora kinase B
17,LOC107965509,116.8290631,6.207851572,1.27271996,4.87762569,1.07E-06,0.002620375,uncharacterized LOC107965509
24,LOC412276,115.9138422,6.364747323,1.44186549,4.414244856,1.01E-05,0.00706791,epimerase family protein SDR39U1
22,LOC411024,284.2113131,6.372813821,1.478900037,4.309157929,1.64E-05,0.00925979,DDB1- and CUL4-associated factor 13
41,LOC725320,288.7976685,6.609772208,1.478625857,4.470212783,7.81E-06,0.005867849,"N-alpha-acetyltransferase 35, NatC auxiliary subunit, transcript variant X3"
2,GeneID_725103,110.0963737,6.72657219,1.768808448,3.802883346,0.000143022,0.037053219,chemosensory protein 6
40,LOC725227,29.9105042,7.346849503,1.983293505,3.704368256,0.000211918,0.049037809,gem-associated protein 6
16,LOC102656485,69.06801609,7.51535419,2.039972103,3.684047531,0.000229559,0.049037809,oxidoreductase-like domain-containing protein 1
9,LOC100578243,943.3961161,7.962954152,1.035960449,7.68654263,1.51E-14,1.48E-10,proteasome subunit alpha type-6
3,LOC100576706,43.54400775,8.242610398,1.919025821,4.29520557,1.75E-05,0.00925979,"peptidyl-prolyl cis-trans isomerase D, transcript variant X1"
39,LOC724953,51.53184497,8.906760107,1.847728353,4.820383955,1.43E-06,0.002797441,"U6 snRNA phosphodiesterase, transcript variant X1"
14,LOC102655764,21.32980817,18.50396737,4.106074334,4.50648621,6.59E-06,0.00584921,uncharacterized LOC102655764
18,LOC113218760,45.45983082,20.85448244,4.907324042,4.24966484,2.14E-05,0.009952155,probable galactose-1-phosphate uridylyltransferase
