target_id	length	eff_length	est_counts	tpm
NM_001010975.1	1251	1009.04	604	73.8702
NM_001011562.1	863	621.106	7.26114	1.44271
NM_001011563.1	2084	1842.04	1396	93.5247
NM_001011564.2	1326	1084.04	173	19.6943
NM_001011565.1	3023	2781.04	19.8007	0.878643
NM_001011566.1	1503	1261.04	0	0
NM_001011567.1	4030	3788.04	0	0
NM_001011568.1	2077	1835.04	9.20911	0.619316
NM_001011570.1	582	341.178	508	183.747
NM_001011571.1	2093	1851.04	22.8772	1.5252
NM_001011572.1	2346	2104.04	237	13.9006
NM_001011573.1	3160	2918.04	0	0
NM_001011574.1	1940	1698.04	0	0
NM_001011575.1	2163	1921.04	10.003	0.64259
NM_001011576.1	1195	953.036	7	0.906416
NM_001011577.1	2389	2147.04	972.626	55.9043
NM_001011578.1	5441	5199.04	3	0.0712094
NM_001011579.1	1430	1188.04	373	38.7452
NM_001011580.1	1544	1302.04	0	0
NM_001011581.1	2439	2197.04	0	0
NM_001011582.1	356	138.905	34	30.2065
NM_001011583.2	635	393.554	17551	5503.47
NM_001011584.1	1606	1364.04	11.5209	1.04232
NM_001011585.1	1638	1396.04	32.168	2.84358
NM_001011586.1	2205	1963.04	0	0
NM_001011587.1	496	258.297	0	0
NM_001011588.1	724	482.252	0	0
NM_001011589.1	624	382.671	111	35.7961
NM_001011590.1	574	333.38	1	0.370169
NM_001011591.1	584	343.144	103	37.0424
NM_001011592.1	1590	1348.04	444.711	40.7113
NM_001011593.1	548	307.893	0	0
NM_001011594.1	4195	3953.04	0	0
NM_001011595.1	2818	2576.04	133.028	6.37281
NM_001011596.1	4100	3858.04	200.548	6.4149
NM_001011597.1	2673	2431.04	48.2833	2.45101
NM_001011598.1	1624	1382.04	12	1.07152
NM_001011599.1	1942	1700.04	7.49843	0.544316
NM_001011600.1	2052	1810.04	7522	512.844
NM_001011601.1	1830	1588.04	14	1.08794
NM_001011602.1	2795	2553.04	16	0.773396
NM_001011603.1	1683	1441.04	27.2521	2.33381
NM_001011604.3	685	443.388	3465.57	964.561
NM_001011605.1	1448	1206.04	127	12.9952
NM_001011606.1	1757	1515.04	7	0.570183
NM_001011607.2	381	158.117	1	0.780475
NM_001011608.1	1873	1631.04	1679	127.036
NM_001011610.1	1612	1370.04	3.62668	0.326675
NM_001011611.2	369	148.687	4.21365	3.49723
NM_001011612.1	304	103.412	10.7864	12.8719
NM_001011613.1	710	468.252	98	25.8277
NM_001011614.1	688	446.344	0	0
NM_001011615.1	664	422.431	48	14.0225
NM_001011616.2	680	438.388	212	59.6782
NM_001011617.1	374	152.289	149	120.741
NM_001011618.1	523	283.877	1.53946	0.669232
NM_001011619.1	1559	1317.04	4.77431	0.447355
NM_001011620.1	957	715.036	49300.5	8508.68
NM_001011621.1	3254	3012.04	0	0
NM_001011622.1	1529	1287.04	93	8.91726
NM_001011623.1	3376	3134.04	12.5088	0.492552
NM_001011624.1	4969	4727.04	24.1741	0.631104
NM_001011625.2	1940	1698.04	28	2.03493
NM_001011626.2	755	513.106	300.632	72.3048
NM_001011627.1	2520	2278.04	169	9.15514
NM_001011628.2	1386	1144.04	0	0
NM_001011629.1	14440	14198	25.9795	0.225809
NM_001011630.1	630	388.632	4735.73	1503.79
NM_001011631.1	1741	1499.04	5.20485	0.428485
NM_001011632.2	2009	1767.04	40.8741	2.85458
NM_001011633.1	1533	1291.04	0	0
NM_001011634.2	3754	3512.04	15.2601	0.536212
NM_001011635.1	1447	1205.04	249	25.4999
NM_001011636.1	570	329.413	8309	3112.77
NM_001011637.1	1369	1127.04	5.02283	0.549983
NM_001011638.1	584	343.144	29	10.4294
NM_001011639.2	1806	1564.04	3	0.236708
NM_001011640.1	991	749.036	4303	708.937
NM_001011641.1	970	728.036	246.505	41.7843
NM_001011643.1	2378	2136.04	2.51865	0.145512
NM_001011644.2	1200	958.036	29.9121	3.85304
NM_001011650.1	2242	2000.04	27	1.66596
NM_001011652.2	969	727.036	114	19.3503
NM_001011653.2	898	656.106	0	0
NM_001011654.2	749	507.106	35.7978	8.71158
NM_001012429.1	672	430.388	67.3909	19.3232
NM_001012615.1	1097	855.036	2	0.288659
NM_001012627.1	3153	2911.04	17.8277	0.755766
NM_001012962.1	3606	3364.04	66	2.42115
NM_001012963.1	502	263.953	190	88.8314
NM_001013006.1	2991	2749.04	0	0
NM_001013359.2	1964	1722.04	16.8737	1.20923
NM_001013361.1	4113	3871.04	0	0
NM_001014429.1	1427	1185.04	106	11.0386
NM_001014430.1	438	205.451	0	0
NM_001014983.1	3250	3008.04	14.7572	0.605426
NM_001014991.1	7242	7000.04	0	0
NM_001014992.2	2498	2256.04	42.0365	2.29942
NM_001014993.1	1386	1144.04	0	0
NM_001014994.1	1892	1650.04	502.341	37.5703
NM_001024697.1	1793	1551.04	471	37.4747
NM_001032361.1	3585	3343.04	0	0
NM_001037318.2	2515	2273.04	39	2.11737
NM_001039968.1	1349	1107.04	8.14898	0.908408
NM_001040203.1	644	402.554	123.44	37.8418
NM_001040204.1	793	551.106	118.062	26.437
NM_001040205.1	698	456.298	72	19.4725
NM_001040206.1	682	440.388	21	5.88468
NM_001040207.1	1179	937.036	59	7.77025
NM_001040208.1	582	341.178	10314	3730.65
NM_001040209.1	588	347.041	32.6613	11.6143
NM_001040220.1	483	246.064	92	46.1402
NM_001040221.1	459	223.877	115.642	63.7447
NM_001040223.1	555	314.8	104597	41003.7
NM_001040224.1	399	172.431	1548	1107.88
NM_001040225.1	407	179.082	9.52645	6.56473
NM_001040226.1	432	200.229	204	125.731
NM_001040227.1	724	482.252	2	0.511794
NM_001040229.1	453	218.533	3	1.69411
NM_001040230.1	13107	12865	1023.39	9.81677
NM_001040231.1	363	144.139	36.0488	30.8638
NM_001040233.1	1647	1405.04	106.545	9.358
NM_001040234.1	1500	1258.04	162.515	15.9419
NM_001040235.2	6077	5835.04	0	0
NM_001040236.1	1767	1525.04	500	40.4603
NM_001040237.1	5107	4865.04	0	0
NM_001040255.1	1893	1651.04	25.8745	1.93399
NM_001040256.1	767	525.106	0	0
NM_001040257.1	1554	1312.04	12.0564	1.13399
NM_001040258.1	1250	1008.04	8.82732	1.08067
NM_001040259.1	1743	1501.04	13	1.06879
NM_001040262.2	438	205.451	9	5.40596
NM_001040263.1	1550	1308.04	499	47.0782
NM_001040264.1	1600	1358.04	133	12.0859
NM_001040265.1	1689	1447.04	18.0322	1.53783
NM_001040266.2	1599	1357.04	0	0
NM_001040267.1	1895	1653.04	0	0
NM_001040269.1	1397	1155.04	10.4617	1.11775
NM_001040270.1	509	270.548	13	5.92977
NM_001040277.1	2150	1908.04	6.14887	0.397693
NM_001040681.1	2499	2257.04	408	22.308
NM_001042458.1	1737	1495.04	0	0
NM_001042460.1	1794	1552.04	29.9458	2.38108
NM_001077808.1	5328	5086.04	85.3072	2.06988
NM_001077809.1	1344	1102.04	107.458	12.0332
NM_001077810.1	354	137.472	101	90.6666
NM_001077811.1	1287	1045.04	0	0
NM_001077812.1	1470	1228.04	35.7759	3.59516
NM_001077813.1	3226	2984.04	37.6171	1.55568
NM_001077814.1	387	162.808	11.5204	8.73237
NM_001077815.1	1855	1613.04	0	0
NM_001077816.1	1530	1288.04	0	0
NM_001077817.1	1194	952.036	21.212	2.74958
NM_001077818.1	1707	1465.04	699.625	58.9326
NM_001077819.1	378	155.58	227.259	180.263
NM_001077820.1	351	135.188	24	21.9084
NM_001077821.1	4097	3855.04	48.2626	1.54497
NM_001077822.1	1533	1291.04	0	0
NM_001077823.2	516	277.216	62.972	28.0329
NM_001077824.1	1842	1600.04	0.0436938	0.00336999
NM_001077825.1	1158	916.036	3	0.404155
NM_001078661.1	315	109.809	16.9804	19.0831
NM_001079560.1	1607	1365.04	2	0.180811
NM_001079561.1	1701	1459.04	0	0
NM_001080094.2	2123	1881.04	248.603	16.3098
NM_001080095.1	1590	1348.04	0	0
NM_001080110.1	2703	2461.04	0	0
NM_001080205.1	2713	2471.04	79.4034	3.96551
NM_001083630.1	1713	1471.04	8.33331	0.69909
NM_001085344.1	515	276.244	3	1.34019
NM_001085345.1	1491	1249.04	2	0.197603
NM_001085346.1	509	270.548	7	3.19295
NM_001097154.2	1766	1524.04	2652.28	214.765
NM_001098167.1	767	525.106	32.368	7.60691
NM_001098214.1	1863	1621.04	0	0
NM_001098215.2	2635	2393.04	1.59271	0.0821346
NM_001098217.1	2187	1945.04	0	0
NM_001098218.1	2148	1906.04	208.46	13.4968
NM_001098219.1	2139	1897.04	6	0.390314
NM_001098220.1	1806	1564.04	0	0
NM_001098221.1	1763	1521.04	15.0688	1.22258
NM_001098223.1	1436	1194.04	2	0.206705
NM_001098224.2	1333	1091.04	84	9.50122
NM_001098228.1	1286	1044.04	19.7951	2.33981
NM_001098229.1	1284	1042.04	202	23.9226
NM_001098232.1	1146	904.036	260.457	35.5541
NM_001098234.1	462	226.624	3.913	2.1308
NM_001098717.1	2199	1957.04	3258.8	205.493
NM_001101023.1	3033	2791.04	585.44	25.8854
NM_001104949.1	3122	2880.04	3.37173	0.144475
NM_001110712.2	754	512.106	2	0.481958
NM_001110764.1	2606	2364.04	30777	1606.61
NM_001111255.1	2504	2262.04	0	0
NM_001112670.1	3330	3088.04	23.1847	0.926528
NM_001112671.1	3001	2759.04	454.709	20.3383
NM_001112672.2	1701	1459.04	120.511	10.1929
NM_001113285.1	2779	2537.04	0	0
NM_001113739.1	1509	1267.04	1.27874	0.124547
NM_001114188.1	1950	1708.04	0	0
NM_001114198.1	730	488.155	2838.8	717.655
NM_001115078.1	2659	2417.04	9.49705	0.484891
NM_001123013.2	6157	5915.04	50.2936	1.04929
NM_001126243.2	2949	2707.04	0	0
NM_001126244.1	1674	1432.04	39	3.36085
NM_001131037.1	1164	922.036	0	0
NM_001131038.1	2722	2480.04	20	0.995201
NM_001134227.1	1704	1462.04	0	0
NM_001134333.1	282	89.1757	0	0
NM_001134371.1	591	350.041	519	182.973
NM_001134668.1	2541	2299.04	193	10.3598
NM_001134669.1	584	343.144	310	111.487
NM_001134722.1	105	23.3128	5.24154	27.7462
NM_001134828.1	1495	1253.04	504.836	49.7194
NM_001134934.1	3281	3039.04	363.653	14.7669
NM_001134935.1	2337	2095.04	0	0
NM_001134936.1	1992	1750.04	11.2739	0.794995
NM_001134940.1	1464	1222.04	5.20247	0.525369
NM_001134942.1	1621	1379.04	341	30.5153
NM_001134943.1	1434	1192.04	0	0
NM_001134947.1	1760	1518.04	0	0
NM_001134948.1	3181	2939.04	21.8383	0.916965
NM_001134949.1	3346	3104.04	23.5841	0.93763
NM_001134950.1	2295	2053.04	0	0
NM_001135735.1	1032	790.036	6586	1028.76
NM_001135905.1	488	250.71	1981.52	975.36
NM_001135909.1	320	113.244	2613	2847.5
NM_001136187.1	614	372.86	2382	788.379
NM_001136206.1	1002	760.036	32	5.19583
NM_001136207.1	930	688.106	5	0.896714
NM_001136208.1	1008	766.036	9	1.44988
NM_001136209.1	1029	787.036	10	1.56799
NM_001141964.1	2248	2006.04	27.0895	1.66648
NM_001142436.1	1295	1053.04	636.13	74.549
NM_001142461.1	824	582.106	50	10.6
NM_001142561.1	1943	1701.04	24.9544	1.81039
NM_001142607.1	642	400.554	68	20.9501
NM_001142609.1	1671	1429.04	0	0
NM_001142637.1	999	757.036	0	0
NM_001142656.2	710	468.252	335.479	88.4147
NM_001142693.1	1386	1144.04	20	2.15739
NM_001143878.1	1377	1135.04	0	0
NM_001143879.1	1428	1186.04	0	0
NM_001143880.1	1470	1228.04	0	0
NM_001143921.1	2102	1860.04	99.8756	6.62639
NM_001144839.2	596	355.005	53.1945	18.4914
NM_001145735.2	1347	1105.04	0	0
NM_001145736.1	2424	2182.04	4.09991	0.231874
NM_001145737.1	2433	2191.04	0	0
NM_001145738.1	2787	2545.04	122.286	5.92954
NM_001145739.1	2553	2311.04	0	0
NM_001145740.1	3633	3391.04	197	7.16923
NM_001159303.1	1404	1162.04	0	0
NM_001159355.1	2782	2540.04	0	0
NM_001160048.1	2747	2505.04	916	45.1253
NM_001160050.1	2417	2175.04	3906	221.618
NM_001160052.1	2920	2678.04	1786.99	82.3463
NM_001160064.1	2844	2602.04	2451	116.244
NM_001160072.1	2237	1995.04	139	8.59811
NM_001160270.1	698	456.298	572.026	154.705
NM_001160405.2	2980	2738.04	0	0
NM_001161709.2	856	614.106	326	65.5109
NM_001161787.1	927	685.106	2289.56	412.414
NM_001161788.1	843	601.106	124.442	25.5479
NM_001161831.1	683	441.388	3048.53	852.332
NM_001162398.1	165	35.9445	600	2059.95
NM_001162513.1	4073	3831.04	137.226	4.42038
NM_001162516.1	1758	1516.04	0	0
NM_001163463.1	481	244.238	665	336.006
NM_001163712.1	1155	913.036	0	0
NM_001163714.1	1566	1324.04	28.62	2.66753
NM_001163715.1	854	612.106	1050	211.691
NM_001163716.1	900	658.106	84.5498	15.8546
NM_001163717.1	2152	1910.04	96.8475	6.25728
NM_001164008.1	2209	1967.04	42	2.63497
NM_001164809.1	503	264.926	81.6683	38.0424
NM_001164810.1	871	629.106	829.062	162.631
NM_001165904.1	5715	5473.04	0	0
NM_001165905.1	6135	5893.04	0	0
NM_001165906.1	3754	3512.04	2842.09	99.8659
NM_001167709.1	732	490.155	37	9.31552
NM_001167720.1	599	357.934	35.8813	12.371
NM_001167836.1	1455	1213.04	290.665	29.5705
NM_001167893.1	1135	893.036	10	1.38188
NM_001168336.1	1053	811.036	287	43.6698
NM_001168425.1	1144	902.036	39	5.33556
NM_001168700.1	993	751.036	0	0
NM_001170972.1	1128	886.036	442	61.5616
NM_001170973.1	1131	889.036	59175	8214.06
NM_001170974.1	1454	1212.04	308.984	31.4601
NM_001171006.1	3549	3307.04	10.198	0.380553
NM_001171051.1	4101	3859.04	81	2.59027
NM_001171108.1	1209	967.036	0	0
NM_001171169.1	1520	1278.04	499.296	48.2119
NM_001172378.1	1201	959.036	8	1.02942
NM_001172379.1	1114	872.036	60	8.49094
NM_001172389.1	1026	784.036	6	0.944396
