target_id	length	eff_length	est_counts	tpm
NM_001010975.1	1251	1011.23	15069	688.639
NM_001011562.1	863	623.231	219.36	16.2655
NM_001011563.1	2084	1844.23	2300	57.6329
NM_001011564.2	1326	1086.23	570	24.2499
NM_001011565.1	3023	2783.23	120.573	2.00197
NM_001011566.1	1503	1263.23	0	0
NM_001011567.1	4030	3790.23	0	0
NM_001011568.1	2077	1837.23	10.3064	0.25924
NM_001011570.1	582	343.321	5159	694.421
NM_001011571.1	2093	1853.23	10.4361	0.260236
NM_001011572.1	2346	2106.23	3674	80.6104
NM_001011573.1	3160	2920.23	16.8527	0.266693
NM_001011574.1	1940	1700.23	5199	141.309
NM_001011575.1	2163	1923.23	48.3975	1.16292
NM_001011576.1	1195	955.231	148	7.15997
NM_001011577.1	2389	2149.23	272.967	5.86928
NM_001011578.1	5441	5201.23	812	7.21452
NM_001011579.1	1430	1190.23	215164	8354.03
NM_001011580.1	1544	1304.23	5210.92	184.636
NM_001011581.1	2439	2199.23	0	0
NM_001011582.1	356	140.566	8251	2712.6
NM_001011583.2	635	395.729	21546	2516.09
NM_001011584.1	1606	1366.23	0	0
NM_001011585.1	1638	1398.23	37.3019	1.23285
NM_001011586.1	2205	1965.23	0	0
NM_001011587.1	496	260.093	0	0
NM_001011588.1	724	484.339	150	14.312
NM_001011589.1	624	384.884	543	65.197
NM_001011590.1	574	335.355	1336	184.102
NM_001011591.1	584	345.287	3483	466.156
NM_001011592.1	1590	1350.23	780.797	26.7232
NM_001011593.1	548	310.003	39.4437	5.8799
NM_001011594.1	4195	3955.23	27.07	0.316282
NM_001011595.1	2818	2578.23	45.153	0.809325
NM_001011596.1	4100	3860.23	676.553	8.09928
NM_001011597.1	2673	2433.23	640.327	12.1612
NM_001011598.1	1624	1384.23	2498	83.3953
NM_001011599.1	1942	1702.23	76455.5	2075.62
NM_001011600.1	2052	1812.23	139	3.54453
NM_001011601.1	1830	1590.23	84891	2466.94
NM_001011602.1	2795	2555.23	56	1.01278
NM_001011603.1	1683	1443.23	868.665	27.8147
NM_001011604.3	685	445.476	979.94	101.656
NM_001011605.1	1448	1208.23	2746	105.029
NM_001011606.1	1757	1517.23	236	7.18817
NM_001011607.2	381	160.446	4	1.15209
NM_001011608.1	1873	1633.23	32875	930.199
NM_001011610.1	1612	1372.23	14889.7	501.437
NM_001011611.2	369	150.818	0	0
NM_001011612.1	304	103.968	2	0.888972
NM_001011613.1	710	470.339	49	4.81441
NM_001011614.1	688	448.431	4	0.412213
NM_001011615.1	664	424.564	102	11.1024
NM_001011616.2	680	440.476	5694	597.384
NM_001011617.1	374	154.655	694	207.373
NM_001011618.1	523	285.779	0	0
NM_001011619.1	1559	1319.23	84.7987	2.97048
NM_001011620.1	957	717.231	3.49299	0.225059
NM_001011621.1	3254	3014.23	3.39242	0.0520104
NM_001011622.1	1529	1289.23	5337.93	191.337
NM_001011623.1	3376	3136.23	2.4273	0.0357662
NM_001011624.1	4969	4729.23	34.9214	0.341239
NM_001011625.2	1940	1700.23	0.00183145	4.97788e-05
NM_001011626.2	755	515.29	1046.82	93.881
NM_001011627.1	2520	2280.23	683	13.842
NM_001011628.2	1386	1146.23	122.587	4.94231
NM_001011629.1	14440	14200.2	378.938	1.23319
NM_001011630.1	630	390.729	6409.07	758.015
NM_001011631.1	1741	1501.23	7.75546	0.238736
NM_001011632.2	2009	1769.23	13.3767	0.3494
NM_001011633.1	1533	1293.23	1.32282	0.0472697
NM_001011634.2	3754	3514.23	26.4441	0.347742
NM_001011635.1	1447	1207.23	2737	104.771
NM_001011636.1	570	331.455	164	22.8653
