target_id	length	eff_length	est_counts	tpm
NM_001010975.1	1251	1015.75	11894	647.514
NM_001011562.1	863	627.894	113.332	9.98099
NM_001011563.1	2084	1848.75	3982	119.105
NM_001011564.2	1326	1090.75	1251	63.4221
NM_001011565.1	3023	2787.75	122.124	2.42245
NM_001011566.1	1503	1267.75	0	0
NM_001011567.1	4030	3794.75	0	0
NM_001011568.1	2077	1841.75	10.0107	0.300566
NM_001011570.1	582	347.983	4797	762.289
NM_001011571.1	2093	1857.75	7.87037	0.23427
NM_001011572.1	2346	2110.75	2985	78.2016
NM_001011573.1	3160	2924.75	12.8986	0.243871
NM_001011574.1	1940	1704.75	3	0.0973125
NM_001011575.1	2163	1927.75	16.1996	0.464688
NM_001011576.1	1195	959.75	0	0
NM_001011577.1	2389	2153.75	244.04	6.26576
NM_001011578.1	5441	5205.75	1586.7	16.8546
NM_001011579.1	1430	1194.75	186	8.60883
NM_001011580.1	1544	1308.75	28.7544	1.21494
NM_001011581.1	2439	2203.75	0	0
NM_001011582.1	356	144.162	23	8.82238
NM_001011583.2	635	400.429	15182	2096.58
NM_001011584.1	1606	1370.75	0	0
NM_001011585.1	1638	1402.75	29.902	1.17877
NM_001011586.1	2205	1969.75	0	0
NM_001011587.1	496	264.775	0	0
NM_001011588.1	724	489.213	27	3.05193
NM_001011589.1	624	389.469	627	89.0232
NM_001011590.1	574	340.087	0	0
NM_001011591.1	584	349.948	6	0.948103
NM_001011592.1	1590	1354.75	641.423	26.1814
NM_001011593.1	548	314.613	7.18106	1.26218
NM_001011594.1	4195	3959.75	10.2065	0.142533
NM_001011595.1	2818	2582.75	13.9076	0.297768
NM_001011596.1	4100	3864.75	463.967	6.63856
NM_001011597.1	2673	2437.75	65.4841	1.48544
NM_001011598.1	1624	1388.75	3	0.119455
NM_001011599.1	1942	1706.75	55.5762	1.80064
NM_001011600.1	2052	1816.75	173	5.26574
NM_001011601.1	1830	1594.75	197	6.83096
NM_001011602.1	2795	2559.75	12	0.259234
NM_001011603.1	1683	1447.75	894.483	34.1654
NM_001011604.3	685	450.213	704.179	86.4915
NM_001011605.1	1448	1212.75	35	1.5959
NM_001011606.1	1757	1521.75	0	0
