target_id	length	eff_length	est_counts	tpm
NM_001010975.1	1251	1015.29	17379	733.709
NM_001011562.1	863	627.355	170.447	11.6457
NM_001011563.1	2084	1848.29	1701	39.4479
NM_001011564.2	1326	1090.29	429	16.8657
NM_001011565.1	3023	2787.29	54.3264	0.835447
NM_001011566.1	1503	1267.29	0	0
NM_001011567.1	4030	3794.29	0	0
NM_001011568.1	2077	1841.29	4.14537	0.0965007
NM_001011570.1	582	347.778	4538	559.309
NM_001011571.1	2093	1857.29	0	0
NM_001011572.1	2346	2110.29	2949	59.8994
NM_001011573.1	3160	2924.29	23.072	0.338186
NM_001011574.1	1940	1704.29	3209	80.7079
NM_001011575.1	2163	1927.29	43.9374	0.977185
NM_001011576.1	1195	959.291	79.8247	3.56678
NM_001011577.1	2389	2153.29	262.795	5.23125
NM_001011578.1	5441	5205.29	359	2.95624
NM_001011579.1	1430	1194.29	137045	4918.6
NM_001011580.1	1544	1308.29	11962.3	391.923
NM_001011581.1	2439	2203.29	5.60421	0.109027
NM_001011582.1	356	142.958	8175	2451.16
NM_001011583.2	635	400.033	24054	2577.4
NM_001011584.1	1606	1370.29	0	0
NM_001011585.1	1638	1402.29	47.682	1.45749
NM_001011586.1	2205	1969.29	0	0
NM_001011587.1	496	264.615	0	0
NM_001011588.1	724	488.415	92	8.074
NM_001011589.1	624	389.151	410	45.1602
NM_001011590.1	574	339.916	1091	137.576
NM_001011591.1	584	349.778	1767	216.538
NM_001011592.1	1590	1354.29	785.532	24.8623
NM_001011593.1	548	314.535	45.5051	6.20128
NM_001011594.1	4195	3959.29	15.7365	0.170365
NM_001011595.1	2818	2582.29	40	0.663964
NM_001011596.1	4100	3864.29	593.92	6.58792
NM_001011597.1	2673	2437.29	360.361	6.33753
NM_001011598.1	1624	1388.29	191	5.89716
NM_001011599.1	1942	1706.29	40722.1	1022.98
NM_001011600.1	2052	1816.29	107	2.52516
NM_001011601.1	1830	1594.29	141876	3814.44
NM_001011602.1	2795	2559.29	48	0.803918
NM_001011603.1	1683	1447.29	570.025	16.8822
NM_001011604.3	685	449.741	1008.04	96.0741
NM_001011605.1	1448	1212.29	2518	89.0305
NM_001011606.1	1757	1521.29	116	3.2684
NM_001011607.2	381	162.493	10	2.63789
NM_001011608.1	1873	1637.29	14182	371.28
NM_001011610.1	1612	1376.29	16013.4	498.727
NM_001011611.2	369	153.147	1	0.279887
NM_001011612.1	304	106.415	3	1.20839
NM_001011613.1	710	474.463	52.7006	4.76105
NM_001011614.1	688	452.741	1	0.094676
NM_001011615.1	664	428.786	604	60.3791
NM_001011616.2	680	444.741	5298	510.616
NM_001011617.1	374	156.995	472	128.869
NM_001011618.1	523	290.421	0	0
NM_001011619.1	1559	1323.29	33.0303	1.06991
NM_001011620.1	957	721.291	38.6356	2.29597
NM_001011621.1	3254	3018.29	4.60235	0.0653594
NM_001011622.1	1529	1293.29	1734.12	57.4743
NM_001011623.1	3376	3140.29	0	0
NM_001011624.1	4969	4733.29	11.4843	0.103999
NM_001011625.2	1940	1704.29	3.51664	0.0884452
NM_001011626.2	755	519.415	701.059	57.8536
NM_001011627.1	2520	2284.29	546	10.2455
NM_001011628.2	1386	1150.29	47.3424	1.76414
NM_001011629.1	14440	14204.3	246.203	0.742957
NM_001011630.1	630	395.033	4678.71	507.672
NM_001011631.1	1741	1505.29	6.89136	0.196234
NM_001011632.2	2009	1773.29	8	0.193375
NM_001011633.1	1533	1297.29	0	0
NM_001011634.2	3754	3518.29	36.1616	0.440561
NM_001011635.1	1447	1211.29	2714	96.0398
NM_001011636.1	570	335.916	180	22.9684
NM_001011637.1	1369	1133.29	13.4962	0.510458
NM_001011638.1	584	349.778	2	0.245091
NM_001011639.2	1806	1570.29	16728	456.619
NM_001011640.1	991	755.291	2529	143.524
NM_001011641.1	970	734.291	192.173	11.218
NM_001011643.1	2378	2142.29	520.216	10.4087
NM_001011644.2	1200	964.291	29.6227	1.31676
NM_001011650.1	2242	2006.29	10	0.213647
NM_001011652.2	969	733.291	7093	414.613
NM_001011653.2	898	662.291	11.4553	0.741393
NM_001011654.2	749	513.415	14.2827	1.19243
NM_001012429.1	672	436.786	3323.53	326.153
NM_001012615.1	1097	861.291	117	5.82272
NM_001012627.1	3153	2917.29	3.79384	0.0557428
NM_001012962.1	3606	3370.29	180	2.28926
NM_001012963.1	502	270.236	3	0.475848
NM_001013006.1	2991	2755.29	0	0
NM_001013359.2	1964	1728.29	100.355	2.48892
NM_001013361.1	4113	3877.29	3	0.0331652
NM_001014429.1	1427	1191.29	5128.15	184.515
NM_001014430.1	438	211.221	0	0
NM_001014983.1	3250	3014.29	3	0.0426605
NM_001014991.1	7242	7006.29	27.8797	0.170565
NM_001014992.2	2498	2262.29	39.6538	0.751323
NM_001014993.1	1386	1150.29	0	0
NM_001014994.1	1892	1656.29	229.293	5.93394
NM_001024697.1	1793	1557.29	2040	56.1501
NM_001032361.1	3585	3349.29	0	0
NM_001037318.2	2515	2279.29	0	0
NM_001039968.1	1349	1113.29	1	0.0385018
NM_001040203.1	644	408.993	21.8067	2.28541
NM_001040204.1	793	557.415	187.447	14.4142
NM_001040205.1	698	462.604	2408	223.119
NM_001040206.1	682	446.741	22050	2115.65
NM_001040207.1	1179	943.291	12624	573.642
NM_001040208.1	582	347.778	297	36.6053
NM_001040209.1	588	353.743	831.909	100.804
NM_001040220.1	483	252.348	14	2.37803
NM_001040221.1	459	230.339	4359.01	811.166
NM_001040223.1	555	321.249	2960	394.948
NM_001040224.1	399	177.656	11	2.65401
NM_001040225.1	407	184.282	0	0
NM_001040226.1	432	206.019	71	14.7721
NM_001040227.1	724	488.415	477.953	41.9456
NM_001040229.1	453	224.806	7.93916	1.51376
NM_001040230.1	13107	12871.3	972.201	3.23761
NM_001040231.1	363	148.661	0	0
NM_001040233.1	1647	1411.29	67396.9	2046.98
NM_001040234.1	1500	1264.29	2532.73	85.8682
NM_001040235.2	6077	5841.29	0	0
NM_001040236.1	1767	1531.29	283	7.9217
NM_001040237.1	5107	4871.29	0	0
NM_001040255.1	1893	1657.29	4.84315	0.125262
NM_001040256.1	767	531.415	133.107	10.7363
NM_001040257.1	1554	1318.29	0	0
NM_001040258.1	1250	1014.29	53.5039	2.26106
NM_001040259.1	1743	1507.29	97	2.75845
NM_001040262.2	438	211.221	4	0.811731
NM_001040263.1	1550	1314.29	655	21.3619
NM_001040264.1	1600	1364.29	360	11.3106
NM_001040265.1	1689	1453.29	136.946	4.03913
NM_001040266.2	1599	1363.29	0	0
NM_001040267.1	1895	1659.29	7.7232	0.19951
NM_001040269.1	1397	1161.29	16.2287	0.599007
NM_001040270.1	509	276.933	3	0.464341
NM_001040277.1	2150	1914.29	24.3203	0.544565
NM_001040681.1	2499	2263.29	148	2.80292
NM_001042458.1	1737	1501.29	0	0
NM_001042460.1	1794	1558.29	41.9358	1.15352
NM_001077808.1	5328	5092.29	46.0477	0.387601
NM_001077809.1	1344	1108.29	0	0
