target_id	length	eff_length	est_counts	tpm
NM_001010975.1	1251	1009.14	14941	873.46
NM_001011562.1	863	621.197	230.628	21.9026
NM_001011563.1	2084	1842.14	2297	73.5618
NM_001011564.2	1326	1084.14	495	26.9361
NM_001011565.1	3023	2781.14	71.388	1.51431
NM_001011566.1	1503	1261.14	0	0
NM_001011567.1	4030	3788.14	2.58343	0.0402331
NM_001011568.1	2077	1835.14	8.88799	0.285725
NM_001011570.1	582	341.099	4637	801.99
NM_001011571.1	2093	1851.14	1.1722	0.0373572
NM_001011572.1	2346	2104.14	3011	84.4209
NM_001011573.1	3160	2918.14	0.288314	0.00582872
NM_001011574.1	1940	1698.14	5262	182.806
NM_001011575.1	2163	1921.14	94.5216	2.90259
NM_001011576.1	1195	953.135	76	4.70405
NM_001011577.1	2389	2147.14	380.31	10.4494
NM_001011578.1	5441	5199.14	532.783	6.0455
NM_001011579.1	1430	1188.14	221593	11002.8
NM_001011580.1	1544	1302.14	20392	923.883
NM_001011581.1	2439	2197.14	0	0
NM_001011582.1	356	137.716	7513	3218.41
NM_001011583.2	635	393.554	11732	1758.65
NM_001011584.1	1606	1364.14	0	0
NM_001011585.1	1638	1396.14	42.8076	1.80887
NM_001011586.1	2205	1963.14	0	0
NM_001011587.1	496	257.674	0	0
NM_001011588.1	724	482.246	66	8.07399
NM_001011589.1	624	382.593	418	64.4544
NM_001011590.1	574	333.133	679	120.244
NM_001011591.1	584	343.099	1542	265.141
NM_001011592.1	1590	1348.14	520.925	22.7958
NM_001011593.1	548	307.61	33.2527	6.37735
NM_001011594.1	4195	3953.14	24.9321	0.372075
NM_001011595.1	2818	2576.14	31.8061	0.728374
NM_001011596.1	4100	3858.14	390.834	5.97623
NM_001011597.1	2673	2431.14	193.293	4.69051
NM_001011598.1	1624	1382.14	1117	47.6777
NM_001011599.1	1942	1700.14	45910.7	1593.1
NM_001011600.1	2052	1810.14	169	5.50793
NM_001011601.1	1830	1588.14	259768	9649.64
NM_001011602.1	2795	2553.14	50	1.15534
NM_001011603.1	1683	1441.14	495.028	20.2646
NM_001011604.3	685	443.386	647.361	86.1345
NM_001011605.1	1448	1206.14	1800	88.0419
NM_001011606.1	1757	1515.14	194	7.55376
NM_001011607.2	381	156.33	21	7.92483
NM_001011608.1	1873	1631.14	15344	554.96
NM_001011610.1	1612	1370.14	33278.9	1432.91
NM_001011611.2	369	147.713	0	0
NM_001011612.1	304	101.515	0	0
NM_001011613.1	710	468.341	74	9.32142
NM_001011614.1	688	446.386	2	0.264321
NM_001011615.1	664	422.472	645	90.0689
NM_001011616.2	680	438.386	3205	431.304
NM_001011617.1	374	150.92	691	270.112
NM_001011618.1	523	283.345	0	0
NM_001011619.1	1559	1317.14	56.4317	2.52758
NM_001011620.1	957	715.135	2.05289	0.169352
NM_001011621.1	3254	3012.14	3.01445	0.0590399
NM_001011622.1	1529	1287.14	2732.53	125.243
NM_001011623.1	3376	3134.14	1.51221	0.0284647
NM_001011624.1	4969	4727.14	68.169	0.850749
NM_001011625.2	1940	1698.14	0	0
NM_001011626.2	755	513.197	930.007	106.909
NM_001011627.1	2520	2278.14	564	14.6054
NM_001011628.2	1386	1144.14	142.364	7.34068
NM_001011629.1	14440	14198.1	438.393	1.82157
NM_001011630.1	630	388.593	5302.26	804.968
NM_001011631.1	1741	1499.14	3.78761	0.149052
NM_001011632.2	2009	1767.14	23	0.76784
NM_001011633.1	1533	1291.14	5.00661	0.228762
NM_001011634.2	3754	3512.14	16.0937	0.270332
NM_001011635.1	1447	1205.14	2221	108.724
NM_001011636.1	570	329.133	191	34.2353
NM_001011637.1	1369	1127.14	13.4607	0.704538
NM_001011638.1	584	343.099	0	0
NM_001011639.2	1806	1564.14	15912	600.155
NM_001011640.1	991	749.135	2515	198.057
NM_001011641.1	970	728.135	39	3.15984
NM_001011643.1	2378	2136.14	395.547	10.924
NM_001011644.2	1200	958.135	23.1979	1.42835
NM_001011650.1	2242	2000.14	13	0.383439
NM_001011652.2	969	727.135	6179	501.321
NM_001011653.2	898	656.135	2.24785	0.20211
NM_001011654.2	749	507.197	27.2206	3.16617
NM_001012429.1	672	430.429	4043.85	554.251
NM_001012615.1	1097	855.135	83	5.72606
NM_001012627.1	3153	2911.14	6.89006	0.139628
NM_001012962.1	3606	3364.14	183	3.20915
NM_001012963.1	502	263.279	0	0
NM_001013006.1	2991	2749.14	0	0
NM_001013359.2	1964	1722.14	72.3127	2.47719
NM_001013361.1	4113	3871.14	2	0.0304793
NM_001014429.1	1427	1185.14	13914.3	692.636
NM_001014430.1	438	204.423	0	0
NM_001014983.1	3250	3008.14	0	0
NM_001014991.1	7242	7000.14	0	0
NM_001014992.2	2498	2256.14	53.647	1.40279
NM_001014993.1	1386	1144.14	0	0
NM_001014994.1	1892	1650.14	166.144	5.93987
NM_001024697.1	1793	1551.14	1451	55.1862
NM_001032361.1	3585	3343.14	0	0
NM_001037318.2	2515	2273.14	1.32359	0.0343511
NM_001039968.1	1349	1107.14	1.41564	0.0754337
NM_001040203.1	644	402.554	3.97384	0.58237
