target_id	length	eff_length	est_counts	tpm
NM_001010975.1	1251	1072.38	669	79.3345
NM_001011562.1	863	684.384	10.6242	1.97415
NM_001011563.1	2084	1905.38	4470	298.34
NM_001011564.2	1326	1147.38	368	40.7873
NM_001011565.1	3023	2844.38	56.199	2.51262
NM_001011566.1	1503	1324.38	0	0
NM_001011567.1	4030	3851.38	16.5658	0.546994
NM_001011568.1	2077	1898.38	0	0
NM_001011570.1	582	403.384	833	262.611
NM_001011571.1	2093	1914.38	0	0
NM_001011572.1	2346	2167.38	5229	306.81
NM_001011573.1	3160	2981.38	0	0
NM_001011574.1	1940	1761.38	12	0.86639
NM_001011575.1	2163	1984.38	36.5842	2.34452
NM_001011576.1	1195	1016.38	5	0.625602
NM_001011577.1	2389	2210.38	0	0
NM_001011578.1	5441	5262.38	52	1.25663
NM_001011579.1	1430	1251.38	31	3.15034
NM_001011580.1	1544	1365.38	8	0.745112
NM_001011581.1	2439	2260.38	1.22415	0.0688715
NM_001011582.1	356	180.659	2	1.40785
NM_001011583.2	635	456.384	32721	9117.64
NM_001011584.1	1606	1427.38	9	0.80184
NM_001011585.1	1638	1459.38	63.9216	5.57011
NM_001011586.1	2205	2026.38	6.56286e-08	4.11868e-09
NM_001011587.1	496	317.453	2.32084	0.92972
NM_001011588.1	724	545.384	0	0
NM_001011589.1	624	445.384	123	35.1202
NM_001011590.1	574	395.384	16	5.14621
NM_001011591.1	584	405.384	4	1.25481
NM_001011592.1	1590	1411.38	355.046	31.9908
NM_001011593.1	548	369.384	0	0
NM_001011594.1	4195	4016.38	2.06753	0.0654641
NM_001011595.1	2818	2639.38	58.3472	2.81128
NM_001011596.1	4100	3921.38	11.6927	0.379193
NM_001011597.1	2673	2494.38	0	0
NM_001011598.1	1624	1445.38	0	0
NM_001011599.1	1942	1763.38	15.3438	1.10655
NM_001011600.1	2052	1873.38	11281	765.785
NM_001011601.1	1830	1651.38	29	2.23324
NM_001011602.1	2795	2616.38	39	1.89561
NM_001011603.1	1683	1504.38	195.084	16.4911
NM_001011604.3	685	506.384	4662.94	1171.03
NM_001011605.1	1448	1269.38	1	0.100183
NM_001011606.1	1757	1578.38	27	2.17539
NM_001011607.2	381	204.221	0	0
NM_001011608.1	1873	1694.38	390	29.2711
NM_001011610.1	1612	1433.38	9.41693	0.835474
NM_001011611.2	369	192.944	18.53	12.2132
NM_001011612.1	304	134.701	11.47	10.8287
NM_001011613.1	710	531.384	2072.93	496.093
NM_001011614.1	688	509.384	11	2.74621
NM_001011615.1	664	485.384	12	3.144
NM_001011616.2	680	501.384	5	1.26819
NM_001011617.1	374	197.727	965	620.652
NM_001011618.1	523	344.42	0	0
NM_001011619.1	1559	1380.38	6.89166	0.634907
NM_001011620.1	957	778.384	464330	75861.2
NM_001011621.1	3254	3075.38	4.32579	0.178876
NM_001011622.1	1529	1350.38	10	0.941735
NM_001011623.1	3376	3197.38	172.228	6.85008
NM_001011624.1	4969	4790.38	5.47493	0.145343
NM_001011625.2	1940	1761.38	5.75183	0.415277
NM_001011626.2	755	576.384	1799.55	397.043
NM_001011627.1	2520	2341.38	376	20.4221
NM_001011628.2	1386	1207.38	0	0
NM_001011629.1	14440	14261.4	69.7562	0.622024
NM_001011630.1	630	451.384	3095.06	871.987
NM_001011631.1	1741	1562.38	1.16296	0.0946595
NM_001011632.2	2009	1830.38	4.45755e-05	3.097e-06
NM_001011633.1	1533	1354.38	0	0
NM_001011634.2	3754	3575.38	15.9343	0.566756
NM_001011635.1	1447	1268.38	21	2.1055
NM_001011636.1	570	391.384	124476	40445.4
NM_001011637.1	1369	1190.38	2.1042	0.224794
NM_001011638.1	584	405.384	0	0
NM_001011639.2	1806	1627.38	3	0.234432
NM_001011640.1	991	812.384	1817	284.433
NM_001011641.1	970	791.384	64	10.2844
NM_001011643.1	2378	2199.38	0	0
NM_001011644.2	1200	1021.38	0	0
NM_001011650.1	2242	2063.38	28	1.7257
NM_001011652.2	969	790.384	19	3.05704
NM_001011653.2	898	719.384	8.47305	1.49784
NM_001011654.2	749	570.384	5.64539	1.25867
NM_001012429.1	672	493.384	1.04718	0.269911
NM_001012615.1	1097	918.384	2	0.276944
NM_001012627.1	3153	2974.38	3.48532	0.149015
NM_001012962.1	3606	3427.38	6	0.222625
NM_001012963.1	502	323.453	51	20.0514
NM_001013006.1	2991	2812.38	114.248	5.16608
NM_001013359.2	1964	1785.38	27.157	1.93436
NM_001013361.1	4113	3934.38	50	1.61614
NM_001014429.1	1427	1248.38	431	43.9051
NM_001014430.1	438	259.734	0	0
NM_001014983.1	3250	3071.38	49.0539	2.03107
NM_001014991.1	7242	7063.38	6.29698	0.113372
NM_001014992.2	2498	2319.38	23.8582	1.30813
NM_001014993.1	1386	1207.38	0	0
NM_001014994.1	1892	1713.38	113.925	8.45575
NM_001024697.1	1793	1614.38	25	1.96933
NM_001032361.1	3585	3406.38	54.7421	2.04369
NM_001037318.2	2515	2336.38	6	0.326583
NM_001039968.1	1349	1170.38	112.93	12.2706
NM_001040203.1	644	465.384	19	5.19193
NM_001040204.1	793	614.384	366.217	75.8027
NM_001040205.1	698	519.384	3	0.734546
NM_001040206.1	682	503.384	3	0.757893
NM_001040207.1	1179	1000.38	81	10.2969
NM_001040208.1	582	403.384	1240	390.921
NM_001040209.1	588	409.384	0	0
NM_001040220.1	483	304.547	5	2.08786
NM_001040221.1	459	280.575	5	2.26625
NM_001040223.1	555	376.384	48105	16253.4
NM_001040224.1	399	221.645	10428	5983.13
NM_001040225.1	407	229.419	0.821947	0.455618
NM_001040226.1	432	253.863	5	2.50471
NM_001040227.1	724	545.384	0	0
NM_001040229.1	453	274.603	0	0
NM_001040230.1	13107	12928.4	2268.62	22.3153
NM_001040231.1	363	187.233	57.1116	38.7907
NM_001040233.1	1647	1468.38	22.9509	1.98768
NM_001040234.1	1500	1321.38	37.8066	3.63852
NM_001040235.2	6077	5898.38	0	0
NM_001040236.1	1767	1588.38	1224	97.9968
NM_001040237.1	5107	4928.38	144.156	3.71975
NM_001040255.1	1893	1714.38	0	0
NM_001040256.1	767	588.384	0	0
NM_001040257.1	1554	1375.38	0	0
NM_001040258.1	1250	1071.38	3.28222	0.389591
NM_001040259.1	1743	1564.38	182	14.795
NM_001040262.2	438	259.734	1	0.489617
NM_001040263.1	1550	1371.38	1	0.0927315
NM_001040264.1	1600	1421.38	29	2.59461
NM_001040265.1	1689	1510.38	0	0
NM_001040266.2	1599	1420.38	0	0
NM_001040267.1	1895	1716.38	39.8192	2.95029
NM_001040269.1	1397	1218.38	2.49562	0.260484
NM_001040270.1	509	330.453	17	6.54221
NM_001040277.1	2150	1971.38	752.016	48.5112
NM_001040681.1	2499	2320.38	11	0.602863
NM_001042458.1	1737	1558.38	9.88724	0.806839
NM_001042460.1	1794	1615.38	3.50145	0.27565
NM_001077808.1	5328	5149.38	59.3533	1.4658
NM_001077809.1	1344	1165.38	0	0
NM_001077810.1	354	178.969	17	12.0797
NM_001077811.1	1287	1108.38	20.9244	2.40076
NM_001077812.1	1470	1291.38	0	0
