target_id	length	eff_length	est_counts	tpm
NM_001010975.1	1251	1052.87	1797	86.3349
NM_001011562.1	863	664.872	0	0
NM_001011563.1	2084	1885.87	1036	27.7883
NM_001011564.2	1326	1127.87	300	13.4547
NM_001011565.1	3023	2824.87	17.4712	0.312851
NM_001011566.1	1503	1304.87	1	0.0387656
NM_001011567.1	4030	3831.87	0	0
NM_001011568.1	2077	1878.87	0	0
NM_001011570.1	582	384.096	4095	539.297
NM_001011571.1	2093	1894.87	0	0
NM_001011572.1	2346	2147.87	1949	45.9005
NM_001011573.1	3160	2961.87	0	0
NM_001011574.1	1940	1741.87	2	0.0580801
NM_001011575.1	2163	1964.87	8.25576	0.212538
NM_001011576.1	1195	996.872	0	0
NM_001011577.1	2389	2190.87	147.651	3.40905
NM_001011578.1	5441	5242.87	0	0
NM_001011579.1	1430	1231.87	174	7.14492
NM_001011580.1	1544	1345.87	17.7105	0.665641
NM_001011581.1	2439	2240.87	0	0
NM_001011582.1	356	165.027	723	221.614
NM_001011583.2	635	437.019	76422	8845.7
NM_001011584.1	1606	1407.87	0	0
NM_001011585.1	1638	1439.87	0	0
NM_001011586.1	2205	2006.87	0	0
NM_001011587.1	496	298.503	4.87738	0.826516
NM_001011588.1	724	525.926	0	0
NM_001011589.1	624	426.019	0	0
NM_001011590.1	574	376.096	3	0.403493
NM_001011591.1	584	386.096	2	0.262028
NM_001011592.1	1590	1391.87	481.034	17.482
NM_001011593.1	548	350.243	0	0
NM_001011594.1	4195	3996.87	0	0
NM_001011595.1	2818	2619.87	0	0
NM_001011596.1	4100	3901.87	0	0
NM_001011597.1	2673	2474.87	0	0
NM_001011598.1	1624	1425.87	2	0.0709518
NM_001011599.1	1942	1743.87	58	1.68239
NM_001011600.1	2052	1853.87	3074	83.8761
NM_001011601.1	1830	1631.87	145	4.49465
NM_001011602.1	2795	2596.87	26	0.50645
NM_001011603.1	1683	1484.87	214.749	7.31571
NM_001011604.3	685	486.926	10388.6	1079.22
NM_001011605.1	1448	1249.87	639	25.8612
NM_001011606.1	1757	1558.87	0	0
NM_001011607.2	381	187.453	0	0
NM_001011608.1	1873	1674.87	77	2.32554
NM_001011610.1	1612	1413.87	27.0413	0.967455
NM_001011611.2	369	176.472	0	0
NM_001011612.1	304	122.236	0	0
NM_001011613.1	710	511.926	4599.98	454.53
NM_001011614.1	688	489.926	0	0
NM_001011615.1	664	465.974	5852	635.268
NM_001011616.2	680	481.926	1473	154.609
NM_001011617.1	374	181.034	31036	8672.01
NM_001011618.1	523	325.378	0	0
NM_001011619.1	1559	1360.87	0	0
NM_001011620.1	957	758.872	38550.4	2569.65
NM_001011621.1	3254	3055.87	0	0
NM_001011622.1	1529	1330.87	3	0.114025
NM_001011623.1	3376	3177.87	0	0
NM_001011624.1	4969	4770.87	0	0
NM_001011625.2	1940	1741.87	0	0
NM_001011626.2	755	556.872	3042.76	276.393
