target_id	length	eff_length	est_counts	tpm
NM_001010975.1	1251	1029.36	512	51.8841
NM_001011562.1	863	641.564	2.88198	0.468577
NM_001011563.1	2084	1862.36	471	26.3808
NM_001011564.2	1326	1104.36	204	19.2686
NM_001011565.1	3023	2801.36	28.9832	1.07922
NM_001011566.1	1503	1281.36	0	0
NM_001011567.1	4030	3808.36	0	0
NM_001011568.1	2077	1855.36	7.02365	0.39488
NM_001011570.1	582	361.325	200	57.7382
NM_001011571.1	2093	1871.36	5.52172	0.307786
NM_001011572.1	2346	2124.36	311	15.2709
NM_001011573.1	3160	2938.36	0	0
NM_001011574.1	1940	1718.36	7	0.424928
NM_001011575.1	2163	1941.36	53.6024	2.88011
NM_001011576.1	1195	973.359	31	3.32215
NM_001011577.1	2389	2167.36	33.3215	1.6037
NM_001011578.1	5441	5219.36	9	0.179869
NM_001011579.1	1430	1208.36	267	23.0487
NM_001011580.1	1544	1322.36	30.7752	2.42763
NM_001011581.1	2439	2217.36	0	0
NM_001011582.1	356	149.626	51	35.5545
NM_001011583.2	635	414.054	17417	4387.8
NM_001011584.1	1606	1384.36	0	0
NM_001011585.1	1638	1416.36	86.5653	6.37531
NM_001011586.1	2205	1983.36	0	0
NM_001011587.1	496	276.533	4.43023	1.67113
NM_001011588.1	724	502.773	0	0
NM_001011589.1	624	403.095	10	2.58776
NM_001011590.1	574	353.36	0	0
NM_001011591.1	584	363.325	33	9.47436
NM_001011592.1	1590	1368.36	204.694	15.604
NM_001011593.1	548	327.7	0	0
NM_001011594.1	4195	3973.36	2.0334	0.0533821
NM_001011595.1	2818	2596.36	131.912	5.29968
NM_001011596.1	4100	3878.36	0	0
NM_001011597.1	2673	2451.36	40.3184	1.71564
NM_001011598.1	1624	1402.36	10	0.743826
NM_001011599.1	1942	1720.36	44	2.66787
NM_001011600.1	2052	1830.36	2887	164.529
NM_001011601.1	1830	1608.36	240	15.5654
NM_001011602.1	2795	2573.36	13	0.526955
NM_001011603.1	1683	1461.36	74.8966	5.34608
NM_001011604.3	685	463.968	5261.43	1182.89
NM_001011605.1	1448	1226.36	67	5.69886
NM_001011606.1	1757	1535.36	3	0.203818
NM_001011607.2	381	170.457	0	0
NM_001011608.1	1873	1651.36	173	10.9279
NM_001011610.1	1612	1390.36	37.6145	2.82201
