,Gene_ID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,description
498,LOC725492,630.5649401,1.862661142,0.617600192,3.015965938,0.00256162,0.043680809,"sorting nexin-2, transcript variant X2"
206,LOC409994,798.2055012,2.220076486,0.752157559,2.951610947,0.00316121,0.049958401,INO80 complex subunit E
303,LOC412688,837.5887895,2.326892198,0.736786369,3.158164014,0.001587662,0.032226626,ribosome biogenesis protein NOP53
345,LOC550981,1554.878361,2.372489537,0.764144295,3.104766409,0.001904294,0.035705503,"coatomer subunit zeta-1, transcript variant X3"
150,LOC408773,778.3729157,2.389344456,0.734463446,3.253183626,0.001141197,0.026718507,ankyrin repeat domain-containing protein 49
483,LOC725217,20558.62959,2.428718744,0.750724062,3.235168375,0.00121571,0.027693897,"uncharacterized protein PFB0145c, transcript variant X2"
297,LOC412610,492.0789307,2.565250622,0.835135007,3.071659791,0.002128722,0.038604896,"glutathione synthetase, transcript variant X2"
105,LOC107965192,2965.363222,2.596618715,0.66587547,3.899556047,9.64E-05,0.005432278,coatomer subunit epsilon
431,LOC552772,444.2277763,2.673770486,0.888929677,3.007853776,0.002630997,0.044605983,EEF1A lysine methyltransferase 1
423,LOC552629,1732.878204,2.675801416,0.810705868,3.300582273,0.000964844,0.024121105,"copper chaperone for superoxide dismutase, transcript variant X1"
374,LOC551720,1831.750135,2.690023302,0.833457286,3.227547886,0.001248561,0.027974097,activator of 90 kDa heat shock protein ATPase homolog 1
314,LOC413055,292.923488,2.696416571,0.899731591,2.996912186,0.002727293,0.045577735,uncharacterized LOC413055
218,LOC410494,2146.443784,2.702605121,0.78288629,3.452104292,0.000556233,0.017092567,"DNA-directed RNA polymerases I, II, and III subunit RPABC2"
164,LOC409160,2897.262324,2.791166565,0.940473029,2.967832653,0.002999076,0.048464303,dihydropteridine reductase
362,LOC551410,1127.255729,2.803563848,0.891734993,3.14394284,0.00166688,0.033075981,"COP9 signalosome complex subunit 5, transcript variant X3"
381,LOC551831,185.714066,2.820050464,0.898979753,3.136945472,0.001707179,0.033649291,"histone deacetylase complex subunit SAP30 homolog, transcript variant X1"
293,LOC412487,5394.106942,2.8349738,0.892107394,3.177839149,0.00148377,0.030680767,annexin B9
104,LOC107965094,197.2215983,2.83617609,0.855948742,3.313488239,0.0009214,0.023431054,uncharacterized LOC107965094
226,LOC410726,1877.745326,2.837926194,0.944334404,3.005213178,0.002653948,0.044698527,"putative E3 ubiquitin-protein ligase UBR7, transcript variant X1"
23,LOC100576819,849.885329,2.850758148,0.905334335,3.148845722,0.001639167,0.032789415,putative inactive caspase B
532,LOC726498,1362.010838,2.887258383,0.837747014,3.446456192,0.000567991,0.017333508,mitochondrial import inner membrane translocase subunit Tim8
462,LOC724757,1881.120902,2.896307523,0.942902975,3.071691998,0.002128492,0.038604896,histone H4
432,LOC552781,1623.940065,2.957138169,0.889362463,3.325008971,0.000884157,0.022812795,H/ACA ribonucleoprotein complex subunit 2-like protein
136,LOC408424,1781.648024,2.968021516,0.917944217,3.233335381,0.001223538,0.027693897,COP9 signalosome complex subunit 8
285,LOC412342,1243.788602,3.014797152,0.934879897,3.224796212,0.001260624,0.028102065,cyclin-Q
204,LOC409978,2412.78172,3.02289357,0.889597268,3.398047273,0.000678687,0.019817787,proteasome subunit beta type-2
416,LOC552515,1374.41201,3.056371898,0.96599662,3.163957136,0.001556397,0.031737592,"ATP-dependent RNA helicase WM6, transcript variant X2"
203,LOC409959,527.7943756,3.068636355,0.992519443,3.091764475,0.001989706,0.036993493,cyclin-dependent kinase 2
318,LOC413139,311.2564975,3.080587176,1.013137086,3.040642001,0.002360743,0.04145353,"probable phenylalanine--tRNA ligase, mitochondrial"
173,LOC409368,1267.085213,3.084676231,0.964119171,3.199476086,0.001376776,0.029301743,interferon-related developmental regulator 1-like
234,LOC410871,612.0175697,3.108033203,0.942084269,3.299103175,0.000969943,0.024180258,protein C12orf4 homolog
419,LOC552580,423.377454,3.112809157,0.837299282,3.717678044,0.000201062,0.008986875,zinc finger MYM-type protein 3
527,LOC726341,293.1931989,3.117009641,0.779889473,3.996732547,6.42E-05,0.004148698,ubiquinol-cytochrome-c reductase complex assembly factor 1
155,LOC408892,1110.47904,3.118025764,1.031300835,3.023391097,0.00249959,0.043084147,3-ketodihydrosphingosine reductase
503,LOC725580,508.5186921,3.131785339,1.029431913,3.042246214,0.002348197,0.041397503,protein SREK1IP1
184,LOC409547,3253.151699,3.154811759,0.905249916,3.485017454,0.000492105,0.015779452,"NSFL1 cofactor p47, transcript variant X1"
39,LOC100577491,494.2240589,3.174083551,1.04647681,3.033114085,0.002420441,0.042084284,survival motor neuron protein
442,LOC724151,423.6762818,3.176653122,1.015495134,3.128181529,0.001758915,0.034281971,programmed cell death protein 2
443,LOC724170,515.3510949,3.191005092,1.082009352,2.949147423,0.003186519,0.049969328,DNA polymerase beta-like
332,LOC413532,677.1490197,3.205015946,1.086885486,2.948807385,0.003190027,0.049969328,"phospholipase A1, transcript variant X2"
479,LOC725158,780.1994468,3.229125386,0.97940719,3.297020298,0.000977164,0.024201186,peptidoglycan-recognition protein 1
221,LOC410547,1250.590316,3.251136098,0.963169833,3.375454657,0.000736938,0.020509133,pre-mRNA-splicing factor Syf2
17,LOC100576261,241.0745007,3.255675528,1.006880991,3.233426351,0.001223149,0.027693897,zinc finger protein 569
63,LOC100578853,788.7323536,3.324938022,1.120609589,2.967079751,0.00300643,0.048464303,probable transcriptional regulatory protein mhp472
418,LOC552557,478.9902003,3.325097436,0.988546287,3.363623414,0.000769264,0.020947659,"lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex, mitochondrial"
369,LOC551574,1314.763862,3.349016207,0.886742883,3.776761303,0.000158881,0.007683583,"polymerase delta-interacting protein 2, transcript variant X1"
507,LOC725613,186.8194201,3.355199085,1.003300178,3.344162753,0.000825313,0.021690877,"serine-protein kinase ATM, transcript variant X1"
261,LOC411757,1173.280906,3.360282062,0.912752281,3.681483063,0.000231881,0.009913761,probable glucosamine 6-phosphate N-acetyltransferase
444,LOC724179,186.9495249,3.377549486,1.033740554,3.267308681,0.001085752,0.026040399,"ribosomal protein S6 kinase delta-1, transcript variant X1"
45,LOC100577675,1771.445364,3.380974963,0.900289428,3.75543115,0.000173043,0.008145923,"trifunctional purine biosynthetic protein adenosine-3, transcript variant X1"
358,LOC551344,900.8640372,3.387463712,0.90377356,3.748133229,0.000178156,0.008254855,probable chitinase 2
190,LOC409712,701.2450687,3.40335046,0.953695187,3.568593516,0.000358903,0.01307115,"short/branched chain specific acyl-CoA dehydrogenase, mitochondrial"
522,LOC726286,338.7560899,3.411787285,0.812279497,4.200262712,2.67E-05,0.002328542,uncharacterized LOC726286
456,LOC724552,127.1679965,3.417131317,1.09280555,3.126934447,0.001766393,0.034281971,elongation of very long chain fatty acids protein AAEL008004
205,LOC409984,365.074444,3.432614536,1.161711381,2.954791174,0.003128808,0.049677613,DET1- and DDB1-associated protein 1
178,LOC409405,1102.808993,3.449092017,1.056681187,3.264080084,0.001098201,0.026196983,baculoviral IAP repeat-containing protein 5
420,LOC552612,303.8827462,3.455506795,1.169810624,2.95390273,0.003137829,0.049677613,uncharacterized LOC552612
306,LOC412734,189.1130801,3.458433103,1.068214229,3.237583819,0.001205465,0.027693897,CWF19-like protein 1
264,LOC411841,260.701501,3.464086172,1.000658972,3.461804938,0.000536566,0.016646032,"synembryn, transcript variant X3"
98,LOC107964876,245.6781359,3.479380701,1.089043666,3.194895492,0.001398815,0.029475027,uncharacterized LOC107964876
2,GeneID_100578252,1241.750074,3.485922547,1.031828739,3.378392571,0.000729109,0.020509133,Ets at 97D ortholog
393,LOC552053,780.5756801,3.500430279,0.974989767,3.590222582,0.000330396,0.012389839,protein N-lysine methyltransferase FAM173B
305,LOC412722,245.379403,3.507118162,1.085732653,3.230185766,0.001237098,0.027844774,"protein singed, transcript variant X2"
144,LOC408633,516.1868131,3.51262134,0.988480749,3.553555639,0.000380061,0.013309737,"chromatin complexes subunit BAP18, transcript variant X1"
433,LOC552786,996.5785156,3.5142495,0.937101366,3.750127389,0.000176745,0.008254855,"charged multivesicular body protein 2a, transcript variant X1"
70,LOC102654076,487.4805029,3.514922891,1.15178695,3.051712725,0.002275398,0.040599331,uncharacterized LOC102654076
197,LOC409887,331.0973837,3.532152431,1.069865635,3.301491624,0.000961722,0.024111162,transcription factor Dp-1
171,LOC409342,307.5511882,3.548529546,1.048482747,3.384442478,0.00071323,0.020296084,ADP-ribosylation factor-related protein 1
122,LOC113219118,162.2168413,3.573704844,1.158374306,3.085103689,0.002034812,0.037638439,uncharacterized LOC113219118
322,LOC413319,921.6799654,3.578002823,0.988375831,3.620083281,0.000294508,0.011532733,"dynein regulatory complex subunit 7, transcript variant X2"
371,LOC551603,2324.350183,3.58418253,0.969407867,3.697290533,0.000217913,0.009453574,"ras-related protein Rab-11A, transcript variant X2"
280,LOC412287,2596.574433,3.585668593,0.749939828,4.781275057,1.74E-06,0.00033512,"peptidyl-prolyl cis-trans isomerase FKBP4, transcript variant X1"
60,LOC100578691,260.7618124,3.586212698,1.154303653,3.106819154,0.001891121,0.035628829,"rhoGEF domain-containing protein gxcJ, transcript variant X2"
44,LOC100577606,421.8965443,3.615227946,1.18628017,3.047532985,0.002307282,0.040757377,uncharacterized LOC100577606
360,LOC551408,714.8729258,3.615230418,1.123411494,3.218082099,0.001290509,0.028264114,uncharacterized LOC551408
325,LOC413374,584.6724217,3.619670167,1.120780343,3.229598192,0.001239643,0.027844774,putative inhibitor of apoptosis
448,LOC724367,2276.123597,3.630633048,0.901177958,4.028763705,5.61E-05,0.003787999,protein lethal(2)essential for life
298,LOC412619,1336.464559,3.634610446,0.806515592,4.506559427,6.59E-06,0.000845075,"amidophosphoribosyltransferase, transcript variant X1"
508,LOC725628,547.0520792,3.649520935,1.089108455,3.350925169,0.000805421,0.021625771,"N-alpha-acetyltransferase 40, transcript variant X2"
414,LOC552499,261.8261285,3.675987205,1.167891413,3.14754194,0.001646495,0.032789415,"ubiquitin domain-containing protein UBFD1, transcript variant X1"
408,LOC552402,478.5488972,3.686518343,1.087730956,3.389182153,0.000701014,0.020195901,"synaptogyrin, transcript variant X1"
22,LOC100576812,272.3076913,3.699459825,0.894225054,4.137056781,3.52E-05,0.002804805,uncharacterized LOC100576812
511,LOC725700,519.5040113,3.719326301,0.969884154,3.834814998,0.000125659,0.006465586,vacuolar protein sorting-associated protein 29
319,LOC413173,698.6413599,3.719562177,1.191829773,3.120883756,0.001803092,0.034741355,THO complex subunit 3
