target_id	length	eff_length	est_counts	tpm
NM_001010975.1	1251	1045.99	1228	73.0769
NM_001011562.1	863	657.987	5.05985	0.478661
NM_001011563.1	2084	1878.99	1315	43.5622
NM_001011564.2	1326	1120.99	331	18.3796
NM_001011565.1	3023	2817.99	46.1005	1.0183
NM_001011566.1	1503	1297.99	0	0
NM_001011567.1	4030	3824.99	5.96023	0.0969931
NM_001011568.1	2077	1871.99	9.07393	0.301717
NM_001011570.1	582	377.318	1820	300.242
NM_001011571.1	2093	1887.99	4.43927	0.146359
NM_001011572.1	2346	2140.99	1098	31.9224
NM_001011573.1	3160	2954.99	0	0
NM_001011574.1	1940	1734.99	1	0.0358766
NM_001011575.1	2163	1957.99	8.22684	0.261536
NM_001011576.1	1195	989.987	83	5.21863
NM_001011577.1	2389	2183.99	350.98	10.0032
NM_001011578.1	5441	5235.99	5	0.0594401
NM_001011579.1	1430	1224.99	123	6.25002
NM_001011580.1	1544	1338.99	7.40805	0.344378
NM_001011581.1	2439	2233.99	0	0
NM_001011582.1	356	161.244	530	204.597
NM_001011583.2	635	430.196	62074	8981.56
NM_001011584.1	1606	1400.99	0	0
NM_001011585.1	1638	1432.99	84.6212	3.67574
NM_001011586.1	2205	1999.99	0	0
NM_001011587.1	496	291.983	0	0
NM_001011588.1	724	519.107	0	0
NM_001011589.1	624	419.28	66	9.79822
NM_001011590.1	574	369.318	62	10.4496
NM_001011591.1	584	379.318	50	8.20491
NM_001011592.1	1590	1384.99	158.508	7.12383
NM_001011593.1	548	343.531	0	0
NM_001011594.1	4195	3989.99	6.5399	0.102025
NM_001011595.1	2818	2612.99	144.34	3.4384
NM_001011596.1	4100	3894.99	96.0234	1.53454
NM_001011597.1	2673	2467.99	105.539	2.66181
NM_001011598.1	1624	1418.99	11	0.482527
NM_001011599.1	1942	1736.99	8	0.286683
NM_001011600.1	2052	1846.99	2596	87.488
NM_001011601.1	1830	1624.99	8	0.306442
NM_001011602.1	2795	2589.99	20	0.480663
NM_001011603.1	1683	1477.99	149.769	6.30751
NM_001011604.3	685	480.107	14618.8	1895.32
NM_001011605.1	1448	1242.99	67	3.35518
NM_001011606.1	1757	1551.99	38	1.52406
NM_001011607.2	381	183.082	5	1.69993
NM_001011608.1	1873	1667.99	545	20.3382
NM_001011610.1	1612	1406.99	9.38714	0.415289
NM_001011611.2	369	172.219	2.09944	0.758807
NM_001011612.1	304	118.998	56.9006	29.7635
NM_001011613.1	710	505.107	5130	632.182
