target_id	length	eff_length	est_counts	tpm
NM_001010975.1	1251	1049.42	414	35.1594
NM_001011562.1	863	661.422	3.59163	0.483954
NM_001011563.1	2084	1882.42	626	29.638
NM_001011564.2	1326	1124.42	1756	139.183
NM_001011565.1	3023	2821.42	42.2763	1.33543
NM_001011566.1	1503	1301.42	0	0
NM_001011567.1	4030	3828.42	0	0
NM_001011568.1	2077	1875.42	1.00739	0.0478732
NM_001011570.1	582	380.614	1308	306.277
NM_001011571.1	2093	1891.42	25.8776	1.21934
NM_001011572.1	2346	2144.42	372	15.4605
NM_001011573.1	3160	2958.42	0	0
NM_001011574.1	1940	1738.42	2	0.102534
NM_001011575.1	2163	1961.42	0	0
NM_001011576.1	1195	993.422	31	2.78112
NM_001011577.1	2389	2187.42	138.196	5.63058
NM_001011578.1	5441	5239.42	17	0.289172
NM_001011579.1	1430	1228.42	65	4.71582
NM_001011580.1	1544	1342.42	17	1.12863
NM_001011581.1	2439	2237.42	0	0
NM_001011582.1	356	164.034	402	218.415
NM_001011583.2	635	433.576	55798	11469.5
NM_001011584.1	1606	1404.42	3	0.190377
NM_001011585.1	1638	1436.42	24.8744	1.54334
NM_001011586.1	2205	2003.42	0	0
NM_001011587.1	496	295.43	0	0
NM_001011588.1	724	522.484	0	0
NM_001011589.1	624	422.576	38	8.01438
NM_001011590.1	574	372.69	7	1.67395
NM_001011591.1	584	382.576	58	13.5114
NM_001011592.1	1590	1388.42	87.3378	5.60625
NM_001011593.1	548	346.724	0	0
NM_001011594.1	4195	3993.42	4.20294	0.0937993
NM_001011595.1	2818	2616.42	233.766	7.9628
NM_001011596.1	4100	3898.42	74.7785	1.70954
NM_001011597.1	2673	2471.42	58.267	2.1012
NM_001011598.1	1624	1422.42	28	1.75437
NM_001011599.1	1942	1740.42	56	2.86764
NM_001011600.1	2052	1850.42	1043	50.2348
NM_001011601.1	1830	1628.42	9	0.492569
NM_001011602.1	2795	2593.42	10	0.343651
NM_001011603.1	1683	1481.42	92.7776	5.58156
NM_001011604.3	685	483.484	13237.1	2440.08
NM_001011605.1	1448	1246.42	179	12.7991
NM_001011606.1	1757	1555.42	13	0.74488
NM_001011607.2	381	185.7	18	8.63875
NM_001011608.1	1873	1671.42	633	33.7527
NM_001011610.1	1612	1410.42	14.3546	0.907054
NM_001011611.2	369	175.15	0	0
NM_001011612.1	304	121.142	14	10.2997
NM_001011613.1	710	508.484	1916	335.822
NM_001011614.1	688	486.484	5	0.915995
NM_001011615.1	664	462.531	2804	540.292
NM_001011616.2	680	478.484	323	60.1626
NM_001011617.1	374	179.601	27304	13549
NM_001011618.1	523	322.124	0	0
NM_001011619.1	1559	1357.42	4.02816	0.264474
NM_001011620.1	957	755.422	23183.2	2735.12
NM_001011621.1	3254	3052.42	13.9074	0.406061
NM_001011622.1	1529	1327.42	7	0.469981
NM_001011623.1	3376	3174.42	11.011	0.309139
NM_001011624.1	4969	4767.42	4.2084	0.0786728
NM_001011625.2	1940	1738.42	35.3271	1.81111
NM_001011626.2	755	553.484	465.982	75.0336
NM_001011627.1	2520	2318.42	78	2.99843
NM_001011628.2	1386	1184.42	0	0
NM_001011629.1	14440	14238.4	98.158	0.614406
NM_001011630.1	630	428.576	18682.2	3884.99
NM_001011631.1	1741	1539.42	4.75622	0.275357
NM_001011632.2	2009	1807.42	12.6835	0.625417
NM_001011633.1	1533	1331.42	4.06938	0.272398
NM_001011634.2	3754	3552.42	0	0
NM_001011635.1	1447	1245.42	284	20.3233
NM_001011636.1	570	368.69	21096	5099.54
NM_001011637.1	1369	1167.42	65.4238	4.99458
NM_001011638.1	584	382.576	18	4.1932
NM_001011639.2	1806	1604.42	9	0.499937
NM_001011640.1	991	789.422	3463	390.962
NM_001011641.1	970	768.422	53.423	6.19612
NM_001011643.1	2378	2176.42	4.78625	0.195994
NM_001011644.2	1200	998.422	21.283	1.89981
NM_001011650.1	2242	2040.42	49	2.14026
NM_001011652.2	969	767.422	123	14.2844
NM_001011653.2	898	696.422	0	0
NM_001011654.2	749	547.484	83.011	13.5131
NM_001012429.1	672	470.531	54.4768	10.3185
NM_001012615.1	1097	895.422	1	0.0995322
NM_001012627.1	3153	2951.42	30.4668	0.919999
NM_001012962.1	3606	3404.42	88	2.30373
NM_001012963.1	502	301.311	120	35.4942
NM_001013006.1	2991	2789.42	0	0
NM_001013359.2	1964	1762.42	0	0
NM_001013361.1	4113	3911.42	6	0.136712
NM_001014429.1	1427	1225.42	932	67.7831
