target_id	length	eff_length	est_counts	tpm
NM_001010975.1	1251	1073.6	1431	219.04
NM_001011562.1	863	685.603	16	3.83509
NM_001011563.1	2084	1906.6	2620	225.823
NM_001011564.2	1326	1148.6	1501	214.753
NM_001011565.1	3023	2845.6	53.4817	3.08858
NM_001011566.1	1503	1325.6	4.11565	0.510215
NM_001011567.1	4030	3852.6	15.6011	0.665472
NM_001011568.1	2077	1899.6	0	0
NM_001011570.1	582	404.645	601	244.077
NM_001011571.1	2093	1915.6	1.08893	0.0934166
NM_001011572.1	2346	2168.6	2408	182.475
NM_001011573.1	3160	2982.6	13.1537	0.724737
NM_001011574.1	1940	1762.6	18	1.67821
NM_001011575.1	2163	1985.6	0	0
NM_001011576.1	1195	1017.6	59	9.528
NM_001011577.1	2389	2211.6	59.9143	4.45196
NM_001011578.1	5441	5263.6	34	1.06151
NM_001011579.1	1430	1252.6	18	2.36149
NM_001011580.1	1544	1366.6	15.007	1.80459
NM_001011581.1	2439	2261.6	30.7624	2.23528
NM_001011582.1	356	181.801	1	0.903925
NM_001011583.2	635	457.603	28605	10272.6
NM_001011584.1	1606	1428.6	0	0
NM_001011585.1	1638	1460.6	12.0103	1.35129
NM_001011586.1	2205	2027.6	15	1.21573
NM_001011587.1	496	318.713	0	0
NM_001011588.1	724	546.603	4	1.20259
NM_001011589.1	624	446.603	7	2.57576
NM_001011590.1	574	396.645	12	4.97172
NM_001011591.1	584	406.645	6	2.42473
NM_001011592.1	1590	1412.6	122.899	14.2974
NM_001011593.1	548	370.645	2	0.886746
NM_001011594.1	4195	4017.6	33.7276	1.37958
NM_001011595.1	2818	2640.6	8	0.497869
NM_001011596.1	4100	3922.6	13.4284	0.562572
NM_001011597.1	2673	2495.6	1	0.0658495
NM_001011598.1	1624	1446.6	1	0.1136
NM_001011599.1	1942	1764.6	4.68615	0.436412
NM_001011600.1	2052	1874.6	7722	676.937
NM_001011601.1	1830	1652.6	12	1.19328
NM_001011602.1	2795	2617.6	15	0.941706
NM_001011603.1	1683	1505.6	1193.09	130.224
NM_001011604.3	685	507.603	5050.66	1635.13
NM_001011605.1	1448	1270.6	12	1.55203
NM_001011606.1	1757	1579.6	13	1.35246
NM_001011607.2	381	205.481	0	0
NM_001011608.1	1873	1695.6	131	12.6962
NM_001011610.1	1612	1434.6	3.60886	0.413395
NM_001011611.2	369	194.084	0	0
NM_001011612.1	304	135.858	4	4.83842
NM_001011613.1	710	532.603	889	274.3
NM_001011614.1	688	510.603	0	0
NM_001011615.1	664	486.603	3	1.01315
NM_001011616.2	680	502.603	13	4.25056
NM_001011617.1	374	198.867	40	33.0541
NM_001011618.1	523	345.681	12	5.70471
NM_001011619.1	1559	1381.6	1.39497	0.165924
NM_001011620.1	957	779.603	404216	85205.6
NM_001011621.1	3254	3076.6	5.66637	0.302665
NM_001011622.1	1529	1351.6	0	0
NM_001011623.1	3376	3198.6	5.73609	0.294702
NM_001011624.1	4969	4791.6	5.74517	0.197038
NM_001011625.2	1940	1762.6	0	0
NM_001011626.2	755	577.603	1204.65	342.735
NM_001011627.1	2520	2342.6	66	4.62992
NM_001011628.2	1386	1208.6	28.4277	3.86532
NM_001011629.1	14440	14262.6	228.92	2.63763
NM_001011630.1	630	452.603	4911.82	1783.42
NM_001011631.1	1741	1563.6	0	0
NM_001011632.2	2009	1831.6	29.2661	2.62579
NM_001011633.1	1533	1355.6	1.73557	0.210396
NM_001011634.2	3754	3576.6	0	0
NM_001011635.1	1447	1269.6	0	0
NM_001011636.1	570	392.645	88392	36994.8
NM_001011637.1	1369	1191.6	0	0
NM_001011638.1	584	406.645	1	0.404121
NM_001011639.2	1806	1628.6	6	0.60543
NM_001011640.1	991	813.603	1435	289.846
NM_001011641.1	970	792.603	7	1.45134
NM_001011643.1	2378	2200.6	0	0
NM_001011644.2	1200	1022.6	12.9606	2.08279
NM_001011650.1	2242	2064.6	14	1.11434
NM_001011652.2	969	791.603	0	0
NM_001011653.2	898	720.603	0	0
