target_id	length	eff_length	est_counts	tpm
NM_001010975.1	1251	1003.99	9383	561.915
NM_001011562.1	863	616.056	121.299	11.8385
NM_001011563.1	2084	1836.99	1109	36.2981
NM_001011564.2	1326	1078.99	1531	85.3133
NM_001011565.1	3023	2775.99	27.1785	0.588665
NM_001011566.1	1503	1255.99	0	0
NM_001011567.1	4030	3782.99	0	0
NM_001011568.1	2077	1829.99	4.43519	0.145721
NM_001011570.1	582	336.251	4998	893.702
NM_001011571.1	2093	1845.99	1.09882	0.0357897
NM_001011572.1	2346	2098.99	2790	79.9196
NM_001011573.1	3160	2912.99	23.6318	0.487773
NM_001011574.1	1940	1692.99	3095	109.917
NM_001011575.1	2163	1915.99	106.718	3.34892
NM_001011576.1	1195	947.994	80	5.07393
NM_001011577.1	2389	2141.99	302.509	8.49141
NM_001011578.1	5441	5193.99	136	1.57434
NM_001011579.1	1430	1182.99	9322	473.791
NM_001011580.1	1544	1296.99	102.904	4.77039
NM_001011581.1	2439	2191.99	0	0
NM_001011582.1	356	134.815	6494	2896.24
NM_001011583.2	635	388.933	10785	1667.27
NM_001011584.1	1606	1358.99	0	0
NM_001011585.1	1638	1390.99	24.9853	1.07999
NM_001011586.1	2205	1957.99	0	0
NM_001011587.1	496	253.474	0	0
NM_001011588.1	724	477.253	94	11.8424
NM_001011589.1	624	377.971	425	67.6068
NM_001011590.1	574	328.551	856	156.65
NM_001011591.1	584	338.217	1718	305.413
NM_001011592.1	1590	1342.99	786.429	35.2083
NM_001011593.1	548	303.179	31.2246	6.19238
NM_001011594.1	4195	3947.99	37.6605	0.573548
NM_001011595.1	2818	2570.99	53	1.23947
NM_001011596.1	4100	3852.99	298.967	4.66537
NM_001011597.1	2673	2425.99	301.706	7.47748
NM_001011598.1	1624	1376.99	1757	76.7185
NM_001011599.1	1942	1694.99	22884.7	811.777
NM_001011600.1	2052	1804.99	96	3.19783
NM_001011601.1	1830	1582.99	317	12.0404
NM_001011602.1	2795	2547.99	38	0.896696
NM_001011603.1	1683	1435.99	261.689	10.957
NM_001011604.3	685	438.565	769.617	105.512
NM_001011605.1	1448	1200.99	3176	159.001
NM_001011606.1	1757	1509.99	138	5.49496
NM_001011607.2	381	153.26	381	149.47
NM_001011608.1	1873	1625.99	43743	1617.52
NM_001011610.1	1612	1364.99	666.274	29.3482
NM_001011611.2	369	144.286	11.7551	4.89846
NM_001011612.1	304	99.7815	75.2449	45.3406
NM_001011613.1	710	463.253	1806.99	234.53
NM_001011614.1	688	441.52	17	2.31504
NM_001011615.1	664	417.649	23780	3423.42
NM_001011616.2	680	433.565	3964	549.718
NM_001011617.1	374	148.068	14864	6035.79
NM_001011618.1	523	279.084	0	0
NM_001011619.1	1559	1311.99	45.9469	2.10564
NM_001011620.1	957	709.994	21.583	1.82775
NM_001011621.1	3254	3006.99	3.43011	0.068586
NM_001011622.1	1529	1281.99	15868.8	744.248
NM_001011623.1	3376	3128.99	2.5683	0.0493516
NM_001011624.1	4969	4721.99	27.9708	0.356156
NM_001011625.2	1940	1692.99	0	0
NM_001011626.2	755	508.056	659.587	78.0586
NM_001011627.1	2520	2272.99	430	11.3745
NM_001011628.2	1386	1138.99	36.1393	1.90774
