target_id	length	eff_length	est_counts	tpm
NM_001010975.1	1251	1057.88	617	67.9918
NM_001011562.1	863	669.883	14	2.43634
NM_001011563.1	2084	1890.88	211	13.0085
NM_001011564.2	1326	1132.88	34	3.49867
NM_001011565.1	3023	2829.88	20.9691	0.863814
NM_001011566.1	1503	1309.88	0	0
NM_001011567.1	4030	3836.88	25.3889	0.771392
NM_001011568.1	2077	1883.88	1.01495	0.0628058
NM_001011570.1	582	388.883	955	286.282
NM_001011571.1	2093	1899.88	0	0
NM_001011572.1	2346	2152.88	665	36.0089
NM_001011573.1	3160	2966.88	0	0
NM_001011574.1	1940	1746.88	6	0.400402
NM_001011575.1	2163	1969.88	99.751	5.90318
NM_001011576.1	1195	1001.88	0	0
NM_001011577.1	2389	2195.88	57.8629	3.07185
NM_001011578.1	5441	5247.88	22	0.488706
NM_001011579.1	1430	1236.88	103	9.70773
NM_001011580.1	1544	1350.88	20.2222	1.7451
NM_001011581.1	2439	2245.88	0	0
NM_001011582.1	356	168.89	166	114.581
NM_001011583.2	635	441.883	42934	11326.7
NM_001011584.1	1606	1412.88	0	0
NM_001011585.1	1638	1444.88	0	0
NM_001011586.1	2205	2011.88	126	7.30091
NM_001011587.1	496	303.386	2.44473	0.939384
NM_001011588.1	724	530.883	0	0
NM_001011589.1	624	430.883	81	21.9147
NM_001011590.1	574	380.922	6	1.83622
NM_001011591.1	584	390.883	2	0.596475
NM_001011592.1	1590	1396.88	6	0.500726
NM_001011593.1	548	355.034	0	0
NM_001011594.1	4195	4001.88	3.38408	0.0985792
NM_001011595.1	2818	2624.88	21.4728	0.953646
NM_001011596.1	4100	3906.88	11	0.328225
NM_001011597.1	2673	2479.88	0	0
NM_001011598.1	1624	1430.88	26	2.11826
NM_001011599.1	1942	1748.88	30.5315	2.03515
NM_001011600.1	2052	1858.88	1401	87.8608
NM_001011601.1	1830	1636.88	129	9.18716
NM_001011602.1	2795	2601.88	7	0.313631
NM_001011603.1	1683	1489.88	61.7888	4.83467
NM_001011604.3	685	491.883	4971.1	1178.15
NM_001011605.1	1448	1254.88	3	0.278694
NM_001011606.1	1757	1563.88	0	0
NM_001011607.2	381	191.616	6	3.6503
NM_001011608.1	1873	1679.88	123	8.53562
NM_001011610.1	1612	1418.88	16.7809	1.37872
NM_001011611.2	369	180.463	0	0
NM_001011612.1	304	124.783	2	1.86846
NM_001011613.1	710	516.883	2530.93	570.818
NM_001011614.1	688	494.883	4	0.942251
NM_001011615.1	664	470.883	152	37.6305
NM_001011616.2	680	486.883	38	9.09846
NM_001011617.1	374	184.98	9897	6237.19
NM_001011618.1	523	330.134	0	0
NM_001011619.1	1559	1365.88	16.8058	1.43435
NM_001011620.1	957	763.883	27577.4	4208.59
NM_001011621.1	3254	3060.88	0	0
NM_001011622.1	1529	1335.88	6	0.523591
NM_001011623.1	3376	3182.88	0	0
NM_001011624.1	4969	4775.88	12.5765	0.306983
NM_001011625.2	1940	1746.88	0	0
NM_001011626.2	755	561.883	566.122	117.456
NM_001011627.1	2520	2326.88	9	0.450897
NM_001011628.2	1386	1192.88	8.60955	0.841379
NM_001011629.1	14440	14246.9	2.66287	0.0217891
NM_001011630.1	630	436.883	6991.81	1865.66
NM_001011631.1	1741	1547.88	0	0
NM_001011632.2	2009	1815.88	0.000370409	2.37795e-05
NM_001011633.1	1533	1339.88	0	0
NM_001011634.2	3754	3560.88	0	0
NM_001011635.1	1447	1253.88	390	36.2591
NM_001011636.1	570	376.998	21156	6541.9
NM_001011637.1	1369	1175.88	0	0
NM_001011638.1	584	390.883	0	0
NM_001011639.2	1806	1612.88	13	0.939614
NM_001011640.1	991	797.883	3216	469.879
NM_001011641.1	970	776.883	11	1.65062
NM_001011643.1	2378	2184.88	0	0
NM_001011644.2	1200	1006.88	15.0979	1.74802
NM_001011650.1	2242	2048.88	1	0.0568973
NM_001011652.2	969	775.883	41	6.16023
NM_001011653.2	898	704.883	0	0
NM_001011654.2	749	555.883	6.29094	1.31929
NM_001012429.1	672	478.883	9.09856	2.21489
NM_001012615.1	1097	903.883	3	0.386917
NM_001012627.1	3153	2959.88	1.32002	0.0519894
NM_001012962.1	3606	3412.88	3	0.102473
NM_001012963.1	502	309.356	14	5.27568
NM_001013006.1	2991	2797.88	2.3478	0.0978231
NM_001013359.2	1964	1770.88	0	0
NM_001013361.1	4113	3919.88	7	0.208178
NM_001014429.1	1427	1233.88	141	13.3215
NM_001014430.1	438	246.106	0	0
NM_001014983.1	3250	3056.88	35.9319	1.37028
NM_001014991.1	7242	7048.88	0	0
NM_001014992.2	2498	2304.88	34.9129	1.76582
NM_001014993.1	1386	1192.88	0	0
NM_001014994.1	1892	1698.88	7.02776	0.482239
NM_001024697.1	1793	1599.88	17	1.23871
NM_001032361.1	3585	3391.88	4	0.137476
NM_001037318.2	2515	2321.88	1	0.0502075
NM_001039968.1	1349	1155.88	13.4562	1.35712
NM_001040203.1	644	450.883	0	0
NM_001040204.1	793	599.883	187.46	36.4293
NM_001040205.1	698	504.883	2	0.461794
NM_001040206.1	682	488.883	13	3.0999
NM_001040207.1	1179	985.883	2	0.236491
NM_001040208.1	582	388.883	243	72.8444
NM_001040209.1	588	394.883	1	0.295216
NM_001040220.1	483	290.446	0	0
NM_001040221.1	459	266.722	2.14829	0.93895
NM_001040223.1	555	361.998	6136	1976.01
NM_001040224.1	399	208.453	66482	37179.6
NM_001040225.1	407	216.006	3.53042	1.90533
NM_001040226.1	432	240.251	0	0
NM_001040227.1	724	530.883	0	0
NM_001040229.1	453	260.801	0	0
NM_001040230.1	13107	12913.9	85	0.767311
NM_001040231.1	363	175.117	0	0
NM_001040233.1	1647	1453.88	434.384	34.83
NM_001040234.1	1500	1306.88	0	0
NM_001040235.2	6077	5883.88	0	0
NM_001040236.1	1767	1573.88	4	0.296276
NM_001040237.1	5107	4913.88	21	0.4982
NM_001040255.1	1893	1699.88	0	0
NM_001040256.1	767	573.883	0	0
NM_001040257.1	1554	1360.88	0	0
NM_001040258.1	1250	1056.88	12.551	1.3844
NM_001040259.1	1743	1549.88	67	5.03947
NM_001040262.2	438	246.106	2	0.947366
NM_001040263.1	1550	1356.88	537	46.1361
NM_001040264.1	1600	1406.88	4	0.331445
NM_001040265.1	1689	1495.88	0	0
NM_001040266.2	1599	1405.88	0	0
NM_001040267.1	1895	1701.88	0	0
NM_001040269.1	1397	1203.88	0	0
NM_001040270.1	509	316.263	0	0
NM_001040277.1	2150	1956.88	2.19565	0.1308
NM_001040681.1	2499	2305.88	38	1.92112
NM_001042458.1	1737	1543.88	0	0
NM_001042460.1	1794	1600.88	0	0
NM_001077808.1	5328	5134.88	348.945	7.92201
NM_001077809.1	1344	1150.88	3.29244	0.3335
NM_001077810.1	354	167.028	69	48.1579
NM_001077811.1	1287	1093.88	0	0
NM_001077812.1	1470	1276.88	0	0
NM_001077813.1	3226	3032.88	14.5689	0.559988
NM_001077814.1	387	197.163	1.77177	1.04759
NM_001077815.1	1855	1661.88	0	0
NM_001077816.1	1530	1336.88	0	0
NM_001077817.1	1194	1000.88	0	0
NM_001077818.1	1707	1513.88	292.895	22.5543
NM_001077819.1	378	188.809	1	0.61743
NM_001077820.1	351	164.318	0	0
NM_001077821.1	4097	3903.88	0	0
NM_001077822.1	1533	1339.88	0	0
NM_001077823.2	516	323.199	0	0
NM_001077824.1	1842	1648.88	149.899	10.5978
NM_001077825.1	1158	964.883	0	0
NM_001078661.1	315	134.058	0	0
NM_001079560.1	1607	1413.88	0	0
NM_001079561.1	1701	1507.88	0	0
NM_001080094.2	2123	1929.88	36.9089	2.22951
NM_001080095.1	1590	1396.88	2	0.166909
NM_001080110.1	2703	2509.88	4.19434	0.194814
NM_001080205.1	2713	2519.88	10	0.462625
NM_001083630.1	1713	1519.88	0	0
NM_001085344.1	515	322.199	4	1.44725
NM_001085345.1	1491	1297.88	8	0.718561
NM_001085346.1	509	316.263	2	0.73721
NM_001097154.2	1766	1572.88	6213.81	460.544
NM_001098167.1	767	573.883	181.878	36.9458
NM_001098214.1	1863	1669.88	0	0
NM_001098215.2	2635	2441.88	27.8969	1.33181
NM_001098217.1	2187	1993.88	0	0
NM_001098218.1	2148	1954.88	0	0
NM_001098219.1	2139	1945.88	16	0.958545
NM_001098220.1	1806	1612.88	0	0
NM_001098221.1	1763	1569.88	0	0
NM_001098223.1	1436	1242.88	79	7.40979
NM_001098224.2	1333	1139.88	98	10.0225
NM_001098228.1	1286	1092.88	3	0.320005
NM_001098229.1	1284	1090.88	41	4.38142
NM_001098232.1	1146	952.883	48.7171	5.96007
NM_001098234.1	462	269.696	0	0
NM_001098717.1	2199	2005.88	14844.8	862.737
NM_001101023.1	3033	2839.88	1065.69	43.7461
NM_001104949.1	3122	2928.88	11.7339	0.467035
NM_001110712.2	754	560.883	257	53.4157
NM_001110764.1	2606	2412.88	15914	768.869
NM_001111255.1	2504	2310.88	0	0
NM_001112670.1	3330	3136.88	0	0
NM_001112671.1	3001	2807.88	401.962	16.6884
NM_001112672.2	1701	1507.88	174.629	13.5007
NM_001113285.1	2779	2585.88	0	0
NM_001113739.1	1509	1315.88	0	0
NM_001114188.1	1950	1756.88	0	0
NM_001114198.1	730	536.883	8450.09	1834.81
NM_001115078.1	2659	2465.88	6	0.283653
NM_001123013.2	6157	5963.88	0	0
NM_001126243.2	2949	2755.88	2.75882	0.1167
NM_001126244.1	1674	1480.88	7	0.551044
NM_001131037.1	1164	970.883	1.60568	0.192798
NM_001131038.1	2722	2528.88	5	0.230489
NM_001134227.1	1704	1510.88	1.72475	0.133078
NM_001134333.1	282	107.764	0	0
NM_001134371.1	591	397.883	361	105.77
NM_001134668.1	2541	2347.88	438	21.7474
NM_001134669.1	584	390.883	145	43.2444
NM_001134722.1	105	24.7072	68.3249	322.378
NM_001134828.1	1495	1301.88	265	23.7292
NM_001134934.1	3281	3087.88	0	0
NM_001134935.1	2337	2143.88	0	0
NM_001134936.1	1992	1798.88	0	0
NM_001134940.1	1464	1270.88	0	0
NM_001134942.1	1621	1427.88	133	10.8585
NM_001134943.1	1434	1240.88	0	0
NM_001134947.1	1760	1566.88	0	0
NM_001134948.1	3181	2987.88	1.12184	0.04377
NM_001134949.1	3346	3152.88	428.432	15.841
NM_001134950.1	2295	2101.88	9.92525	0.550481
NM_001135735.1	1032	838.883	6663	925.929
NM_001135905.1	488	295.417	11866.4	4682.67
NM_001135909.1	320	138.043	7577	6398.72
NM_001136187.1	614	420.883	7753	2147.42
NM_001136206.1	1002	808.883	4632	667.562
NM_001136207.1	930	736.883	2684	424.613
NM_001136208.1	1008	814.883	1325	189.553
NM_001136209.1	1029	835.883	812	113.245
NM_001141964.1	2248	2054.88	12	0.680775
NM_001142436.1	1295	1101.88	2114.81	223.741
NM_001142461.1	824	630.883	7	1.29348
NM_001142561.1	1943	1749.88	10	0.666193
NM_001142607.1	642	448.883	47	12.206
NM_001142609.1	1671	1477.88	0	0
NM_001142637.1	999	805.883	6	0.867937
NM_001142656.2	710	516.883	73.6971	16.6214
NM_001142693.1	1386	1192.88	4	0.390905
NM_001143878.1	1377	1183.88	0	0
NM_001143879.1	1428	1234.88	0	0
NM_001143880.1	1470	1276.88	0	0
NM_001143921.1	2102	1908.88	19	1.16034
NM_001144839.2	596	402.883	8.53881	2.47074
NM_001145735.2	1347	1153.88	32.2793	3.26115
NM_001145736.1	2424	2230.88	0	0
NM_001145737.1	2433	2239.88	0	0
NM_001145738.1	2787	2593.88	20	0.898853
NM_001145739.1	2553	2359.88	0	0
NM_001145740.1	3633	3439.88	24	0.813349
NM_001159303.1	1404	1210.88	1.95285	0.188008
NM_001159355.1	2782	2588.88	0	0
NM_001160048.1	2747	2553.88	308	14.0591
NM_001160050.1	2417	2223.88	2640	138.389
NM_001160052.1	2920	2726.88	1356	57.9699
NM_001160064.1	2844	2650.88	5521	242.793
NM_001160072.1	2237	2043.88	127	7.24364
NM_001160270.1	698	504.883	2982.76	688.709
NM_001160405.2	2980	2786.88	4.17263	0.174542
NM_001161709.2	856	662.883	422	74.2138
NM_001161787.1	927	733.883	1732.66	275.229
NM_001161788.1	843	649.883	67.3427	12.0799
NM_001161831.1	683	489.883	3606.44	858.214
NM_001162398.1	165	40.3089	930	2689.62
NM_001162513.1	4073	3879.88	16.6334	0.499771
NM_001162516.1	1758	1564.88	0	0
NM_001163463.1	481	288.446	2383	963.095
NM_001163712.1	1155	961.883	169.942	20.5962
NM_001163714.1	1566	1372.88	300.81	25.5428
NM_001163715.1	854	660.883	2278	401.826
NM_001163716.1	900	706.883	1118.77	184.502
NM_001163717.1	2152	1958.88	413.924	24.6332
NM_001164008.1	2209	2015.88	595	34.4081
NM_001164809.1	503	310.356	77.344	29.052
NM_001164810.1	871	677.883	1346.64	231.582
NM_001165904.1	5715	5521.88	0	0
NM_001165905.1	6135	5941.88	0	0
NM_001165906.1	3754	3560.88	1272.84	41.6701
NM_001167709.1	732	538.883	16	3.46126
NM_001167720.1	599	405.883	95.3863	27.3964
NM_001167836.1	1455	1261.88	188.057	17.3732
NM_001167893.1	1135	941.883	16	1.98031
NM_001168336.1	1053	859.883	12	1.62686
NM_001168425.1	1144	950.883	1	0.122598
NM_001168700.1	993	799.883	10.5027	1.53068
NM_001170972.1	1128	934.883	11	1.37165
NM_001170973.1	1131	937.883	14239	1769.86
NM_001170974.1	1454	1260.88	298	27.5518
NM_001171006.1	3549	3355.88	0	0
NM_001171051.1	4101	3907.88	14	0.417634
NM_001171108.1	1209	1015.88	0	0
NM_001171169.1	1520	1326.88	649.632	57.0747
NM_001172378.1	1201	1007.88	3	0.346993
NM_001172379.1	1114	920.883	13	1.64569
NM_001172389.1	1026	832.883	18	2.5194
NM_001172403.1	1330	1136.88	2619.96	268.651
NM_001172404.1	2427	2233.88	290.71	15.1708
NM_001172405.1	228	70.7076	244.798	403.6
NM_001172406.1	908	714.883	173.042	28.2179
NM_001172718.1	2641	2447.88	13.337	0.63515
NM_001174139.1	720	526.883	0	0
NM_001174140.1	599	405.883	1	0.287216
NM_001174141.1	1037	843.883	0	0
NM_001174142.1	773	579.883	0	0
NM_001174143.1	884	690.883	4028.74	679.788
NM_001174144.1	534	341.068	7	2.39258
NM_001174145.1	871	677.883	24	4.1273
NM_001177490.1	1091	897.883	1127	146.323
NM_001177903.1	404	213.114	50.1404	27.4275
NM_001178021.1	842	648.883	5099.22	916.108
NM_001178022.1	816	622.883	0	0
NM_001178023.1	1095	901.883	0.0360079	0.00465432
NM_001178024.1	1194	1000.88	9.96399	1.16054
NM_001178025.1	2265	2071.88	25.5944	1.44009
NM_001178026.1	2037	1843.88	1742.92	110.193
NM_001178027.1	830	636.883	6046	1106.67
NM_001178028.1	1029	835.883	0	0
NM_001178047.1	1538	1344.88	0	0
NM_001178048.1	1331	1137.88	3461	354.579
NM_001178067.1	626	432.883	427	114.992
NM_001178069.1	1627	1433.88	0	0
NM_001185079.1	3029	2835.88	20.5	0.842703
NM_001185086.1	3029	2835.88	20.5	0.842703
NM_001185105.1	3075	2881.88	4.54908e-05	1.84016e-06
NM_001185144.1	565	371.998	19754	6190.47
NM_001185145.1	1666	1472.88	103.345	8.17957
NM_001185146.1	1648	1454.88	316.655	25.3727
NM_001190421.1	2277	2083.88	4.17596	0.23361
NM_001190814.1	460	267.722	1868	813.395
NM_001190920.1	1626	1432.88	1.43337	0.116616
NM_001190921.1	1401	1207.88	0	0
NM_001191048.2	6581	6387.88	0	0
NM_001193290.1	1551	1357.88	0	0
NM_001202460.1	1962	1768.88	0.685181	0.045156
NM_001204249.1	2202	2008.88	12.7949	0.74249
NM_001204751.1	3810	3616.88	9	0.29008
NM_001205062.1	1790	1596.88	0	0
NM_001205223.1	2006	1812.88	31	1.99343
NM_001206466.1	2688	2494.88	33.5	1.56532
NM_001206467.1	2688	2494.88	33.5	1.56532
NM_001206969.1	2536	2342.88	150	7.46363
NM_001206970.1	1154	960.883	449.778	54.5679
NM_001206973.1	2299	2105.88	46.0863	2.55121
NM_001214904.1	3024	2830.88	0	0
NM_001220486.1	2644	2450.88	403	19.1687
NM_001220487.1	2747	2553.88	96	4.38207
NM_001242386.1	3284	3090.88	6	0.226297
NM_001242387.1	7402	7208.88	520.863	8.42296
NM_001242431.1	1343	1149.88	538	54.5428
NM_001242432.1	2433	2239.88	0	0
NM_001242433.1	2514	2320.88	48	2.411
NM_001242434.1	1729	1535.88	1361.03	103.305
NM_001242435.1	3041	2847.88	65.968	2.70035
NM_001242436.1	2828	2634.88	59	2.61036
NM_001242437.1	2866	2672.88	0	0
NM_001242440.1	1971	1777.88	409	26.8182
NM_001242441.1	1971	1777.88	409	26.8182
NM_001242456.1	2803	2609.88	1.0366	0.0463022
NM_001242457.1	535	342.068	521.056	177.575
NM_001242458.1	3602	3408.88	103	3.52236
NM_001242465.1	1635	1441.88	25	2.02125
NM_001242467.1	1154	960.883	1857	225.294
NM_001242468.1	2560	2366.88	0	0
