target_id	length	eff_length	est_counts	tpm
NM_001010975.1	1251	1018.6	28373	1649.94
NM_001011562.1	863	630.601	226.115	21.2393
NM_001011563.1	2084	1851.6	1422	45.4902
NM_001011564.2	1326	1093.6	493	26.7026
NM_001011565.1	3023	2790.6	67.4951	1.43265
NM_001011566.1	1503	1270.6	0	0
NM_001011567.1	4030	3797.6	0	0
NM_001011568.1	2077	1844.6	9.78042	0.314066
NM_001011570.1	582	350.11	6551	1108.33
NM_001011571.1	2093	1860.6	8.06941	0.256894
NM_001011572.1	2346	2113.6	3966	111.146
NM_001011573.1	3160	2927.6	70.662	1.42968
NM_001011574.1	1940	1707.6	5989	207.747
NM_001011575.1	2163	1930.6	68.9763	2.11628
NM_001011576.1	1195	962.601	204	12.5531
NM_001011577.1	2389	2156.6	397.265	10.9113
NM_001011578.1	5441	5208.6	166	1.88779
NM_001011579.1	1430	1197.6	75122.9	3715.58
NM_001011580.1	1544	1311.6	1123.01	50.7163
NM_001011581.1	2439	2206.6	0	0
NM_001011582.1	356	145.11	15896	6488.66
NM_001011583.2	635	402.813	23363	3435.51
NM_001011584.1	1606	1373.6	0	0
NM_001011585.1	1638	1405.6	80.9505	3.41133
NM_001011586.1	2205	1972.6	0	0
NM_001011587.1	496	266.25	0	0
NM_001011588.1	724	491.601	141	16.9892
NM_001011589.1	624	391.931	553	83.5759
NM_001011590.1	574	342.145	1575	272.669
NM_001011591.1	584	352.075	2889	486.047
NM_001011592.1	1590	1357.6	771.108	33.6441
NM_001011593.1	548	316.64	66.5872	12.4564
NM_001011594.1	4195	3962.6	27.0784	0.40477
NM_001011595.1	2818	2585.6	71.2146	1.63145
NM_001011596.1	4100	3867.6	629.76	9.64493
NM_001011597.1	2673	2440.6	462.925	11.2352
NM_001011598.1	1624	1391.6	4134	175.963
NM_001011599.1	1942	1709.6	71197	2466.79
NM_001011600.1	2052	1819.6	148	4.81783
NM_001011601.1	1830	1597.6	20797	771.078
NM_001011602.1	2795	2562.6	74	1.71047
NM_001011603.1	1683	1450.6	1083.67	44.2502
NM_001011604.3	685	452.648	1069.76	139.989
NM_001011605.1	1448	1215.6	3089	150.52
NM_001011606.1	1757	1524.6	313	12.1606
NM_001011607.2	381	164.591	3	1.07964
NM_001011608.1	1873	1640.6	63242	2283.33
NM_001011610.1	1612	1379.6	4828.62	207.317
NM_001011611.2	369	155.374	0	0
NM_001011612.1	304	108.118	0	0
NM_001011613.1	710	477.601	350	43.4079
NM_001011614.1	688	455.648	0	0
NM_001011615.1	664	431.648	12545	1721.5
NM_001011616.2	680	447.648	7918	1047.72
NM_001011617.1	374	159.074	4046	1506.58
NM_001011618.1	523	292.129	0	0
NM_001011619.1	1559	1326.6	33.6045	1.50045
NM_001011620.1	957	724.601	1.04025	0.0850365
NM_001011621.1	3254	3021.6	5.86022	0.11488
NM_001011622.1	1529	1296.6	25506.1	1165.21
NM_001011623.1	3376	3143.6	0	0
NM_001011624.1	4969	4736.6	47.4527	0.593417
NM_001011625.2	1940	1707.6	9.74797	0.338138
NM_001011626.2	755	522.601	842.377	95.4778
NM_001011627.1	2520	2287.6	727	18.8244
NM_001011628.2	1386	1153.6	157.12	8.06755
NM_001011629.1	14440	14207.6	323.07	1.34692
NM_001011630.1	630	397.813	6737.42	1003.18
NM_001011631.1	1741	1508.6	10.6546	0.418338
NM_001011632.2	2009	1776.6	22	0.733498
NM_001011633.1	1533	1300.6	9.25087	0.421313
NM_001011634.2	3754	3521.6	27.0754	0.455408
NM_001011635.1	1447	1214.6	3748	182.781
NM_001011636.1	570	338.179	273	47.8169
NM_001011637.1	1369	1136.6	0	0
NM_001011638.1	584	352.075	0	0
NM_001011639.2	1806	1573.6	23610	888.725
NM_001011640.1	991	758.601	4045	315.843
NM_001011641.1	970	737.601	62.3824	5.00964
NM_001011643.1	2378	2145.6	468.842	12.9433
NM_001011644.2	1200	967.601	20.4852	1.25404
NM_001011650.1	2242	2009.6	41	1.20848
NM_001011652.2	969	736.601	9807	788.624
