target_id	length	eff_length	est_counts	tpm
NM_001010975.1	1251	1058.25	193	19.2673
NM_001011562.1	863	670.323	0	0
NM_001011563.1	2084	1891.25	291	16.2553
NM_001011564.2	1326	1133.25	619	57.7054
NM_001011565.1	3023	2830.25	9.14781	0.341463
NM_001011566.1	1503	1310.25	0	0
NM_001011567.1	4030	3837.25	2	0.0550631
NM_001011568.1	2077	1884.25	0	0
NM_001011570.1	582	389.323	569	154.402
NM_001011571.1	2093	1900.25	0	0
NM_001011572.1	2346	2153.25	522	25.611
NM_001011573.1	3160	2967.25	0	0
NM_001011574.1	1940	1747.25	3	0.181392
NM_001011575.1	2163	1970.25	0	0
NM_001011576.1	1195	1002.25	0	0
NM_001011577.1	2389	2196.25	0	0
NM_001011578.1	5441	5248.25	0	0
NM_001011579.1	1430	1237.25	25	2.13469
NM_001011580.1	1544	1351.25	1	0.0781836
NM_001011581.1	2439	2246.25	3	0.141096
NM_001011582.1	356	169.103	261	163.057
NM_001011583.2	635	442.323	44343	10591
NM_001011584.1	1606	1413.25	0	0
NM_001011585.1	1638	1445.25	0	0
NM_001011586.1	2205	2012.25	289	15.1728
NM_001011587.1	496	303.612	0	0
NM_001011588.1	724	531.323	0	0
NM_001011589.1	624	431.323	0	0
NM_001011590.1	574	381.323	32	8.8656
NM_001011591.1	584	391.323	0	0
NM_001011592.1	1590	1397.25	31.4127	2.3751
NM_001011593.1	548	355.323	0	0
NM_001011594.1	4195	4002.25	0	0
NM_001011595.1	2818	2625.25	0	0
NM_001011596.1	4100	3907.25	0	0
NM_001011597.1	2673	2480.25	0	0
NM_001011598.1	1624	1431.25	0	0
NM_001011599.1	1942	1749.25	16	0.966316
NM_001011600.1	2052	1859.25	1469	83.4709
NM_001011601.1	1830	1637.25	5	0.322631
NM_001011602.1	2795	2602.25	0	0
NM_001011603.1	1683	1490.25	57.1095	4.04856
NM_001011604.3	685	492.323	3679.01	789.464
NM_001011605.1	1448	1255.25	0	0
NM_001011606.1	1757	1564.25	0	0
NM_001011607.2	381	191.83	0	0
NM_001011608.1	1873	1680.25	14	0.880249
NM_001011610.1	1612	1419.25	2.55847	0.190446
NM_001011611.2	369	180.568	0	0
NM_001011612.1	304	124.937	0	0
NM_001011613.1	710	517.323	2058	420.276
NM_001011614.1	688	495.323	0	0
NM_001011615.1	664	471.323	3051	683.872
NM_001011616.2	680	487.323	26	5.63648
NM_001011617.1	374	185.27	11887	6778.24
NM_001011618.1	523	330.356	0	0
NM_001011619.1	1559	1366.25	0	0
NM_001011620.1	957	764.249	19015.7	2628.62
NM_001011621.1	3254	3061.25	0	0
NM_001011622.1	1529	1336.25	4	0.316245
NM_001011623.1	3376	3183.25	0	0
NM_001011624.1	4969	4776.25	0	0
NM_001011625.2	1940	1747.25	0	0
NM_001011626.2	755	562.323	544.626	102.321
NM_001011627.1	2520	2327.25	948	43.0345
NM_001011628.2	1386	1193.25	0	0
NM_001011629.1	14440	14247.2	0	0
NM_001011630.1	630	437.323	7549.74	1823.82
NM_001011631.1	1741	1548.25	0	0
NM_001011632.2	2009	1816.25	0	0
NM_001011633.1	1533	1340.25	0	0
NM_001011634.2	3754	3561.25	0	0
NM_001011635.1	1447	1254.25	13	1.09499
NM_001011636.1	570	377.323	11704	3276.97
NM_001011637.1	1369	1176.25	3	0.269447
NM_001011638.1	584	391.323	0	0
NM_001011639.2	1806	1613.25	9	0.589376
NM_001011640.1	991	798.249	6335	838.415
NM_001011641.1	970	777.249	0	0
