target_id	length	eff_length	est_counts	tpm
NM_001010975.1	1251	1008.65	20020	998.432
NM_001011562.1	863	620.646	73.2649	5.93807
NM_001011563.1	2084	1841.65	1447	39.5235
NM_001011564.2	1326	1083.65	1139	52.8724
NM_001011565.1	3023	2780.65	47.2945	0.855575
NM_001011566.1	1503	1260.65	0	0
NM_001011567.1	4030	3787.65	0	0
NM_001011568.1	2077	1834.65	9.99256	0.273979
NM_001011570.1	582	340.931	5675	837.322
NM_001011571.1	2093	1850.65	3.68459	0.100152
NM_001011572.1	2346	2103.65	3826	91.4883
NM_001011573.1	3160	2917.65	0	0
NM_001011574.1	1940	1697.65	9571	283.598
NM_001011575.1	2163	1920.65	56.472	1.47904
NM_001011576.1	1195	952.646	128	6.75883
NM_001011577.1	2389	2146.65	304.626	7.13838
NM_001011578.1	5441	5198.65	242	2.34163
NM_001011579.1	1430	1187.65	145647	6168.89
NM_001011580.1	1544	1301.65	6713.44	259.445
NM_001011581.1	2439	2196.65	0	0
NM_001011582.1	356	139.752	13299	4786.88
NM_001011583.2	635	393.097	18455	2361.61
NM_001011584.1	1606	1363.65	0	0
NM_001011585.1	1638	1395.65	48.9943	1.76589
NM_001011586.1	2205	1962.65	0	0
NM_001011587.1	496	258.579	0	0
NM_001011588.1	724	481.753	108	11.277
NM_001011589.1	624	382.289	553	72.7657
NM_001011590.1	574	333.302	954	143.98
NM_001011591.1	584	342.897	1378	202.152
NM_001011592.1	1590	1347.65	783.993	29.2637
NM_001011593.1	548	308.337	46.8729	7.64697
NM_001011594.1	4195	3952.65	19.0123	0.241959
NM_001011595.1	2818	2575.65	28.8214	0.562888
NM_001011596.1	4100	3857.65	490.647	6.39793
NM_001011597.1	2673	2430.65	307.979	6.37372
NM_001011598.1	1624	1381.65	11027	401.47
NM_001011599.1	1942	1699.65	98446.1	2913.62
NM_001011600.1	2052	1809.65	99	2.75191
NM_001011601.1	1830	1587.65	14104	446.87
NM_001011602.1	2795	2552.65	32	0.630598
