target_id	length	eff_length	est_counts	tpm
NM_001010975.1	1251	1021.13	11333	1631.62
NM_001011562.1	863	633.194	145.643	33.8149
NM_001011563.1	2084	1854.13	44	3.48873
NM_001011564.2	1326	1096.13	228	30.5793
NM_001011565.1	3023	2793.13	54.4479	2.86579
NM_001011566.1	1503	1273.13	0	0
NM_001011567.1	4030	3800.13	4.55129	0.176072
NM_001011568.1	2077	1847.13	14.5997	1.16199
NM_001011570.1	582	353.224	4085	1700.18
NM_001011571.1	2093	1863.13	3.8348	0.30259
NM_001011572.1	2346	2116.13	9448	656.375
NM_001011573.1	3160	2930.13	0.180417	0.00905203
NM_001011574.1	1940	1710.13	317	27.2511
NM_001011575.1	2163	1933.13	64.1817	4.88095
NM_001011576.1	1195	965.13	81	12.3383
NM_001011577.1	2389	2159.13	274.396	18.6833
NM_001011578.1	5441	5211.13	23	0.648859
NM_001011579.1	1430	1200.13	248	30.3793
NM_001011580.1	1544	1314.13	27.7801	3.10778
NM_001011581.1	2439	2209.13	0	0
NM_001011582.1	356	146.589	105	105.304
NM_001011583.2	635	405.733	5331	1931.63
NM_001011584.1	1606	1376.13	0	0
NM_001011585.1	1638	1408.13	80.4932	8.40371
NM_001011586.1	2205	1975.13	24.5626	1.82824
NM_001011587.1	496	269.748	0	0
NM_001011588.1	724	494.246	72	21.4163
NM_001011589.1	624	394.854	121	45.0508
NM_001011590.1	574	345.433	767	326.427
NM_001011591.1	584	355.153	938	388.277
NM_001011592.1	1590	1360.13	361.371	39.0595
NM_001011593.1	548	320.029	32.6526	14.9997
NM_001011594.1	4195	3965.13	14.9054	0.552639
NM_001011595.1	2818	2588.13	26.1877	1.48753
NM_001011596.1	4100	3870.13	500.407	19.0087
NM_001011597.1	2673	2443.13	1343.31	80.8321
NM_001011598.1	1624	1394.13	5	0.527256
NM_001011599.1	1942	1712.13	58.3225	5.00788
NM_001011600.1	2052	1822.13	118	9.52044
NM_001011601.1	1830	1600.13	266	24.4389
NM_001011602.1	2795	2565.13	66	3.78259
NM_001011603.1	1683	1453.13	165.086	16.7017
NM_001011604.3	685	455.388	468.984	151.402
NM_001011605.1	1448	1218.13	1933	233.288
NM_001011606.1	1757	1527.13	511	49.1926
NM_001011607.2	381	166.429	17	15.0167
NM_001011608.1	1873	1643.13	4510	403.514
NM_001011610.1	1612	1382.13	37.2508	3.96224
NM_001011611.2	369	156.774	0	0
NM_001011612.1	304	108.83	0	0
NM_001011613.1	710	480.295	2305	705.533
NM_001011614.1	688	458.388	4	1.28286
NM_001011615.1	664	434.522	9341	3160.36
NM_001011616.2	680	450.434	1079	352.164
NM_001011617.1	374	160.833	5566	5087.71
NM_001011618.1	523	295.58	0	0
NM_001011619.1	1559	1329.13	8.36196	0.9249
NM_001011620.1	957	727.13	10.4052	2.10374
NM_001011621.1	3254	3024.13	5.09248	0.247562
NM_001011622.1	1529	1299.13	11	1.24479
NM_001011623.1	3376	3146.13	0	0
NM_001011624.1	4969	4739.13	22.6181	0.701636
NM_001011625.2	1940	1710.13	0	0
NM_001011626.2	755	525.194	673.551	188.541
NM_001011627.1	2520	2290.13	498	31.9686
NM_001011628.2	1386	1156.13	483.564	61.4896
NM_001011629.1	14440	14210.1	266.757	2.75976
NM_001011630.1	630	400.854	3330.82	1221.57
NM_001011631.1	1741	1511.13	11.9835	1.16584
NM_001011632.2	2009	1779.13	5.08469	0.420156
NM_001011633.1	1533	1303.13	28.6586	3.23311
NM_001011634.2	3754	3524.13	1.79464	0.0748653
NM_001011635.1	1447	1217.13	1386	167.41
NM_001011636.1	570	341.502	134	57.6854
NM_001011637.1	1369	1139.13	0	0
NM_001011638.1	584	355.153	8	3.31153
NM_001011639.2	1806	1576.13	15283	1425.51
NM_001011640.1	991	761.13	424	81.8958
NM_001011641.1	970	740.13	72.54	14.4087
NM_001011643.1	2378	2148.13	478.898	32.7746
NM_001011644.2	1200	970.13	9.70173	1.47019
NM_001011650.1	2242	2012.13	28	2.04577
NM_001011652.2	969	739.13	12449	2476.1
NM_001011653.2	898	668.13	13.9117	3.06108
NM_001011654.2	749	519.194	11.9213	3.37557
NM_001012429.1	672	442.434	3051.61	1013.99
NM_001012615.1	1097	867.13	93	15.7672
NM_001012627.1	3153	2923.13	1.45313	0.0730818
NM_001012962.1	3606	3376.13	122	5.31245
NM_001012963.1	502	275.556	0	0
NM_001013006.1	2991	2761.13	0	0
NM_001013359.2	1964	1734.13	49.2396	4.17434
NM_001013361.1	4113	3883.13	4	0.151437
NM_001014429.1	1427	1197.13	136	16.7014
NM_001014430.1	438	215.901	0	0
NM_001014983.1	3250	3020.13	0	0
NM_001014991.1	7242	7012.13	5.03022	0.105461
NM_001014992.2	2498	2268.13	59.63	3.86502
NM_001014993.1	1386	1156.13	0	0
NM_001014994.1	1892	1662.13	67.3428	5.95636
NM_001024697.1	1793	1563.13	558	52.48
NM_001032361.1	3585	3355.13	4.75822	0.208492
NM_001037318.2	2515	2285.13	1.67759	0.107927
NM_001039968.1	1349	1119.13	2	0.262727
NM_001040203.1	644	414.692	30.0898	10.6671
NM_001040204.1	793	563.194	154.356	40.2921
NM_001040205.1	698	468.342	170	53.363
NM_001040206.1	682	452.434	1578.75	512.994
NM_001040207.1	1179	949.13	622	96.3428
NM_001040208.1	582	353.224	25	10.405
NM_001040209.1	588	359.082	190.442	77.9692
NM_001040220.1	483	257.362	0	0
NM_001040221.1	459	234.999	17.569	10.991
NM_001040223.1	555	326.802	46	20.6932
NM_001040224.1	399	181.456	3	2.43055
NM_001040225.1	407	188.294	0.973012	0.759691
NM_001040226.1	432	210.427	22	15.3701
NM_001040227.1	724	494.246	75.2509	22.3832
NM_001040229.1	453	229.448	3.61308	2.31499
NM_001040230.1	13107	12877.1	926	10.5717
NM_001040231.1	363	151.899	0	0
NM_001040233.1	1647	1417.13	31702.3	3288.78
NM_001040234.1	1500	1270.13	1587.09	183.699
NM_001040235.2	6077	5847.13	0	0
NM_001040236.1	1767	1537.13	429	41.03
NM_001040237.1	5107	4877.13	117.977	3.55622
NM_001040255.1	1893	1663.13	16.1806	1.43029
NM_001040256.1	767	537.194	355.167	97.1976
NM_001040257.1	1554	1324.13	2.90032	0.32201
NM_001040258.1	1250	1020.13	133.913	19.2985
NM_001040259.1	1743	1513.13	16	1.55453
NM_001040262.2	438	215.901	6	4.08555
NM_001040263.1	1550	1320.13	369	41.0927
NM_001040264.1	1600	1370.13	152	16.3093
NM_001040265.1	1689	1459.13	87.3054	8.79634
NM_001040266.2	1599	1369.13	0	0
NM_001040267.1	1895	1665.13	203.718	17.986
NM_001040269.1	1397	1167.13	7.02159	0.884444
NM_001040270.1	509	282.19	0	0
NM_001040277.1	2150	1920.13	16.7273	1.2807
NM_001040681.1	2499	2269.13	31	2.00843
