target_id	length	eff_length	est_counts	tpm
NM_001010975.1	1251	1061.29	887	44.2405
NM_001011562.1	863	673.364	3.31807	0.260836
NM_001011563.1	2084	1894.29	721	20.1474
NM_001011564.2	1326	1136.29	387	18.0282
NM_001011565.1	3023	2833.29	101.741	1.90079
NM_001011566.1	1503	1313.29	1	0.040306
NM_001011567.1	4030	3840.29	0	0
NM_001011568.1	2077	1887.29	0	0
NM_001011570.1	582	392.51	1118	150.773
NM_001011571.1	2093	1903.29	0	0
NM_001011572.1	2346	2156.29	1878	46.102
NM_001011573.1	3160	2970.29	0	0
NM_001011574.1	1940	1750.29	0	0
NM_001011575.1	2163	1973.29	94.2995	2.52959
NM_001011576.1	1195	1005.29	0	0
NM_001011577.1	2389	2199.29	26.8049	0.645152
NM_001011578.1	5441	5251.29	0	0
NM_001011579.1	1430	1240.29	19	0.810888
NM_001011580.1	1544	1354.29	8.36907	0.327112
NM_001011581.1	2439	2249.29	0	0
NM_001011582.1	356	172.227	976	299.971
NM_001011583.2	635	445.426	40994	4871.66
NM_001011584.1	1606	1416.29	0	0
NM_001011585.1	1638	1448.29	0	0
NM_001011586.1	2205	2015.29	0	0
NM_001011587.1	496	306.812	2.36954	0.408812
NM_001011588.1	724	534.426	0	0
NM_001011589.1	624	434.426	0	0
NM_001011590.1	574	384.51	12	1.65198
NM_001011591.1	584	394.51	1	0.134176
NM_001011592.1	1590	1400.29	645.155	24.388
NM_001011593.1	548	358.618	0	0
NM_001011594.1	4195	4005.29	0	0
NM_001011595.1	2818	2628.29	6	0.12084
NM_001011596.1	4100	3910.29	9	0.121833
NM_001011597.1	2673	2483.29	0	0
NM_001011598.1	1624	1434.29	0	0
NM_001011599.1	1942	1752.29	3	0.0906246
NM_001011600.1	2052	1862.29	5801	164.887
NM_001011601.1	1830	1640.29	30	0.968125
NM_001011602.1	2795	2605.29	1	0.0203177
NM_001011603.1	1683	1493.29	205.2	7.27385
NM_001011604.3	685	495.426	4234.8	452.466
NM_001011605.1	1448	1258.29	21	0.883424
NM_001011606.1	1757	1567.29	0	0
NM_001011607.2	381	194.966	0	0
NM_001011608.1	1873	1683.29	16	0.503144
NM_001011610.1	1612	1422.29	0	0
NM_001011611.2	369	184.081	0	0
NM_001011612.1	304	127.31	71	29.5208
NM_001011613.1	710	520.426	13381	1361.01
NM_001011614.1	688	498.426	0	0
NM_001011615.1	664	474.426	404	45.0759
NM_001011616.2	680	490.426	293	31.6247
NM_001011617.1	374	188.569	10919	3065.1
NM_001011618.1	523	333.651	0	0
NM_001011619.1	1559	1369.29	0	0
NM_001011620.1	957	767.293	33042.3	2279.5
NM_001011621.1	3254	3064.29	2.11522	0.0365391
NM_001011622.1	1529	1339.29	1	0.0395236
NM_001011623.1	3376	3186.29	0	0
NM_001011624.1	4969	4779.29	10.0133	0.110903
NM_001011625.2	1940	1750.29	0	0
NM_001011626.2	755	565.426	2222.58	208.072
NM_001011627.1	2520	2330.29	107	2.43055
NM_001011628.2	1386	1196.29	0	0
NM_001011629.1	14440	14250.3	12.3701	0.0459494
NM_001011630.1	630	440.426	9456.28	1136.53
NM_001011631.1	1741	1551.29	0	0
NM_001011632.2	2009	1819.29	0	0
NM_001011633.1	1533	1343.29	0	0
NM_001011634.2	3754	3564.29	0	0
NM_001011635.1	1447	1257.29	52	2.18927
NM_001011636.1	570	380.51	62326	8670.33
NM_001011637.1	1369	1179.29	186.446	8.36879
NM_001011638.1	584	394.51	0	0
NM_001011639.2	1806	1616.29	12	0.393
NM_001011640.1	991	801.293	4100	270.847
NM_001011641.1	970	780.293	331	22.4544
NM_001011643.1	2378	2188.29	0	0
NM_001011644.2	1200	1010.29	13.4582	0.705136
NM_001011650.1	2242	2052.29	0	0
NM_001011652.2	969	779.293	3	0.203776
NM_001011653.2	898	708.364	0	0
NM_001011654.2	749	559.426	120.461	11.3982
NM_001012429.1	672	482.426	77.4208	8.49492
NM_001012615.1	1097	907.293	0	0
NM_001012627.1	3153	2963.29	10.8259	0.193384
NM_001012962.1	3606	3416.29	21	0.325384
NM_001012963.1	502	312.812	4	0.676875
NM_001013006.1	2991	2801.29	0	0
NM_001013359.2	1964	1774.29	0	0
NM_001013361.1	4113	3923.29	0	0
NM_001014429.1	1427	1237.29	201	8.59914
NM_001014430.1	438	249.576	0	0
NM_001014983.1	3250	3060.29	0	0
NM_001014991.1	7242	7052.29	0	0
NM_001014992.2	2498	2308.29	104.712	2.40126
NM_001014993.1	1386	1196.29	0	0
NM_001014994.1	1892	1702.29	230.667	7.17269
NM_001024697.1	1793	1603.29	0	0
NM_001032361.1	3585	3395.29	0	0
NM_001037318.2	2515	2325.29	2	0.0455286
NM_001039968.1	1349	1159.29	0	0
NM_001040203.1	644	454.426	3	0.349454
NM_001040204.1	793	603.426	66.7392	5.85448
NM_001040205.1	698	508.426	1	0.104113
NM_001040206.1	682	492.426	7	0.75247
NM_001040207.1	1179	989.293	2	0.107013
NM_001040208.1	582	392.51	1088	146.727
NM_001040209.1	588	398.51	0	0
NM_001040220.1	483	293.872	12	2.1615
NM_001040221.1	459	270.238	2.27428	0.445481
NM_001040223.1	555	365.51	29965	4339.58
NM_001040224.1	399	212.042	85342	21304.6
NM_001040225.1	407	219.63	0	0
NM_001040226.1	432	243.824	13	2.82227
NM_001040227.1	724	534.426	0	0
NM_001040229.1	453	264.291	0	0
NM_001040230.1	13107	12917.3	714	2.92589
NM_001040231.1	363	178.489	0	0
NM_001040233.1	1647	1457.29	36.3532	1.32047
NM_001040234.1	1500	1310.29	0	0
NM_001040235.2	6077	5887.29	0	0
NM_001040236.1	1767	1577.29	49	1.64443
NM_001040237.1	5107	4917.29	74.529	0.802289
NM_001040255.1	1893	1703.29	0	0
NM_001040256.1	767	577.426	0	0
NM_001040257.1	1554	1364.29	0	0
NM_001040258.1	1250	1060.29	24.9091	1.24355
NM_001040259.1	1743	1553.29	436	14.8582
NM_001040262.2	438	249.576	3	0.636283
NM_001040263.1	1550	1360.29	122	4.74743
NM_001040264.1	1600	1410.29	2	0.0750676
NM_001040265.1	1689	1499.29	76.1405	2.6882
NM_001040266.2	1599	1409.29	0	0
NM_001040267.1	1895	1705.29	0	0
NM_001040269.1	1397	1207.29	0	0
NM_001040270.1	509	319.749	6	0.993286
NM_001040277.1	2150	1960.29	0	0
NM_001040681.1	2499	2309.29	544	12.4696
NM_001042458.1	1737	1547.29	6.69217	0.228942
NM_001042460.1	1794	1604.29	0	0
NM_001077808.1	5328	5138.29	3	0.0309054
NM_001077809.1	1344	1154.29	0	0
NM_001077810.1	354	170.35	75	23.305
NM_001077811.1	1287	1097.29	0	0
NM_001077812.1	1470	1280.29	0	0
NM_001077813.1	3226	3036.29	0	0
NM_001077814.1	387	200.624	0	0
NM_001077815.1	1855	1665.29	0.0542314	0.00172382
NM_001077816.1	1530	1340.29	0	0
NM_001077817.1	1194	1004.29	0	0
NM_001077818.1	1707	1517.29	55.4225	1.93352
NM_001077819.1	378	192.202	12.4481	3.42829
NM_001077820.1	351	167.681	2	0.631363
NM_001077821.1	4097	3907.29	0	0
NM_001077822.1	1533	1343.29	0	0
NM_001077823.2	516	326.651	0	0
NM_001077824.1	1842	1652.29	0	0
NM_001077825.1	1158	968.293	4	0.218668
NM_001078661.1	315	136.788	0	0
NM_001079560.1	1607	1417.29	0	0
NM_001079561.1	1701	1511.29	0	0
NM_001080094.2	2123	1933.29	6.44484	0.17646
NM_001080095.1	1590	1400.29	2	0.0756036
NM_001080110.1	2703	2513.29	0	0
NM_001080205.1	2713	2523.29	109.593	2.29905
NM_001083630.1	1713	1523.29	54.8188	1.90493
NM_001085344.1	515	325.716	3	0.487544
NM_001085345.1	1491	1301.29	6	0.244066
NM_001085346.1	509	319.749	0	0
NM_001097154.2	1766	1576.29	3699.25	124.225
NM_001098167.1	767	577.426	161.415	14.7972
NM_001098214.1	1863	1673.29	0	0
NM_001098215.2	2635	2445.29	0	0
NM_001098217.1	2187	1997.29	0	0
NM_001098218.1	2148	1958.29	0	0
NM_001098219.1	2139	1949.29	0	0
NM_001098220.1	1806	1616.29	0	0
NM_001098221.1	1763	1573.29	2	0.0672902
NM_001098223.1	1436	1246.29	0	0
NM_001098224.2	1333	1143.29	213	9.86174
NM_001098228.1	1286	1096.29	0	0
NM_001098229.1	1284	1094.29	69	3.3377
NM_001098232.1	1146	956.293	0	0
NM_001098234.1	462	273.183	4	0.775064
NM_001098717.1	2199	2009.29	21342.7	562.261
NM_001101023.1	3033	2843.29	1399.98	26.0635
NM_001104949.1	3122	2932.29	0	0
NM_001110712.2	754	564.426	0	0
NM_001110764.1	2606	2416.29	25757	564.257
NM_001111255.1	2504	2314.29	9.02237	0.206364
NM_001112670.1	3330	3140.29	83.0095	1.39923
NM_001112671.1	3001	2811.29	440.441	8.29303
NM_001112672.2	1701	1511.29	286.735	10.043
NM_001113285.1	2779	2589.29	0	0
NM_001113739.1	1509	1319.29	19.6078	0.786718
NM_001114188.1	1950	1760.29	0	0
NM_001114198.1	730	540.426	16218.4	1588.56
NM_001115078.1	2659	2469.29	237	5.08051
NM_001123013.2	6157	5967.29	44.8669	0.397997
NM_001126243.2	2949	2759.29	15.983	0.306614
NM_001126244.1	1674	1484.29	0	0
NM_001131037.1	1164	974.293	0	0
NM_001131038.1	2722	2532.29	157	3.28184
NM_001134227.1	1704	1514.29	0	0
NM_001134333.1	282	109.833	0	0
NM_001134371.1	591	401.51	543	71.5872
NM_001134668.1	2541	2351.29	342	7.6993
NM_001134669.1	584	394.51	1	0.134176
NM_001134722.1	105	25.5701	15.3205	31.7155
NM_001134828.1	1495	1305.29	429	17.3973
NM_001134934.1	3281	3091.29	0	0
NM_001134935.1	2337	2147.29	0	0
NM_001134936.1	1992	1802.29	0	0
NM_001134940.1	1464	1274.29	0	0
NM_001134942.1	1621	1431.29	424	15.6808
NM_001134943.1	1434	1244.29	0	0
NM_001134947.1	1760	1570.29	0	0
NM_001134948.1	3181	2991.29	30.3515	0.537097
NM_001134949.1	3346	3156.29	490.368	8.22388
NM_001134950.1	2295	2105.29	0	0
NM_001135735.1	1032	842.293	7396	464.799
NM_001135905.1	488	298.872	19254.9	3410.26
NM_001135909.1	320	140.935	26719	10035.3
NM_001136187.1	614	424.469	4317	538.354
NM_001136206.1	1002	812.293	21272	1386.2
NM_001136207.1	930	740.293	5487	392.34
NM_001136208.1	1008	818.293	6197	400.871
NM_001136209.1	1029	839.293	5634	355.332
NM_001141964.1	2248	2058.29	329	8.46097
NM_001142436.1	1295	1105.29	1095.49	52.4643
NM_001142461.1	824	634.364	332	27.7033
NM_001142561.1	1943	1753.29	0	0
NM_001142607.1	642	452.426	18	2.10599
NM_001142609.1	1671	1481.29	0	0
NM_001142637.1	999	809.293	0	0
NM_001142656.2	710	520.426	101.381	10.3117
NM_001142693.1	1386	1196.29	0	0
NM_001143878.1	1377	1187.29	0	0
NM_001143879.1	1428	1238.29	0	0
