target_id	length	eff_length	est_counts	tpm
NM_001010975.1	1251	1032.61	35771	3029.3
NM_001011562.1	863	644.75	340.641	46.2011
NM_001011563.1	2084	1865.61	1581	74.1068
NM_001011564.2	1326	1107.61	359	28.3436
NM_001011565.1	3023	2804.61	103.19	3.21744
NM_001011566.1	1503	1284.61	0	0
NM_001011567.1	4030	3811.61	3.28058	0.0752644
NM_001011568.1	2077	1858.61	11.823	0.556272
NM_001011570.1	582	364.037	7633	1833.57
NM_001011571.1	2093	1874.61	15.0382	0.701507
NM_001011572.1	2346	2127.61	7756	318.781
NM_001011573.1	3160	2941.61	50.4941	1.50108
NM_001011574.1	1940	1721.61	9914	503.572
NM_001011575.1	2163	1944.61	0	0
NM_001011576.1	1195	976.609	132	11.8195
NM_001011577.1	2389	2170.61	431.106	17.368
NM_001011578.1	5441	5222.61	640	10.7162
NM_001011579.1	1430	1211.61	420574	30354.8
NM_001011580.1	1544	1325.61	53035.5	3498.63
NM_001011581.1	2439	2220.61	0	0
NM_001011582.1	356	153.205	14795	8444.82
NM_001011583.2	635	416.927	22573	4734.53
NM_001011584.1	1606	1387.61	0	0
NM_001011585.1	1638	1419.61	44.3101	2.72949
NM_001011586.1	2205	1986.61	0	0
NM_001011587.1	496	279.568	0	0
NM_001011588.1	724	505.75	93	16.0803
NM_001011589.1	624	405.927	709	152.738
NM_001011590.1	574	356.037	1345	330.35
NM_001011591.1	584	366.037	1891	451.766
NM_001011592.1	1590	1371.61	250.955	15.9997
NM_001011593.1	548	330.341	85.5801	22.6547
NM_001011594.1	4195	3976.61	20.8028	0.457464
NM_001011595.1	2818	2599.61	26.1351	0.879151
NM_001011596.1	4100	3881.61	817.932	18.4269
NM_001011597.1	2673	2454.61	619.868	22.0833
NM_001011598.1	1624	1405.61	5453	339.249
NM_001011599.1	1942	1723.61	105832	5369.42
NM_001011600.1	2052	1833.61	290	13.8305
NM_001011601.1	1830	1611.61	543052	29466.5
NM_001011602.1	2795	2576.61	63	2.13815
NM_001011603.1	1683	1464.61	1231.19	73.5108
NM_001011604.3	685	466.75	881.285	165.112
NM_001011605.1	1448	1229.61	1861	132.351
NM_001011606.1	1757	1538.61	542	30.8048
NM_001011607.2	381	173.764	21	10.5684
NM_001011608.1	1873	1654.61	54978	2905.63
NM_001011610.1	1612	1393.61	36854.4	2312.58
NM_001011611.2	369	163.787	0	0
NM_001011612.1	304	113.431	0	0
NM_001011613.1	710	491.75	128	22.7621
NM_001011614.1	688	469.75	4	0.74463
NM_001011615.1	664	445.796	2090	409.975
NM_001011616.2	680	461.796	10223	1935.87
NM_001011617.1	374	167.911	2466	1284.29
NM_001011618.1	523	305.843	0	0
NM_001011619.1	1559	1340.61	132.913	8.66988
NM_001011620.1	957	738.609	4.31341	0.510685
NM_001011621.1	3254	3035.61	0	0
NM_001011622.1	1529	1310.61	4352.84	290.433
NM_001011623.1	3376	3157.61	1.12995	0.0312931
NM_001011624.1	4969	4750.61	83.7773	1.54214
NM_001011625.2	1940	1721.61	23.3528	1.18618
NM_001011626.2	755	536.75	1035.99	168.784
NM_001011627.1	2520	2301.61	790	30.0153
NM_001011628.2	1386	1167.61	331.381	24.8186
NM_001011629.1	14440	14221.6	131.524	0.808732
NM_001011630.1	630	411.927	7358.28	1562.08
NM_001011631.1	1741	1522.61	26.8441	1.54173
NM_001011632.2	2009	1790.61	27.4221	1.33921
NM_001011633.1	1533	1314.61	13.0187	0.866003
NM_001011634.2	3754	3535.61	14.549	0.359846
NM_001011635.1	1447	1228.61	4146	295.096
NM_001011636.1	570	352.037	331	82.2218
NM_001011637.1	1369	1150.61	9.86728	0.749923
NM_001011638.1	584	366.037	1	0.238903
NM_001011639.2	1806	1587.61	27894	1536.44
NM_001011640.1	991	772.609	4531	512.839
NM_001011641.1	970	751.609	49.7176	5.7845
NM_001011643.1	2378	2159.61	407.158	16.4868
NM_001011644.2	1200	981.609	5	0.445429
NM_001011650.1	2242	2023.61	20	0.864272
NM_001011652.2	969	750.609	10408	1212.55
NM_001011653.2	898	679.75	14.0011	1.80119
NM_001011654.2	749	530.75	60.5021	9.96846
NM_001012429.1	672	453.796	9820.4	1892.41
NM_001012615.1	1097	878.609	136	13.536
NM_001012627.1	3153	2934.61	15.8073	0.471036
NM_001012962.1	3606	3387.61	148	3.82046
NM_001012963.1	502	285.228	2	0.613175
NM_001013006.1	2991	2772.61	0	0
NM_001013359.2	1964	1745.61	239.886	12.0172
NM_001013361.1	4113	3894.61	4	0.0898138
NM_001014429.1	1427	1208.61	18375.9	1329.57
NM_001014430.1	438	224.546	1836	715.014
NM_001014983.1	3250	3031.61	0	0
NM_001014991.1	7242	7023.61	2.12942	0.0265123
NM_001014992.2	2498	2279.61	77.2159	2.96206
NM_001014993.1	1386	1167.61	1023.18	76.6308
NM_001014994.1	1892	1673.61	15.7987	0.825493
NM_001024697.1	1793	1574.61	1220	67.7539
NM_001032361.1	3585	3366.61	75.8712	1.97075
NM_001037318.2	2515	2296.61	0	0
NM_001039968.1	1349	1130.61	15.6375	1.20949
NM_001040203.1	644	425.927	77.4364	15.8985
NM_001040204.1	793	574.75	305.906	46.5432
NM_001040205.1	698	479.75	1227	223.654
NM_001040206.1	682	463.796	8233.42	1552.39
NM_001040207.1	1179	960.609	5496	500.319
NM_001040208.1	582	364.037	71	17.0553
NM_001040209.1	588	369.927	681.973	161.213
NM_001040220.1	483	266.952	8	2.62062
NM_001040221.1	459	244.129	6916.03	2477.33
NM_001040223.1	555	337.207	1891	490.39
NM_001040224.1	399	189.19	23	10.6311
NM_001040225.1	407	196.315	2.84724	1.26829
NM_001040226.1	432	218.861	20	7.99113
NM_001040227.1	724	505.75	267.579	46.2661
NM_001040229.1	453	238.422	0	0
NM_001040230.1	13107	12888.6	655	4.44408
NM_001040231.1	363	158.969	0	0
NM_001040233.1	1647	1428.61	160784	9841.86
NM_001040234.1	1500	1281.61	3900.01	266.108
NM_001040235.2	6077	5858.61	0	0
NM_001040236.1	1767	1548.61	417	23.5473
NM_001040237.1	5107	4888.61	85.0187	1.52082
