target_id	length	eff_length	est_counts	tpm
NM_001010975.1	1251	1044.63	752	34.1253
NM_001011562.1	863	656.7	0	0
NM_001011563.1	2084	1877.63	1565	39.5116
NM_001011564.2	1326	1119.63	182	7.7058
NM_001011565.1	3023	2816.63	20.8746	0.351326
NM_001011566.1	1503	1296.63	0	0
NM_001011567.1	4030	3823.63	0	0
NM_001011568.1	2077	1870.63	0	0
NM_001011570.1	582	375.993	763	96.1978
NM_001011571.1	2093	1886.63	0	0
NM_001011572.1	2346	2139.63	1079	23.9058
NM_001011573.1	3160	2953.63	0	0
NM_001011574.1	1940	1733.63	1	0.0273441
NM_001011575.1	2163	1956.63	36.1001	0.874621
NM_001011576.1	1195	988.628	1	0.0479498
NM_001011577.1	2389	2182.63	19.3217	0.419649
NM_001011578.1	5441	5234.63	0	0
NM_001011579.1	1430	1223.63	124	4.80388
NM_001011580.1	1544	1337.63	17.0614	0.604643
NM_001011581.1	2439	2232.63	0	0
NM_001011582.1	356	160.934	342	100.739
NM_001011583.2	635	428.795	23927	2645.2
NM_001011584.1	1606	1399.63	0	0
NM_001011585.1	1638	1431.63	4.48823	0.148616
NM_001011586.1	2205	1998.63	0	0
NM_001011587.1	496	290.712	0	0
NM_001011588.1	724	517.7	0	0
NM_001011589.1	624	417.795	3	0.340391
NM_001011590.1	574	367.993	2	0.257638
NM_001011591.1	584	377.993	6	0.752467
NM_001011592.1	1590	1383.63	488.987	16.7532
NM_001011593.1	548	342.171	0	0
NM_001011594.1	4195	3988.63	0	0
NM_001011595.1	2818	2611.63	5	0.0907567
NM_001011596.1	4100	3893.63	0	0
NM_001011597.1	2673	2466.63	0	0
NM_001011598.1	1624	1417.63	0	0
NM_001011599.1	1942	1735.63	35.1577	0.960248
NM_001011600.1	2052	1845.63	7683	197.336
NM_001011601.1	1830	1623.63	175	5.10942
NM_001011602.1	2795	2588.63	14	0.256377
NM_001011603.1	1683	1476.63	312.468	10.0312
NM_001011604.3	685	478.7	5272.45	522.119
NM_001011605.1	1448	1241.63	47	1.79443
NM_001011606.1	1757	1550.63	0	0
NM_001011607.2	381	182.171	0	0
NM_001011608.1	1873	1666.63	122	3.47009
NM_001011610.1	1612	1405.63	17.541	0.591566
NM_001011611.2	369	171.842	0	0
