,Gene_ID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,description
22,LOC102654496,79.57419989,-7.283525284,1.878335387,-3.877648972,0.000105471,0.021994327,"high affinity copper uptake protein 1, transcript variant X1"
77,LOC725175,51.39434065,-6.766248422,1.911138337,-3.540428388,0.000399478,0.049860518,uncharacterized LOC725175
76,LOC725044,77.37582292,-6.463421835,1.659677998,-3.894383032,9.84E-05,0.021994327,"TAF5-like RNA polymerase II p300/CBP-associated factor-associated factor 65 kDa subunit 5L, transcript variant X2"
82,LOC726076,27.38573566,-6.089553489,1.663491398,-3.660706329,0.000251521,0.037590489,centrosomal protein of 131 kDa
86,LOC727522,9241.406163,-5.128361935,1.292297446,-3.96840677,7.24E-05,0.018544619,uncharacterized LOC727522
4,GeneID_677673,42326.59955,-4.798320543,1.147828626,-4.180345772,2.91E-05,0.009708876,odorant binding protein 14
63,LOC412791,60.41552208,-4.759958956,1.250014623,-3.807922617,0.000140139,0.026711515,flocculation protein FLO11
42,LOC107966045,248.5600052,-3.236200267,0.894113333,-3.619451974,0.000295228,0.040925446,uncharacterized LOC107966045
84,LOC726292,1458.774971,-3.118510397,0.832381392,-3.746492205,0.000179325,0.030382706,"natterin-3, transcript variant X2"
53,LOC409500,521.0975184,-3.015781586,0.830207565,-3.632563364,0.00028062,0.03941229,mitochondrial import receptor subunit TOM22 homolog
