target_id	length	eff_length	est_counts	tpm
NM_001010975.1	1251	1015.46	18637	909.993
NM_001011562.1	863	627.592	156.715	12.3811
NM_001011563.1	2084	1848.46	1323	35.4874
NM_001011564.2	1326	1090.46	940	42.7408
NM_001011565.1	3023	2787.46	96.4583	1.71575
NM_001011566.1	1503	1267.46	0	0
NM_001011567.1	4030	3794.46	0	0
NM_001011568.1	2077	1841.46	1.16226	0.0312942
NM_001011570.1	582	347.734	5294	754.85
NM_001011571.1	2093	1857.46	5.48707	0.146469
NM_001011572.1	2346	2110.46	3431	80.6061
NM_001011573.1	3160	2924.46	24.9326	0.422713
NM_001011574.1	1940	1704.46	7898	229.75
NM_001011575.1	2163	1927.46	72.5484	1.86624
NM_001011576.1	1195	959.457	151	7.80324
NM_001011577.1	2389	2153.46	331.677	7.63665
NM_001011578.1	5441	5205.46	431	4.10527
NM_001011579.1	1430	1194.46	226805	9414.7
NM_001011580.1	1544	1308.46	23925.9	906.635
NM_001011581.1	2439	2203.46	0	0
NM_001011582.1	356	141.98	10161	3548.4
NM_001011583.2	635	400.105	28300	3507.01
NM_001011584.1	1606	1370.46	0	0
NM_001011585.1	1638	1402.46	66.2336	2.3416
NM_001011586.1	2205	1969.46	0	0
NM_001011587.1	496	263.722	0	0
NM_001011588.1	724	488.752	96	9.73882
NM_001011589.1	624	389.183	326	41.5324
NM_001011590.1	574	339.873	678	98.9093
NM_001011591.1	584	349.699	1049	148.732
NM_001011592.1	1590	1354.46	870.861	31.8792
NM_001011593.1	548	314.559	12.9832	2.04646
NM_001011594.1	4195	3959.46	18.5604	0.232421
NM_001011595.1	2818	2582.46	45.1427	0.866719
NM_001011596.1	4100	3864.46	565.49	7.25539
NM_001011597.1	2673	2437.46	561.659	11.4251
NM_001011598.1	1624	1388.46	2820	100.703
NM_001011599.1	1942	1706.46	58343.2	1695.19
NM_001011600.1	2052	1816.46	151	4.12169
NM_001011601.1	1830	1594.46	215335	6696.16
NM_001011602.1	2795	2559.46	47	0.910487
NM_001011603.1	1683	1447.46	803.222	27.514
NM_001011604.3	685	449.894	477.286	52.6009
NM_001011605.1	1448	1212.46	3092	126.444
NM_001011606.1	1757	1521.46	250	8.14712
NM_001011607.2	381	161.754	3	0.919579
NM_001011608.1	1873	1637.46	23992	726.474
NM_001011610.1	1612	1376.46	35196.2	1267.82
NM_001011611.2	369	152.328	0	0
NM_001011612.1	304	104.33	0	0
NM_001011613.1	710	474.8	69	7.20547
NM_001011614.1	688	452.894	1	0.109478
NM_001011615.1	664	428.98	417	48.1973
NM_001011616.2	680	444.894	6216	692.753
NM_001011617.1	374	156.32	635	201.411
NM_001011618.1	523	289.917	0	0
NM_001011619.1	1559	1323.46	30.1498	1.12953
NM_001011620.1	957	721.457	24.4307	1.679
NM_001011621.1	3254	3018.46	7.83271	0.128662
NM_001011622.1	1529	1293.46	4408.34	168.985
NM_001011623.1	3376	3140.46	0	0
NM_001011624.1	4969	4733.46	44.9111	0.470435
NM_001011625.2	1940	1704.46	0	0
NM_001011626.2	755	519.752	959.98	91.5777
NM_001011627.1	2520	2284.46	727	15.7788
NM_001011628.2	1386	1150.46	154.139	6.64303
NM_001011629.1	14440	14204.5	321.25	1.12135
NM_001011630.1	630	395.144	6489.68	814.313
NM_001011631.1	1741	1505.46	10.4497	0.34416
NM_001011632.2	2009	1773.46	8.23676	0.230282
NM_001011633.1	1533	1297.46	5.29634	0.202398
NM_001011634.2	3754	3518.46	9.72576	0.137055
NM_001011635.1	1447	1211.46	3208	131.296
NM_001011636.1	570	335.907	269	39.7061
NM_001011637.1	1369	1133.46	12.0051	0.52515
NM_001011638.1	584	349.699	3	0.425354
NM_001011639.2	1806	1570.46	24465	772.401
NM_001011640.1	991	755.457	2574	168.936
NM_001011641.1	970	734.457	278.947	18.8312
NM_001011643.1	2378	2142.46	524.238	12.1322
NM_001011644.2	1200	964.457	18.7521	0.96403
NM_001011650.1	2242	2006.46	22	0.543646
NM_001011652.2	969	733.457	6155	416.08
NM_001011653.2	898	662.529	4.55063	0.340558
NM_001011654.2	749	513.752	61.1298	5.89961
NM_001012429.1	672	436.894	4293.9	487.304
NM_001012615.1	1097	861.457	129	7.42471
