ensembl_gene_id	description
LOC724736	semaphorin-1A, transcript variant X3
LOC100576781	15-hydroxyprostaglandin dehydrogenase [NAD(+)], transcript variant X4
LOC552419	ras-like GTP-binding protein RhoL, transcript variant X6
LOC113219132	uncharacterized LOC113219132
LOC411477	ADP-ribosylation factor GTPase-activating protein 1, transcript variant X2
LOC100578733	nose resistant to fluoxetine protein 6, transcript variant X2
LOC100578774	centrosomal protein of 164 kDa
LOC102656070	uncharacterized LOC102656070
LOC100576147	fork head domain-containing protein FD4
LOC552486	F-actin-capping protein subunit alpha
LOC102655014	uncharacterized LOC102655014, transcript variant X2
LOC409165	calreticulin
LOC100577342	uncharacterized LOC100577342
LOC410603	odorant receptor 65a, transcript variant X1
LOC551128	26S proteasome regulatory subunit 4
LOC100578586	mediator of RNA polymerase II transcription subunit 15
LOC100578725	uncharacterized LOC100578725
LOC113218833	transmembrane protein 234 homolog
LOC100577797	small integral membrane protein 8
LOC551871	P protein
LOC726900	proteasome assembly chaperone 2, transcript variant X2
LOC100576797	acyl-CoA Delta(11) desaturase, transcript variant X2
LOC413755	attractin, transcript variant X1
LOC100578888	zinc finger protein 808
LOC725251	101 kDa malaria antigen, transcript variant X2
LOC411589	structural maintenance of chromosomes protein 1A
LOC102655064	uncharacterized LOC102655064
LOC100576272	tRNA-splicing endonuclease subunit Sen34
LOC100577995	uncharacterized LOC100577995, transcript variant X7
GeneID_107964931	tRNA-Met
LOC552063	E3 ubiquitin-protein ligase MARCH5, transcript variant X2
LOC102654492	uncharacterized LOC102654492
LOC410878	epoxide hydrolase 4, transcript variant X1
LOC413573	set1/Ash2 histone methyltransferase complex subunit ASH2, transcript variant X4
LOC100578841	uncharacterized LOC100578841, transcript variant X2
LOC726570	CWF19-like protein 2
LOC551556	probable serine/threonine-protein kinase DDB_G0283337
LOC551834	large subunit GTPase 1 homolog
LOC102654948	uncharacterized LOC102654948, transcript variant X1
LOC727596	malectin, transcript variant X2
LOC551125	40S ribosomal protein S15Aa
LOC102653881	glucose dehydrogenase [FAD, quinone]-like
LOC100578508	uncharacterized LOC100578508
LOC410402	serine proteinase stubble, transcript variant X6
LOC727205	general transcription factor 3C polypeptide 5
LOC100576703	sarcalumenin, transcript variant X6
LOC726461	protein shank, transcript variant X7
LOC100576864	myosin-2 heavy chain, transcript variant X2
LOC413675	nuclear pore complex protein Nup107
LOC113219195	clumping factor A-like
LOC725679	sex-lethal homolog, transcript variant X6
LOC113218895	glutamyl-tRNA(Gln) amidotransferase subunit C, mitochondrial
LOC552642	DNA replication licensing factor Mcm3
GeneID_406112	period circadian protein
LOC113219120	uncharacterized LOC113219120
LOC410538	probable C-mannosyltransferase DPY19L1, transcript variant X5
LOC102656919	uncharacterized LOC102656919
LOC412361	START domain-containing protein 10, transcript variant X1
LOC100576257	uncharacterized LOC100576257, transcript variant X2
LOC100578811	transmembrane protein 223
LOC100576863	uncharacterized LOC100576863, transcript variant X2
LOC552081	calcium uptake protein 1 homolog, mitochondrial, transcript variant X2
LOC552603	KDEL motif-containing protein 1, transcript variant X2
LOC100576387	uncharacterized LOC100576387
LOC409124	twisted gastrulation protein homolog 1-A, transcript variant X3
LOC100576746	uncharacterized LOC100576746, transcript variant X3
LOC413053	serine-threonine kinase receptor-associated protein
LOC113218909	uncharacterized LOC113218909
LOC724629	40S ribosomal protein S28
LOC107964086	uncharacterized LOC107964086
LOC410227	inactive hydroxysteroid dehydrogenase-like protein 1, transcript variant X1
LOC100577573	uncharacterized LOC100577573
LOC551708	vacuolar protein sorting-associated protein 41 homolog, transcript variant X3
LOC725357	uncharacterized LOC725357, transcript variant X3
LOC113219034	putative uncharacterized protein DDB_G0282133
LOC413689	solute carrier family 12 member 8
LOC411335	transmembrane protein 199
LOC412690	probable palmitoyltransferase Zdhhc6
LOC102654925	uncharacterized LOC102654925
LOC412739	roundabout homolog 2
LOC413660	ATP-dependent RNA helicase DDX54
LOC727271	fatty-acid amide hydrolase 2-A, transcript variant X2
LOC551188	ankyrin repeat and BTB/POZ domain-containing protein BTBD11, transcript variant X3
LOC413590	alkylglycerol monooxygenase
GeneID_100191002	ribosomal protein L41
LOC725005	uncharacterized LOC725005
LOC408876	MOB kinase activator-like 2, transcript variant X7
LOC725999	uncharacterized LOC725999, transcript variant X4
LOC102656403	histone-lysine N-methyltransferase SETMAR-like
LOC409313	actin-related protein 2, transcript variant X1
LOC410534	uncharacterized LOC410534
LOC725134	nuclear RNA export factor 1, transcript variant X2
LOC107964937	putative uncharacterized protein DDB_G0271982, transcript variant X1
GeneID_677676	odorant binding protein 11
GeneID_409469	cytochrome P450 4G11
LOC113218790	uncharacterized LOC113218790
LOC552435	ER degradation-enhancing alpha-mannosidase-like protein 3
NC_001566.1:6734..6802_df_g	tRNA-Asn
LOC102655567	uncharacterized LOC102655567, transcript variant X1
LOC411013	phosphatidylinositide phosphatase SAC1
