,Gene_ID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,description
180,LOC551666,1481.043241,2.657649408,0.77027222,3.450272956,0.00056002,0.029729026,"double-stranded RNA-binding protein Staufen homolog 2, transcript variant X2"
175,LOC551344,900.8640372,3.068905731,0.903343889,3.397272919,0.00068061,0.033532909,probable chitinase 2
227,LOC725158,780.1994468,3.157249725,0.979250605,3.224148862,0.001263477,0.049964005,peptidoglycan-recognition protein 1
104,LOC410283,1308.304409,3.173173187,0.951462506,3.335048062,0.000852847,0.038396476,transmembrane protein 222
96,LOC409438,363.2655439,3.256078117,0.970743723,3.354209808,0.00079592,0.036737442,tumor susceptibility gene 101 protein
93,LOC409169,268.7810621,3.257843025,0.935439553,3.482686843,0.000496409,0.027876283,mRNA export factor
259,LOC726862,381.4317186,3.265097311,0.967103615,3.376160798,0.000735049,0.035380607,"DNA repair protein REV1, transcript variant X1"
194,LOC552183,1044.172737,3.267654031,0.797352224,4.098131205,4.16E-05,0.004943561,phosphatidylinositol transfer protein alpha isoform
118,LOC411307,365.9133729,3.335189544,0.956331884,3.487481281,0.000487593,0.02785163,mitochondrial enolase superfamily member 1
189,LOC552025,398.3677418,3.402722843,1.055902254,3.222573708,0.001270445,0.049964005,"tyrosine--tRNA ligase, mitochondrial"
216,LOC724610,415.7509949,3.652787057,0.950028914,3.844921982,0.000120591,0.010409677,notchless protein homolog 1
142,LOC412426,179.0148937,3.687871412,1.068321536,3.452023842,0.000556399,0.029729026,"ubiquinone biosynthesis monooxygenase COQ6, mitochondrial"
17,LOC100577450,233.885569,3.693785776,1.119530461,3.299406228,0.000968896,0.041818669,uncharacterized LOC100577450
88,LOC409110,673.0394197,3.70341471,1.143066167,3.239895307,0.001195736,0.04878696,programmed cell death protein 2-like
214,LOC724536,157.0857366,3.748449273,1.163568395,3.221511765,0.001275162,0.049964005,uncharacterized LOC724536
156,LOC413285,57.56088542,3.814600676,1.181081789,3.229751498,0.001238979,0.049773581,zinc finger CCHC domain-containing protein 24
113,LOC410802,410.648148,3.883832138,1.125767873,3.449940463,0.00056071,0.029729026,"microphthalmia-associated transcription factor, transcript variant X2"
146,LOC412681,294.369932,3.912308339,1.199915656,3.260486117,0.001112214,0.046654926,dipeptidyl peptidase 9
77,LOC408447,120.2292975,3.950437648,1.118265908,3.532646053,0.000411423,0.025270026,neurotactin
12,LOC100576994,221.5174887,4.019733707,1.236944659,3.249728011,0.001155154,0.047857896,"uncharacterized LOC100576994, transcript variant X4"
215,LOC724587,551.2092554,4.031603259,1.236265354,3.261114813,0.001109751,0.046654926,nucleotide exchange factor SIL1
196,LOC552247,903.8657795,4.096048298,1.036038623,3.95356718,7.70E-05,0.007732778,"nuclear factor NF-kappa-B p100 subunit, transcript variant X1"
205,LOC552730,480.1401535,4.103029158,1.109755465,3.697237173,0.000217959,0.01592013,ras-related protein Rab-24
140,LOC412422,324.4042988,4.126273241,1.197524498,3.445669168,0.000569647,0.030050333,"mediator of RNA polymerase II transcription subunit 1, transcript variant X2"
7,LOC100576143,596.611004,4.158501828,1.133222094,3.6696265,0.000242905,0.016802278,"HAUS augmin-like complex subunit 3, transcript variant X2"
209,LOC552811,200.4879294,4.158832636,0.992933556,4.188429942,2.81E-05,0.003713806,laccase-5
51,LOC102656429,190.4802123,4.198055601,1.219930299,3.441225785,0.000579085,0.030242719,"Roc2 protein, transcript variant X1"
226,LOC725079,624.5873863,4.201582611,1.299848022,3.232364507,0.001227703,0.049702954,GATA zinc finger domain-containing protein 14
203,LOC552703,788.7560007,4.204364493,1.250069093,3.363305689,0.00077015,0.036304168,"KAT8 regulatory NSL complex subunit 2, transcript variant X3"
