ensembl_gene_id,go_id,description,name_1006,namespace_1003
LOC724736,GO:0030215,"semaphorin-1A, transcript variant X3",semaphorin receptor binding,molecular_function
LOC724736,GO:0005515,"semaphorin-1A, transcript variant X3",protein binding,molecular_function
LOC724736,GO:0030154,"semaphorin-1A, transcript variant X3",cell differentiation,biological_process
LOC724736,GO:0016020,"semaphorin-1A, transcript variant X3",membrane,cellular_component
LOC724736,GO:0007399,"semaphorin-1A, transcript variant X3",nervous system development,biological_process
LOC100576781,GO:0055114,"15-hydroxyprostaglandin dehydrogenase [NAD(+)], transcript variant X4",oxidation-reduction process,biological_process
LOC552419,GO:0005525,"ras-like GTP-binding protein RhoL, transcript variant X6",GTP binding,molecular_function
LOC552419,GO:0003924,"ras-like GTP-binding protein RhoL, transcript variant X6",GTPase activity,molecular_function
LOC552419,GO:0007264,"ras-like GTP-binding protein RhoL, transcript variant X6",small GTPase mediated signal transduction,biological_process
LOC411477,GO:0005096,"ADP-ribosylation factor GTPase-activating protein 1, transcript variant X2",GTPase activator activity,molecular_function
LOC411477,GO:0046872,"ADP-ribosylation factor GTPase-activating protein 1, transcript variant X2",metal ion binding,molecular_function
LOC411477,GO:0043547,"ADP-ribosylation factor GTPase-activating protein 1, transcript variant X2",positive regulation of GTPase activity,biological_process
LOC100578733,GO:0016747,"nose resistant to fluoxetine protein 6, transcript variant X2","transferase activity, transferring acyl groups other than amino-acyl groups",molecular_function
LOC100578733,GO:0016020,"nose resistant to fluoxetine protein 6, transcript variant X2",membrane,cellular_component
LOC100578733,GO:0016021,"nose resistant to fluoxetine protein 6, transcript variant X2",integral component of membrane,cellular_component
LOC100578774,GO:0005515,centrosomal protein of 164 kDa,protein binding,molecular_function
LOC102656070,GO:0005515,uncharacterized LOC102656070,protein binding,molecular_function
LOC100576147,GO:0006355,fork head domain-containing protein FD4,"regulation of transcription, DNA-templated",biological_process
LOC100576147,GO:0043565,fork head domain-containing protein FD4,sequence-specific DNA binding,molecular_function
LOC100576147,GO:0003700,fork head domain-containing protein FD4,DNA-binding transcription factor activity,molecular_function
LOC100576147,GO:0005634,fork head domain-containing protein FD4,nucleus,cellular_component
LOC100576147,GO:0003677,fork head domain-containing protein FD4,DNA binding,molecular_function
LOC552486,GO:0003779,F-actin-capping protein subunit alpha,actin binding,molecular_function
LOC552486,GO:0008290,F-actin-capping protein subunit alpha,F-actin capping protein complex,cellular_component
LOC552486,GO:0051016,F-actin-capping protein subunit alpha,barbed-end actin filament capping,biological_process
LOC552486,GO:0051693,F-actin-capping protein subunit alpha,actin filament capping,biological_process
LOC409165,GO:0051082,calreticulin,unfolded protein binding,molecular_function
LOC409165,GO:0006457,calreticulin,protein folding,biological_process
LOC409165,GO:0005509,calreticulin,calcium ion binding,molecular_function
LOC409165,GO:0005788,calreticulin,endoplasmic reticulum lumen,cellular_component
LOC409165,GO:0005783,calreticulin,endoplasmic reticulum,cellular_component
LOC409165,GO:0005515,calreticulin,protein binding,molecular_function
LOC409165,GO:0046872,calreticulin,metal ion binding,molecular_function
LOC100577342,GO:0003700,uncharacterized LOC100577342,DNA-binding transcription factor activity,molecular_function
LOC100577342,GO:0046983,uncharacterized LOC100577342,protein dimerization activity,molecular_function
LOC100577342,GO:0006355,uncharacterized LOC100577342,"regulation of transcription, DNA-templated",biological_process
LOC410603,GO:0005549,"odorant receptor 65a, transcript variant X1",odorant binding,molecular_function
LOC410603,GO:0004984,"odorant receptor 65a, transcript variant X1",olfactory receptor activity,molecular_function
LOC410603,GO:0016020,"odorant receptor 65a, transcript variant X1",membrane,cellular_component
LOC410603,GO:0007608,"odorant receptor 65a, transcript variant X1",sensory perception of smell,biological_process
LOC410603,GO:0016021,"odorant receptor 65a, transcript variant X1",integral component of membrane,cellular_component
LOC410603,GO:0005886,"odorant receptor 65a, transcript variant X1",plasma membrane,cellular_component
