target_id	length	eff_length	est_counts	tpm
NM_001010975.1	1251	1041.2	887	84.1724
NM_001011562.1	863	653.196	6	0.907583
NM_001011563.1	2084	1874.2	563	29.6805
NM_001011564.2	1326	1116.2	404	35.7618
NM_001011565.1	3023	2813.2	45.7245	1.60593
NM_001011566.1	1503	1293.2	0	0
NM_001011567.1	4030	3820.2	3.61472	0.0934906
NM_001011568.1	2077	1867.2	3.06575	0.162228
NM_001011570.1	582	372.5	1983	525.987
NM_001011571.1	2093	1883.2	0	0
NM_001011572.1	2346	2136.2	477	22.0626
NM_001011573.1	3160	2950.2	0	0
NM_001011574.1	1940	1730.2	15	0.856593
NM_001011575.1	2163	1953.2	21.9349	1.10961
NM_001011576.1	1195	985.196	0	0
NM_001011577.1	2389	2179.2	29.0992	1.31936
NM_001011578.1	5441	5231.2	20	0.377753
NM_001011579.1	1430	1220.2	187	15.1423
NM_001011580.1	1544	1334.2	6	0.444334
NM_001011581.1	2439	2229.2	0	0
NM_001011582.1	356	156.668	105	66.2197
NM_001011583.2	635	425.297	60400	14032.1
NM_001011584.1	1606	1396.2	0	0
NM_001011585.1	1638	1428.2	3.7825	0.261679
NM_001011586.1	2205	1995.2	0	0
NM_001011587.1	496	287.379	0	0
NM_001011588.1	724	514.252	0	0
NM_001011589.1	624	414.339	1	0.238464
NM_001011590.1	574	364.537	5	1.35521
NM_001011591.1	584	374.5	27	7.12345
NM_001011592.1	1590	1380.2	26.8745	1.92388
NM_001011593.1	548	338.747	2.52149	0.735461
NM_001011594.1	4195	3985.2	1.95213	0.0483991
NM_001011595.1	2818	2608.2	1.36442	0.0516877
NM_001011596.1	4100	3890.2	16.061	0.407924
NM_001011597.1	2673	2463.2	14.2168	0.570273
NM_001011598.1	1624	1414.2	3	0.209599
NM_001011599.1	1942	1732.2	8	0.456322
NM_001011600.1	2052	1842.2	1764	94.6109
NM_001011601.1	1830	1620.2	39	2.37835
NM_001011602.1	2795	2585.2	4	0.152878
NM_001011603.1	1683	1473.2	217.263	14.5715
NM_001011604.3	685	475.252	10193.6	2119.25
NM_001011605.1	1448	1238.2	6	0.478785
