,Gene_ID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,description
11,LOC100576224,79.29381509,-24.3182113,2.571411728,-9.457144118,3.16E-21,3.31E-17,"carbonic anhydrase 2, transcript variant X1"
34,LOC102654541,46.40849943,-23.72551835,4.552406894,-5.211642742,1.87E-07,0.000108624,zinc finger protein 776-like
169,LOC724864,49.79913276,-23.09666405,2.589900592,-8.917973192,4.75E-19,2.48E-15,"TWiK family of potassium channels protein 18, transcript variant X2"
67,LOC113218909,27.17290201,-22.99673593,2.76493338,-8.317283917,9.00E-17,3.13E-13,uncharacterized LOC113218909
71,LOC113219056,34.5204091,-22.8495033,3.736017139,-6.116006017,9.59E-10,1.00E-06,uncharacterized LOC113219056
188,LOC726274,28.3334727,-22.45116831,2.772339696,-8.09827466,5.57E-16,1.16E-12,"yellow-e, transcript variant X1"
8,LOC100576093,44.37186576,-22.44498663,4.034944282,-5.562650947,2.66E-08,1.85E-05,uncharacterized LOC100576093
29,LOC100578307,55.44325526,-21.64244453,3.603547504,-6.005871855,1.90E-09,1.81E-06,"multiple inositol polyphosphate phosphatase 1, transcript variant X2"
63,LOC113218663,16.09910806,-21.07031036,2.650184612,-7.950506639,1.86E-15,3.23E-12,uncharacterized LOC113218663
1,GeneID_100315667,15.62423861,-21.06992899,2.584643921,-8.151965857,3.58E-16,9.35E-13,microRNA 33
39,LOC102655469,10.28631387,-18.70027251,2.979358904,-6.276609538,3.46E-10,4.02E-07,uncharacterized LOC102655469
181,LOC725444,84.24601353,-18.56257829,4.112565344,-4.513625132,6.37E-06,0.002017307,outer dense fiber protein 3-B
42,LOC102656149,63.24768775,-18.44653559,3.400135157,-5.425235979,5.79E-08,3.78E-05,uncharacterized LOC102656149
40,LOC102655809,44.82870117,-17.32496453,2.625847726,-6.597855755,4.17E-11,5.45E-08,uncharacterized LOC102655809
61,LOC107965763,19.0008194,-17.2667515,4.241593461,-4.070817173,4.68E-05,0.007196757,odorant receptor 30a-like
56,LOC107965171,190.799603,-10.65469248,2.455677244,-4.338800023,1.43E-05,0.003480287,uncharacterized LOC107965171
162,LOC724206,72.06506621,-10.5108934,1.966406778,-5.345228426,9.03E-08,5.55E-05,TBC1 domain family member 31
49,LOC107963964,50.87146823,-10.16088653,2.380112458,-4.269078337,1.96E-05,0.004355,"uncharacterized LOC107963964, transcript variant X1"
58,LOC107965378,170.1974301,-9.163558093,2.1907667,-4.182808736,2.88E-05,0.005185712,uncharacterized LOC107965378
75,LOC113219395,222.7797361,-9.11653165,2.276780807,-4.004132336,6.22E-05,0.008907077,uncharacterized LOC113219395
69,LOC113219020,48.38642662,-9.113619324,2.571357194,-3.544283674,0.000393681,0.02916593,uncharacterized LOC113219020
59,LOC107965433,82.65244603,-9.021898867,2.542424366,-3.548541694,0.000387371,0.029111323,uncharacterized LOC107965433
131,LOC413900,62.88344377,-8.986978042,1.866514739,-4.814844403,1.47E-06,0.000699477,"WD repeat-containing protein on Y chromosome, transcript variant X3"
14,LOC100576423,63.33818571,-8.747058239,2.322678208,-3.765936327,0.000165926,0.017868699,"uncharacterized LOC100576423, transcript variant X1"
74,LOC113219323,32.81446022,-8.439582733,2.260337811,-3.733770541,0.000188634,0.019130821,uncharacterized LOC113219323
53,LOC107964742,96.9769684,-8.016896857,2.16945101,-3.695357406,0.000219578,0.021238042,uncharacterized LOC107964742
10,LOC100576172,57.54885744,-7.941756796,2.153889713,-3.687169658,0.000226762,0.021731722,"uncharacterized LOC100576172, transcript variant X3"
180,LOC725341,99.66974547,-7.911452263,1.768436719,-4.473698254,7.69E-06,0.00236197,"beta-1,3-galactosyltransferase 5, transcript variant X2"
43,LOC102656201,37.62151426,-7.873679349,2.362409746,-3.332901654,0.000859453,0.046936949,uncharacterized LOC102656201
65,LOC113218738,67.88646313,-7.716089855,2.176153644,-3.545746816,0.000391502,0.02916593,uncharacterized LOC113218738
7,LOC100187599,59.22422754,-7.680981644,1.995339144,-3.849461716,0.000118378,0.014051969,uncharacterized LOC100187599
15,LOC100576476,112.8075263,-7.678778764,2.312118628,-3.321100687,0.000896632,0.048529618,uncharacterized LOC100576476
153,LOC552202,125.0985685,-7.59093714,1.719509704,-4.414593953,1.01E-05,0.002781928,"monocarboxylate transporter 9, transcript variant X2"
52,LOC107964516,173.7134589,-7.50283656,2.144973752,-3.497868705,0.000468992,0.031812272,"GATA zinc finger domain-containing protein 14-like, transcript variant X1"
73,LOC113219314,94.48427219,-7.439140294,1.750071022,-4.250764798,2.13E-05,0.004541703,"protein dopey homolog PFC0245c, transcript variant X1"
41,LOC102656132,101.607596,-7.12066887,1.836713993,-3.876852301,0.000105817,0.013159044,structure-specific endonuclease subunit slx1
51,LOC107964086,293.7394466,-7.114120196,1.880073638,-3.783958273,0.000154354,0.016972409,uncharacterized LOC107964086
6,GeneID_678510,72.68562904,-7.066125329,1.735552987,-4.071397061,4.67E-05,0.007196757,GB15078 protein
47,LOC102656553,52.50614905,-6.942024672,1.776478492,-3.907744846,9.32E-05,0.012069977,"uncharacterized LOC102656553, transcript variant X2"
125,LOC413286,370.5997017,-6.912939136,1.552606763,-4.452472643,8.49E-06,0.002533515,"cyclin-dependent kinase-like 2, transcript variant X3"
72,LOC113219226,116.8075402,-6.823645501,2.02277589,-3.373406583,0.000742442,0.04332711,protein AF-9-like
167,LOC724770,139.7028886,-6.821819442,1.357329145,-5.025913918,5.01E-07,0.000261694,uncharacterized LOC724770
37,LOC102655071,40.25120947,-6.597153263,1.882632191,-3.504217815,0.000457951,0.031680478,"uncharacterized LOC102655071, transcript variant X1"
55,LOC107965043,281.2627469,-6.509114819,1.523977299,-4.271136339,1.94E-05,0.004355,uncharacterized LOC107965043
64,LOC113218671,166.9692063,-6.454576283,1.576027062,-4.095473003,4.21E-05,0.006734479,uncharacterized LOC113218671
5,GeneID_551388,74.75646999,-6.319424417,1.444794166,-4.373927143,1.22E-05,0.003186843,adipokinetic hormone receptor
27,LOC100578220,139.792043,-6.311730171,1.907339293,-3.309180592,0.000935695,0.049439754,"uncharacterized LOC100578220, transcript variant X1"
177,LOC725174,264.2313503,-6.217124014,1.373654951,-4.525972122,6.01E-06,0.001962493,zinc finger protein 470
123,LOC413113,136.9278096,-6.164785963,1.537529612,-4.009539662,6.08E-05,0.008826469,"probable serine/threonine-protein kinase samkC, transcript variant X2"
173,LOC725003,62.06476992,-6.089464071,1.574216445,-3.86825083,0.000109619,0.013161825,protein sister of odd and bowel
24,LOC100577717,49.96389692,-6.088779048,1.399630493,-4.350276075,1.36E-05,0.003381675,"uncharacterized LOC100577717, transcript variant X1"
66,LOC113218806,31.72946719,-6.055596549,1.813957121,-3.338335002,0.000842821,0.046582566,uncharacterized LOC113218806
144,LOC551705,138.3696339,-6.005070413,1.788972416,-3.356714927,0.000788744,0.044606336,"hyccin, transcript variant X3"
