target_id	length	eff_length	est_counts	tpm
NM_001010975.1	1251	1063.76	1558	188.773
NM_001011562.1	863	675.763	0	0
NM_001011563.1	2084	1896.76	9576	650.71
NM_001011564.2	1326	1138.76	1	0.113184
NM_001011565.1	3023	2835.76	44.8589	2.0389
NM_001011566.1	1503	1315.76	0	0
NM_001011567.1	4030	3842.76	0	0
NM_001011568.1	2077	1889.76	0	0
NM_001011570.1	582	394.869	357	116.528
NM_001011571.1	2093	1905.76	1.27313	0.0861034
NM_001011572.1	2346	2158.76	807	48.182
NM_001011573.1	3160	2972.76	0	0
NM_001011574.1	1940	1752.76	0	0
NM_001011575.1	2163	1975.76	0	0
NM_001011576.1	1195	1007.76	0	0
NM_001011577.1	2389	2201.76	2.95578	0.173029
NM_001011578.1	5441	5253.76	1	0.0245327
NM_001011579.1	1430	1242.76	22	2.28166
NM_001011580.1	1544	1356.76	2	0.189995
NM_001011581.1	2439	2251.76	0	0
NM_001011582.1	356	173.325	19	14.1289
NM_001011583.2	635	447.83	15609	4492.4
NM_001011584.1	1606	1418.76	0	0
NM_001011585.1	1638	1450.76	0	0
NM_001011586.1	2205	2017.76	0	0
NM_001011587.1	496	309.076	2.44792	1.02082
NM_001011588.1	724	536.83	0	0
NM_001011589.1	624	436.83	0	0
NM_001011590.1	574	386.869	0	0
NM_001011591.1	584	396.83	0	0
NM_001011592.1	1590	1402.76	756.761	69.5331
NM_001011593.1	548	360.943	0	0
NM_001011594.1	4195	4007.76	0	0
NM_001011595.1	2818	2630.76	10	0.489931
NM_001011596.1	4100	3912.76	0	0
NM_001011597.1	2673	2485.76	0	0
NM_001011598.1	1624	1436.76	0	0
NM_001011599.1	1942	1754.76	7	0.514158
NM_001011600.1	2052	1864.76	30540	2110.87
NM_001011601.1	1830	1642.76	9	0.706129
NM_001011602.1	2795	2607.76	0	0
NM_001011603.1	1683	1495.76	108.039	9.30969
NM_001011604.3	685	497.83	4173.55	1080.54
NM_001011605.1	1448	1260.76	10	1.02231
NM_001011606.1	1757	1569.76	0	0
NM_001011607.2	381	196.334	0	0
NM_001011608.1	1873	1685.76	12	0.91749
NM_001011610.1	1612	1424.76	14	1.26649
NM_001011611.2	369	185.162	0	0
NM_001011612.1	304	128.315	0	0
NM_001011613.1	710	522.83	709	174.784
NM_001011614.1	688	500.83	0	0
NM_001011615.1	664	476.83	5441	1470.73
NM_001011616.2	680	492.83	408	106.704
NM_001011617.1	374	189.745	5085	3454.11
NM_001011618.1	523	336.013	0	0
NM_001011619.1	1559	1371.76	0	0
NM_001011620.1	957	769.763	159665	26734.3
NM_001011621.1	3254	3066.76	0	0
NM_001011622.1	1529	1341.76	0	0
NM_001011623.1	3376	3188.76	0	0
NM_001011624.1	4969	4781.76	1	0.0269543
NM_001011625.2	1940	1752.76	0	0
NM_001011626.2	755	567.83	745	169.104
NM_001011627.1	2520	2332.76	443	24.4765
NM_001011628.2	1386	1198.76	0	0
NM_001011629.1	14440	14252.8	0	0
